name,latitude (deg),longitude (deg),area cost factor
"Union, New Mexico",36.97334700051401,-103.30376100044884,1
"Culpeper, Virginia",38.45390399970207,-78.02373299954782,0.8737864090586669
"Lassen, California",40.37590699972732,-120.51715899971265,1.1844660190182301
"Somerset, Maryland",38.20360299970411,-75.69957799976918,0.9611650487550545
"Smith, Texas",32.36745500034752,-95.43818800006547,0.8349514578137215
"Los Angeles, California",34.0826595001026,-118.22506849982136,1.1844660190182301
"Cedar, Missouri",37.69886199990823,-93.79489000079853,1.009708739625455
"Riverside, California",33.74790999959262,-116.87973600024931,1.1844660190182301
"Hamilton, Indiana",39.97841999945812,-86.11268299997677,0.9223300975101092
"Scott, Missouri",36.8788969996606,-89.57994799956948,1.009708739625455
"Sumter, South Carolina",33.96445299965054,-80.45377599985542,0.8252427181882664
"Pike, Ohio",39.050490999860706,-83.05104200008286,0.9029126206781574
"Cimarron, Oklahoma",36.762497000153665,-102.32017800056492,0.864077669433212
"Caledonia, Vermont",44.41801000001259,-72.01701100023733,0.9708737859615514
"Medina, Ohio",41.138452999825056,-81.8334189995275,0.9029126206781574
"Houghton, Michigan",47.11955700022131,-88.58422900004726,1.0485436908704002
"McIntosh, Oklahoma",35.30400099992914,-95.59272600035104,0.864077669433212
"Okaloosa, Florida",30.459301000060986,-86.56779099983355,0.8155339809817698
"Caddo, Louisiana",32.48068400020624,-93.77995300020547,0.8932038834716606
"Delta, Michigan",45.72535299971481,-86.64140100057652,1.0485436908704002
"Walsh, North Dakota",48.492718999920996,-97.86209100013474,1.0388349512449453
"Chippewa, Wisconsin",45.13489900015962,-91.52122699985985,1.0388349512449453
"Curry, New Mexico",34.39774200009212,-103.22049400080714,1
"Erie, Ohio",41.4463970003504,-82.72980399993418,0.9029126206781574
"Big Horn, Wyoming",44.80295200002662,-107.8281220005841,0.990291262793503
"Wayne, Michigan",42.34011900002853,-83.35009599918732,1.0485436908704002
"Carson, Texas",35.33759699972894,-101.38174200022425,0.8349514578137215
"Windham, Connecticut",41.71530800006568,-72.19816600064466,1.1067961165283393
