name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5,amount 6,amount 7,amount 8,amount 9,amount 10,amount 11,amount 12,amount 13,amount 14,amount 15,amount 16,amount 17,amount 18,amount 19,amount 20,amount 21,amount 22,amount 23,amount 24,amount 25,amount 26
"Snohomish County, Washington",47.82099062,-121.4522522,1141.578007185053,1130.1967448572077,43.67588585881599,28.895189652910624,59.21146823305311,58.8457775532047,23.613033119831883,11.699125613732068,28.66608359919337,19.70402158441928,2.4569983278348984,2.4473353301595595,2.006829704478363,1.999789342174028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"San Bernardino, California",35.12010447,-117.1590386,5639.981508971423,5583.7522292605445,3767.508666261455,2492.516758160616,2119.874349735812,2106.7819824076296,818.9171477530704,405.73417782385104,147.16425147352746,101.15534539119548,65.04821238417387,64.79238773914568,27.999142930306,27.90091630449897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Warren County, Virginia",38.79110825,-78.25771359,3.388417865332773,3.3546361418246256,809.6678989729209,535.661888400458,7.404857293900278,7.359124813710314,3.5301063491468283,1.7489984195980284,0.8695079191529396,0.5976680681729087,0.4683585077530087,0.4665165255585681,0.4140522293878814,0.4125996508749646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sumter County, Florida",28.70869529,-82.19247661,1775.9387838041437,1758.233094793448,1089.3438909295237,720.6905528464413,7843.510307993773,7795.068701958287,1520.2995499286974,753.2355252649894,1040.5214831209946,715.2165621621554,196.56558102491047,195.79251873545869,301.41636246191507,300.3589332284075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Palm Beach County, Florida",26.67709172,-80.56373053,400.68861327928505,396.69384271537336,3103.4343526342227,2053.1769975908337,1252.1075229042335,1244.3744930544758,132.32575780744088,65.5610676809384,21.489732165073768,14.771259037140233,676.5008999083336,673.8403256014154,146.5133937018016,145.9993952435385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Midland County, Michigan",43.57419001,-84.55437763,67.91107115597339,67.23401386253714,747.2070473519859,494.3388993418416,146.4305967308524,145.5262397529381,90.30764448039132,44.74310738881807,27.56180900125573,18.94498345360528,17.594645235886652,17.525448194078894,221.2867343717547,220.5104159927494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cass County, Michigan",42.06225929,-85.90993949,3.978384999320137,3.938721443230724,6303.0991751695165,4170.018363368005,7.04656242828232,7.003042781127979,4.062736405608586,2.0128910717860187,21.622102928440928,14.86224587772162,0.7808776624154851,0.7778065903064153,0.686392691110182,0.6839846874725639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cass County, Indiana",40.72939342,-86.25965362,23.780171855468524,23.54308917484147,42.51982004507623,28.13035706205628,57.81896302644188,57.461872474083854,90.17557102092267,44.67767132286573,9.52078699969316,6.544242149209775,6.441380005155517,6.416047045295247,6.454205551598153,6.431562900172123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hamilton County, Indiana",39.94240296,-86.10103966,5.960354981210487,5.900931653867745,11.384407097563876,7.531721353824594,56.30921284105802,55.961446522470425,10.023580205314136,4.966203338900973,2.8404744043974013,1.9524386294544875,1.8836806682132143,1.876272440982525,2.016325601270816,2.009251925450304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lawrence County, Indiana",38.87073858,-86.34789005,18.09370939270513,17.9133193958884,31.11199165115127,20.58314059492229,43.23743475124331,42.9703998780858,24.48054211654416,12.128934722628616,7.380797932970069,5.073291622772341,5.049885122702428,5.030024698847601,5.064284589702673,5.046518060612435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
