name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5,amount 6,amount 7,amount 8,amount 9,amount 10,amount 11,amount 12,amount 13,amount 14,amount 15,amount 16,amount 17,amount 18,amount 19,amount 20,amount 21,amount 22,amount 23,amount 24,amount 25,amount 26,amount 27,amount 28
Snohomish County,47.82099062,-121.4522522,0.0001647934394927345,0.0001358443734488,0.0002268847301592,0.0003670272234155,0.0005768893921482,0.0008831779988345,0.0013194580836422,0.0019265900010851,0.0027526112931551,0.0039638592689241,0.0052718771071548,0.0164899259399435,0.0189692971007436,0.0095721554442036,0.0370967109863502,0.0146249084850028,0.0187189867101539,0.0935554759217209,0.0201483586891047,0.0247803519870105,0.0554329707055219,0.0692448636815383,0.0275512442501686,0.056604166106409,0.0308338140717355,0.0350502004207576,0.0541936382001854,0.0380067369133639
San Bernardino,35.12010447,-117.1590386,0.06302874678788878,0.0455483789928649,0.0725034903678063,0.1122536028568428,0.1693959767386532,0.2495629641653752,0.3594117837370146,0.5064969460701658,0.6989872839800199,4.469122996690272,0.9125743383076392,1.8633370491325665,2.290365287880203,1.99054364314884,10.335075960984287,2.673006616682514,3.326279932372721,26.32738530257726,2.064622581028358,2.48080804523852,6.974287765167847,8.757244983597165,1.7139351004465635,3.834264131741218,1.8384866390124888,2.101977265935667,3.495963117019097,2.244296056511474
Warren County,38.79110825,-78.25771359,1.4689332931131492e-06,2.042582573607856e-06,4.34114804058094e-06,8.66757656424316e-06,1.636146044035834e-05,2.938419544211281e-05,5.050013999921015e-05,8.347908409418201e-05,0.0001333116438502,0.0002064207934224,0.0003108395989509,0.0004563061407541,0.0006542010983703,0.0009172228874235,0.0020903916060936,0.0016286514095342,0.0021510555953399,0.0051701152700181,0.0032253431784142,0.0040197874749203,0.0054687227318167,0.0065612629799065,0.0063667827799593,0.0184619206790464,0.0052238050073521,0.0058122349994396,0.0133324065550693,0.0046370441389174
Sumter County,28.70869529,-82.19247661,0.0029134324937410893,0.0019997537099744,0.0031337202321803,0.0048121078518029,0.0072584666094126,0.0107690232197393,0.0157261509226213,0.0226108918348363,0.0320141506855299,0.2172559004728188,0.0446807739378348,0.1081865981195807,0.1354609964428877,0.1132775899188765,0.2175836863698532,0.2102058796782654,0.2814410321255223,0.5416957868319096,0.4536312104194336,0.5738670435327284,0.9729685031941426,1.2113718642731226,0.8910424145945934,1.6468562294685474,1.0702735298477972,1.225776611621578,1.7445602146684849,1.4005830893963584
Palm Beach County,26.67709172,-80.56373053,0.001642150746645254,0.0010643404155492,0.00161491433666,0.0023930467221461,0.0034727823332705,0.0049445299946383,0.0069151520650403,0.0095066626865674,0.0128537607741271,0.136319822473946,0.0108890058512474,0.0241892517131778,0.0311526000198446,0.029438175748363,0.0590795920982578,0.0551762972038272,0.0744268393507002,0.149785038479319,0.1213609469516811,0.1551406743300433,0.2093906580855492,0.258057592027912,0.2770739424332168,0.6131112961152974,0.3097387648348873,0.361260195790734,0.5922646499267683,0.4146046013118838
Midland County,43.57419001,-84.55437763,3.2382091477388635e-05,3.9784921593794704e-05,7.860414885437762e-05,0.0001471970846587,0.0002629890172184,0.0004507363622438,0.0007444718587663,0.0011896242789863,0.0018451996479569,0.0027858060338233,0.0041031435316857,0.0059063622646573,0.0083204275147728,0.0114813697057846,0.0373637795846693,0.018942365092575,0.0248095161815231,0.0945881308676021,0.0324630827596892,0.0409495392450449,0.0655488499085232,0.0811788390734882,0.0651419676487323,0.1584194001982291,0.07011196084853,0.0833397354424001,0.1485990037591061,0.0990418510394601
Cass County,42.06225929,-85.90993949,3.450137913753194e-06,4.341213937212461e-06,8.527809635824316e-06,1.5762412202606354e-05,2.767193111678703e-05,4.648300099768326e-05,7.514982990503515e-05,0.0001174789911381,0.0001782333606942,0.0002631856850253,0.0003790759166301,0.0005334057782063,0.0007339815012762,0.0009880979456189,0.0029817882406548,0.0015491004379802,0.0019577821140276,0.007242218397259,0.0023136640602357,0.0027353406186407,0.0091042141347594,0.0114928640232477,0.00096360448107,0.0021762869933373,0.0011900114076912,0.0014972159371666,0.0025204914695599,0.0022638212195666
Cass County,40.72939342,-86.25965362,0.00015174844525864527,0.0001256132588366,0.0002108116591482,0.0003430464005841,0.0005428100153284,0.0008370021337924,0.001259898898593,0.0018538583749955,0.0026695500912381,0.0037654563790873,0.005206378767867,0.0159425399937199,0.0184779202495527,0.0098646860388425,0.0325467496710804,0.015766044485144,0.0203063887647898,0.0812323567675479,0.0247215570046076,0.0303091838495193,0.0665826271229559,0.082861219011518,0.0334128584012614,0.0760529812847868,0.034295840388773,0.0384389366528973,0.0653552140088862,0.0378033022008415
Hamilton County,39.94240296,-86.10103966,0.0002464853945446229,0.0002604615895449,0.0004734827437757,0.0008187151542736,0.0013562655744272,0.0021646895987162,0.003343655034592,0.0050157765929574,0.0073267553031271,0.0104425258159472,0.0145415942441574,0.022168707948028,0.0287895146562819,0.0336869118850149,0.2168414502321258,0.0403856590385549,0.0493019610957712,0.5580809124096984,0.0069594705933281,0.008412644475504,0.0231154449554835,0.0290781078069239,0.0064920913984221,0.0146860671561757,0.0074045896224658,0.008819714888184,0.0147046764069408,0.0108203823839161
Lawrence County,38.87073858,-86.34789005,1.2823499777936964e-05,1.767964538495745e-05,3.672878480448253e-05,7.157549635093609e-05,0.0001320078167947,0.0002321050471675,0.0003914179328519,0.0006362570575477,0.0010010117444724,0.0015293563127246,0.0022751020802305,0.0033023158596662,0.0046841500096063,0.0064996334986341,0.0136607400474413,0.0113730364540864,0.0148415208501982,0.0328280424814031,0.0219362465534423,0.0268709050905711,0.057100958544041,0.070806190705791,0.0302358193556803,0.0736474776753803,0.0290700304297923,0.0322592950785423,0.0591532458960032,0.0293073789497221
