name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5,amount 6,amount 7,amount 8,amount 9,amount 10,amount 11,amount 12,amount 13,amount 14,amount 15,amount 16,amount 17,amount 18,amount 19,amount 20,amount 21,amount 22,amount 23,amount 24,amount 25,amount 26
"Snohomish County, Washington",47.82099062,-121.4522522,1.71600457726736,1.0870772122649266,1.6404328946015667,2.4136104289181533,3.468650689906441,4.875105558938399,6.706766432246686,9.181475300273442,11.91602386605858,57.28758840625647,54.58242546496607,13.965137598370548,67.85564620126006,21.00654227691085,27.56608094856245,63.48600803046988,41.47332408840735,51.87737975434925,136.73665212551649,126.01950419235918,66.37317540745805,138.13303193246776,90.48592967479202,114.8619431407958,173.900670740915,172.1956324628675
"San Bernardino, California",35.12010447,-117.1590386,295.77272239030947,179.3857475076743,267.52881389821533,389.4422166603076,554.1081230903828,771.3329769274712,1051.1523808964653,5959.663506280942,1394.2213249447177,4617.689013133827,4719.440423902093,2374.666075009703,18698.35840724488,2752.612996719058,3487.3467154903115,13206.949444788235,4114.218667768534,4885.835758528735,17209.801283663866,14071.29047636713,2803.7284376796206,7325.270231913927,2590.2113368754976,2907.1901895096453,5385.398658908784,2764.415428627394
"Warren County, Virginia",38.79110825,-78.25771359,0.012044343143535675,0.014217797315117,0.0275420830869312,0.0504641483394874,0.0880913097725579,0.147413504656265,0.2377066206574218,0.3709272217499141,0.5620425110777433,0.8292033301198992,1.1936187672156997,1.6789300440139128,3.98310743701524,2.983809408999552,3.948022235112481,6.06196714249371,6.341951132091541,7.835375723973409,11.08400771690839,12.131499834618332,11.91076273574168,38.539812680481816,8.315837630029005,9.130791939356325,23.33525496246857,6.481152190943205
"Sumter County, Florida",28.70869529,-82.19247661,15.628886586197236,9.521031887693802,14.38072785884789,21.31186244740786,31.01774331922331,44.359404854014,62.36007865903465,309.3984613874784,95.65759128228784,328.417337631477,344.0249523285005,192.22454876852768,386.22477338962506,349.8956786058766,464.6232736533079,672.7104368379411,759.3853005163688,944.390652019812,1893.168400363057,1858.109007632012,1304.358909244644,2840.069454347893,1370.0642694309513,1529.04012882455,2374.2864649285125,1547.9273113188526
"Palm Beach County, Florida",26.67709172,-80.56373053,6.559266686193046,3.71642260013632,5.446874216811608,7.8350174527515,11.074789125097796,15.39657787159071,21.06926585717486,182.56340783518755,22.877000858100256,69.82219891911011,77.07119275710788,54.66375556143549,113.7371797444921,105.97931718367651,146.06635824573792,218.3522260338867,260.9594114954507,342.0622236658442,484.1702761800256,587.723337964632,681.6420387566949,1487.0437834571394,881.8135319637576,1102.993622699102,1706.4000494545564,1565.4269540156763
"Midland County, Michigan",43.57419001,-84.55437763,0.19735589320563984,0.2021926837283173,0.3700000911679108,0.6479589399061615,1.091775657477755,1.7786623567120563,2.813916508899357,4.3390057597643885,6.541067524407239,9.6634134089486,14.016202932935242,19.985964474769087,71.97374511515989,35.438727887682866,48.82711393446658,91.28915294622333,85.52391999272866,113.28286867271076,190.4790847667904,219.0636937391129,227.5074831769024,473.9051081712648,325.6437762543092,420.5505724593706,633.8163080679798,646.2371898298717
"Cass County, Michigan",42.06225929,-85.90993949,0.02648445806457223,0.0261550406210363,0.0463063181685459,0.0783309969746573,0.1273831600592363,0.2001232769375149,0.3049071902735148,0.4518887540075584,0.6529564253506785,0.92138847251014,1.2710738217276691,1.7151192533263098,5.644611384108666,2.6668936200638327,3.382264139440474,6.112776292503694,4.815458968926892,5.66867219450089,23.44836407357549,18.667965884427304,2.166578222887064,5.314986995729923,3.9785735394070736,6.308153495658453,11.297481236932184,15.85806974737304
"Cass County, Indiana",40.72939342,-86.25965362,1.625527888720069,1.040910229210214,1.581112866847266,2.343104443090008,3.393369705252082,4.8083536422014745,6.671752727501239,9.069768240355138,12.084306280835085,55.35331122943337,53.30787269591805,15.568000218564496,59.849103691542304,24.46372664939577,31.702203229095872,62.35641905768753,46.92307680853416,56.75496570343288,153.03035155867923,134.2192168592222,54.60886839712261,145.78772892208193,47.2440862239925,51.408829751067,99.04807166298173,41.58936822411646
"Hamilton County, Indiana",39.94240296,-86.10103966,1.2669259846115726,0.9620880341135496,1.5453455002635177,2.4034365105780706,3.63264050832603,5.352488025597327,7.70896833640882,10.877383616313129,15.064207271298196,31.05877576393551,36.29632519011091,33.62693748561371,394.1550895195044,31.388166513956104,42.994297789780646,257.7556263200668,54.62685209621396,78.84980561934647,149.72971217017252,182.71819627582903,205.23759626587528,301.3591083526753,387.48444534142425,522.9272346980781,701.70119194774,900.2814866118356
"Lawrence County, Indiana",38.87073858,-86.34789005,0.1207597856990025,0.1311687050513709,0.2433296977731877,0.4294900957126034,0.7260362693143961,1.18178648615217,1.860323070635632,2.8420608857768155,4.225585665553559,6.127533868493503,8.679949845763197,12.023678941505718,26.019655729068702,20.88032402702208,27.169819122590063,40.08877320956368,42.19691632470913,51.07191486617826,131.2268630745853,116.43446395620742,51.35646210314445,145.2105039363405,41.40236847120268,44.59764932682141,93.14641371882988,32.32107416499258
