name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5,amount 6,amount 7,amount 8,amount 9,amount 10,amount 11,amount 12,amount 13,amount 14,amount 15,amount 16,amount 17,amount 18,amount 19,amount 20,amount 21,amount 22,amount 23,amount 24,amount 25,amount 26
"Snohomish County, Washington",47.82099062,-121.4522522,10.523175985579734,6.786772226034621,10.337900509231956,15.362704238635098,22.313372439350093,31.71938034308822,44.17777505746676,61.183255533946166,80.77221065782446,354.317658955321,347.2686406963893,112.86641818719102,501.80973854044834,177.51979889065987,235.3867149771293,510.5364108535411,367.1058125805149,464.519011917589,1137.5849857216583,1104.9971836454104,653.3361212601307,1275.3414578024492,911.4746889279296,1145.5580595841463,1668.848099810225,1673.4037020571875
"San Bernardino, California",35.12010447,-117.1590386,1816.6003000715382,1125.0058720099796,1693.9252055796617,2489.8976572573347,3577.7682395936376,5030.712238944764,6927.1799736736375,36052.8967824867,9779.963068587884,29491.92166488037,31054.811020392724,18003.557142084843,134355.8747180284,21629.73625947566,27496.93870698773,98991.41159986376,33432.52037650332,39915.64765636322,135129.79186759275,115419.06079689325,25695.84741846436,63974.85747382956,25792.666235723816,29688.44419757659,52024.62724287137,31720.398809386537
"Warren County, Virginia",38.79110825,-78.25771359,0.09456228523056562,0.1136346948161566,0.2218760410876043,0.4099659952628679,0.7230494488450065,1.2263409009006174,2.0127749874058565,3.213194656407342,5.009473867273938,7.650756239116545,11.472646437170924,16.918716682080465,36.44741125943872,34.239779542293256,48.475092317234406,74.58892186091425,92.18506948016824,125.23543480129142,180.5282473392075,230.98646979157104,285.4672281704883,580.8070922116939,428.56335320960727,561.2992927101297,838.8708344971825,890.4747369353017
"Sumter County, Florida",28.70869529,-82.19247661,95.0681961195306,59.616108567831176,91.5806234087412,138.24332604449484,205.21276919450787,299.71864959330657,430.9187978858858,1918.4133582956,725.5383144275481,2191.057553377458,2421.774422695112,1693.170339565398,3245.045488912643,3241.1135276147147,4420.629805487095,6426.133309913199,7741.175946349817,10029.86964579586,18503.448234924355,20080.839571531706,17710.662718529333,33125.930558683416,24470.371346839915,30293.99992731128,43037.36518133784,42986.69236157439
"Palm Beach County, Florida",26.67709172,-80.56373053,39.177375460098496,22.66560992433686,33.680515500744775,49.23004200207475,70.86132785128852,100.52916907140548,140.68360239777206,1097.922084904785,178.27706170600865,480.0120979545419,559.7225836214297,474.5165855863714,937.637795294404,944.947834584263,1317.634136904091,1956.943025893512,2421.801120579806,3221.673656561859,4552.010365897839,5679.489367351,6803.521641086117,13918.827668305268,9484.936363753764,12056.815196856272,18025.735304215832,17933.41755681101
"Midland County, Michigan",43.57419001,-84.55437763,1.4943260120380044,1.5580364259392223,2.8737897096799463,5.067611745862527,8.58916064722022,14.060095706535792,22.32240957913944,34.495377873709,52.03947192034256,76.82293438025906,111.18315432722903,157.97081669291538,532.5777642161872,279.3716620329675,381.37634476829487,694.6904278520027,654.5407644805354,855.3345572764399,1426.8720889641472,1626.5409208861183,1626.4990267251906,3557.6920510007544,2184.1608531976285,2781.181678855134,4320.464492241966,4110.436058382758
"Cass County, Michigan",42.06225929,-85.90993949,0.20116681855044644,0.2004528830578557,0.3586717660265629,0.6199330278356636,1.048727708479846,1.7564803509919196,2.9366481716677093,4.919503461923447,8.252688904103964,13.814000138857669,22.96305790827553,37.738604017313925,85.12068887019359,95.47225677111568,149.93529413291242,244.9632466423032,347.19192262532164,515.6399886257877,882.2986588392906,1171.6826163362311,1477.1560071819629,2089.6285215356847,2848.3102820614627,3856.919583368105,5141.0284910301,6699.551412546648
"Cass County, Indiana",40.72939342,-86.25965362,9.998232192479179,6.539081554635387,10.043426670348104,15.057375773443866,22.071102982019845,31.66864634362625,44.520537572404464,61.36529222041701,82.97902049963201,344.5452340087372,341.85336488228967,125.32535211763138,446.1688101313727,203.4452525666886,266.3131539123845,503.2576812428958,408.3154257960924,502.7015219003464,1266.2957399756374,1181.2497214924078,581.212199036696,1385.9429445638225,634.2455220443981,751.1570507559692,1254.787491111167,897.4830427358174
"Hamilton County, Indiana",39.94240296,-86.10103966,8.634596202913418,6.649182761790489,10.733021955908647,16.76530128460832,25.43342663159349,37.58253339768635,54.224149910284346,76.53224767126629,105.81865670896636,205.98739137733392,243.77083582270748,233.6727139948749,2787.325004307428,198.61809106150213,260.75525475333285,1791.5291660897578,257.09726937290435,355.1533202058644,773.2442096479064,861.9028720150258,779.5908278631252,1201.97518400033,1423.4432005774825,1911.2709029979924,2594.1458728848847,3256.0092011316806
"Lawrence County, Indiana",38.87073858,-86.34789005,0.9370224299261207,1.0282292108387006,1.9161232392116587,3.3956037806893904,5.76096150001988,9.409144531559791,14.860510036695526,22.778484022701367,33.984697605969416,49.46408257704935,70.35169933584312,97.88997459017374,202.4027839856432,172.65914274837422,226.09826002650007,330.05761996880034,357.76061614543096,437.75848630834486,1067.7977635437078,995.2761733856746,493.76716303611016,1296.62342508472,469.8038236921717,538.1607227003789,998.564599076556,550.36860818105
"McLean County, Kentucky",37.49153121,-87.22032662,0.02952059438440345,0.0346544529665292,0.0703497946969054,0.1445036790826222,0.3051590264684881,0.6575512515601393,1.4158209691371006,2.985527086314186,6.087007404168577,11.93054577913546,22.455010276558845,40.64204121258221,74.48258952896305,119.38552952628964,195.45708548633647,313.1968818779738,482.3897477012578,731.0632122164718,1092.0217414247145,1581.2296836446528,2244.104779554541,3194.9810061059866,4316.711831694597,5844.837644922593,7802.581913944558,10148.027681973716
"Jessamine County, Kentucky",37.83050346,-84.51931615,0.3004597417440033,0.3430269718357019,0.6498925982893179,1.1775523964902497,2.066713871634402,3.55091216849366,6.018944190467242,10.11046271138058,16.854596307050812,27.861807550702352,45.579128994268345,73.61840464634332,120.77933516263874,183.2115022018772,282.1771191257833,429.246708254388,635.2698356252025,929.5600625628616,1544.819435524474,2044.2896580800025,2576.958137947227,3874.100111801909,4816.395087627245,6499.189035159342,8780.723735519578,11183.01980678392
"San Diego, California",33.03174695,-116.7176058,211.69586599922525,117.80916617554692,169.95163292192692,239.50812139961,330.0751367285384,445.09357261892177,587.4010419459097,6122.708776406625,440.9175357840069,1315.8500500994314,1402.7691332697568,859.0959800986798,4877.36782449214,1199.2186374797411,1549.2100853830607,4143.9156315550335,2150.423869898871,2614.970020253099,7314.028429066986,6580.344720344285,2539.1960961805244,6332.894282295254,2599.486373708634,3027.172135242652,5287.139946547322,3357.5728563913726
"Knott County, Kentucky",37.37099172,-82.8503912,0.010915480388663676,0.0129172850804686,0.0251562085781646,0.0468041920613484,0.0842330830654975,0.1481614082894344,0.2565973562487215,0.4393484673854278,0.7445686717741277,1.2478320155524891,2.064220268674289,3.3638854238110505,6.706816340817909,8.391058996448095,13.011776657823454,20.571364722618284,29.49348882361279,43.325026582930704,64.6292298953016,90.3261923919664,123.4904321226977,192.9774624287673,226.36149699538663,304.9563207373198,416.1662715853643,522.1843346207335
"Cuyahoga County, Ohio",41.28166353,-81.83937601,16.839316596577703,10.255680935905106,15.175551755283587,21.876093946862003,30.77801192933964,42.315585813446674,56.89728693347424,76.35134371999087,96.22736435394806,563.2063819567785,523.5346278250097,70.6962741118503,322.59711214600395,116.02839984263922,158.23001083972017,344.1381918059325,265.4215765857738,349.5162695869336,645.9105038594834,718.5734669332357,669.6587268621358,1408.430235049348,968.8812459672652,1260.0893419797148,1914.158713681449,1961.739763766568
"Delaware County, Ohio",40.17734323,-82.81856565,55.586406318165714,31.77890059671358,45.893774875489214,64.54279902600398,88.50945073387734,118.43027381891092,154.63139052855183,846.3344993003626,181.67707762072808,1148.640525207541,1051.2424768048745,83.6050371243057,622.0907812365642,110.09834543773025,147.67158909331815,493.2661576727417,217.5883209844504,285.3891524450511,589.2177545000053,627.9120205174484,516.9857792683295,1005.8864914024192,774.8893742338765,1001.9315390280578,1459.2419264499194,1546.693543887766
"Greene County, Ohio",39.78941957,-83.9413805,7.626453068800842,4.430124284386738,6.443756578785304,9.138937611300015,12.668275581207132,17.202448907790302,22.93780033635167,101.60039938401056,32.15705814349518,182.05485538153533,174.05676719282437,39.209150304096816,173.32726237453474,88.20062504250949,138.43645755989587,278.1220606888591,313.3843417847387,466.978682887792,705.8175066058827,996.3048861915106,1373.993878526512,1978.2172808172843,2595.1257951219245,3495.760405613092,4666.360950089744,6012.914689244448
"Clermont County, Ohio",39.20877458,-84.23150769,5.311695058331893,3.3158234015327004,5.01262061452948,7.432670236981723,10.836821776423193,15.566164411425344,22.06505352750714,30.91285454321057,42.86914985988943,195.0416180864945,195.60382625218048,75.28825808963715,238.6057948807191,153.5940226458373,223.19172956775728,393.1893538603673,439.514385947646,610.8490749475081,866.6334383217094,1147.312577294111,1481.4520024238816,1992.8628479134327,2492.6863393338485,3178.3005858093416,4028.034308640895,4961.131532815808
