,name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5,amount 6,amount 7,amount 8,amount 9,amount 10,amount 11,amount 12,amount 13,amount 14,amount 15,amount 16,amount 17,amount 18,amount 19,amount 20,amount 21,amount 22,amount 23,amount 24,amount 25,amount 26,amount 27
0,Snohomish County,47.82099062,-121.4522522,0.0001264746399547,0.0002094361737525,0.0003360984368273,0.0005243538764717,0.0007972157009662,0.0011834122511599,0.0017177313426578,0.0024410110719145,0.0033996875717575,0.0046448556842292,0.0062308966748736,0.0082921287855923,0.0179226283192219,0.0193469805546635,0.0342119314266506,0.0804392383376299,0.0461046099701362,0.065277844611646,0.0553837385114789,0.0213629648284847,0.0290202547322128,0.0389137671984388,0.0515451466320056,0.0675134740184368,0.0875450150707992,0.1125213665556153,0.143481899375796
1,state,35.12010447,-117.1590386,0.0444536370646664,0.0700727936164452,0.1074586346715749,0.1606623408449073,0.2345736202979749,0.3348702251243062,0.4678531643043236,0.6401378325156294,0.8581868268748557,1.127699791488169,1.4529146426859372,4.296794270419797,2.303048384460097,2.7013959740323843,8.997814033724106,22.97660041125388,6.248979098109544,8.848273962222969,3.605775739318281,0.7844648090440682,0.9874449286379912,1.2174054114822428,1.469906902868636,1.738960193508598,2.018681624135648,2.305745190680875,2.6018372548574984
2,Warren County,38.79110825,-78.25771359,1.70920118616963e-06,3.633415162256428e-06,7.258234183562094e-06,1.3710229437658374e-05,2.4641237253257388e-05,4.238300869315488e-05,7.012100166723359e-05,0.0001120804953558,0.0001737111140844,0.0002618448095093,0.0003847864190645,0.0005522748097904,0.0007752277165735,0.0010651593550657,0.0021066101969424,0.0039923973901052,0.0028493256184979,0.0037756812130557,0.0202681290209606,0.002379219148433,0.0029399311094402,0.0035584009441487,0.0042237647613012,0.0049308581537817,0.0056923961734632,0.0065556044679679,0.0076206349031431
3,Sumter County,28.70869529,-82.19247661,0.0020009458608127,0.0031101016564856,0.0047325152237169,0.007068601598964,0.0103799991860678,0.0149994509659534,0.0213392237726515,0.0298978334154811,0.0412659597179498,0.0561341578509252,0.075306832282507,0.2202668293123953,0.1423690068055782,0.1740395103150725,0.2326406288658842,0.3980395301078419,0.615359121911039,0.8507178890921719,1.3137587538297748,0.4386836791754943,0.5500186748195603,0.67437785717998,0.8080436097004742,0.945934138852703,1.0824974003918448,1.213199303667374,1.3362588742821897
4,Palm Beach County,26.67709172,-80.56373053,0.0010879801202477,0.0016439687310617,0.0024238141881957,0.0034966446748793,0.0049456283926612,0.0068685446114731,0.0093785052070709,0.0126059840127624,0.0167043864806763,0.0218629100983379,0.0283321087870167,0.1197233257560283,0.0378865569603233,0.050068395395312,0.0756649206683871,0.1317022445301781,0.1325455149806361,0.1850578937885343,0.6431085985247278,0.2437143569810079,0.3318410014382367,0.4451365185698444,0.5886169399435615,0.7677729361586456,0.988481101074069,1.256731281505758,1.577937465527346
5,Midland County,43.57419001,-84.55437763,3.328301200786401e-05,6.573873567953141e-05,0.0001231241290774,0.0002201568512814,0.0003781170152546,0.0006273035414071,0.0010105180327809,0.0015879169998722,0.0024435410975534,0.0036937454827373,0.0054976160234595,0.0080692709845919,0.0116917504661471,0.0167320599956249,0.0413384817341529,0.0882935539303773,0.0561047392516232,0.080159686601938,0.1932771583132518,0.0860889282351352,0.1205252637084724,0.1661008880877192,0.2254699010044995,0.3016072370654378,0.3977081481714213,0.5169625549006527,0.6621167273381506
6,Cass County,42.06225929,-85.90993949,3.5919817992519387e-06,7.048722694474852e-06,1.3018883588654568e-05,2.284339131173627e-05,3.835770110503854e-05,6.199744242686901e-05,9.690159339621182e-05,0.0001469984462033,0.0002170499950045,0.0003126171750758,0.0004398924456011,0.0006053308957222,0.0008150041128824,0.0010736168829413,0.0027439424649982,0.0059930601868575,0.0086745046147081,0.0123490857869519,0.0019894861266979,0.0005301353595614,0.0007997628550781,0.0012367363644071,0.001955262067897,0.0031425353328809,0.0050983748191689,0.0082919525573629,0.0134409490331618
7,Cass County,40.72939342,-86.25965362,0.0001169822025715,0.0001945504807696,0.0003138881340808,0.000492732004184,0.0007542048823649,0.0011275663427498,0.0016487077494179,0.0023602098545459,0.0033107582855262,0.0045537205385931,0.0061447413967907,0.0081383063550313,0.0174704989716597,0.0189674032470687,0.0301498114845155,0.0675263109675478,0.0527731548421586,0.0739716359056519,0.0730400420640734,0.0149668982830648,0.0185514995209812,0.0224505649264543,0.0264982261354083,0.0304827437963554,0.0341821726601165,0.0374194364599773,0.0401220087082306
8,Hamilton County,39.94240296,-86.10103966,0.0002217851860794,0.0004019661026411,0.0006934239267584,0.0011466712574588,0.0018281957883674,0.0028238926869522,0.0042431592708738,0.0062236300565248,0.0089362723129859,0.0125902205120196,0.0174363730463284,0.023768564585143,0.0337579405833748,0.0437178946246246,0.1953171248220875,0.5103814642908022,0.0471072666276435,0.0707572191455551,0.0774503015119153,0.0982450819391547,0.1429617754957712,0.2039885402769286,0.2856958413235679,0.3929978964125812,0.531098046583461,0.7050009283024038,0.918697585213574
9,Lawrence County,38.87073858,-86.34789005,1.4626139426553284e-05,3.040123685564861e-05,5.929641861281588e-05,0.0001094783262204,0.0001927182644933,0.0003253953037662,0.0005295963529414,0.0008342493353631,0.0012761710578858,0.0019008292544963,0.00276250329135,0.0039233807994356,0.0054509626450764,0.0074130068353781,0.0137827550820235,0.0250864345435849,0.0445502613126979,0.0622836791669122,0.0740897425867043,0.0130030752663306,0.0160331353698459,0.0192866611290348,0.0226058426910857,0.0257947309894114,0.028653269503096,0.0310282536270571,0.0328670695241291
