name,latitude (deg),longitude (deg),area cost factor
"Clayton, Georgia",33.58541900000855,-84.37776900042702,1
"Union, New Mexico",36.392798999687365,-103.04903500055494,1.2261904755901936
"Catron, New Mexico",34.33358200019248,-108.47707700015515,1.2261904755901936
"Cibola, New Mexico",35.278379000141925,-107.9850379995302,1.2261904755901936
"Baltimore, Maryland",39.36461400001849,-76.61575299997106,1.1785714282536317
"Sussex, Delaware",38.6820650004061,-75.39575499933157,1.2619047618341406
"Smith, Texas",32.27978800026842,-95.30602200024678,1.0238095251513326
"Tarrant, Texas",32.749574999505676,-97.2893709998394,1.0238095251513326
"King, Washington",47.47536000018102,-122.26993399993562,1.2619047618341406
"Los Angeles, California",34.06172150063066,-118.30802950003964,1.4523809511803867
"Morgan, Indiana",39.610418000556805,-86.37228399971245,1.1309523809170703
"El Paso, Colorado",38.84689899996693,-104.75738300003654,1.2857142869854727
"Clark, Nevada",36.289052000156275,-115.07989600033346,1.4047619038438253
"Orangeburg, South Carolina",33.40013099932407,-80.32993999951294,1.0119047610926144
"Franklin, Ohio",39.949309000152766,-83.03646100004025,1.1071428557657377
"Clinton, Ohio",39.5175320000863,-83.85012600025306,1.1071428557657377
"Portage, Ohio",41.16021799974502,-81.24296699932871,1.1071428557657377
"Spartanburg, South Carolina",35.189682999883715,-82.04844199980741,1.0119047610926144
"Rapides, Louisiana",31.380369999782022,-92.67311100046246,1.0952380946731233
"Norfolk, Virginia",36.91183399975564,-76.30581499940949,1.071428572487894
"Providence, Rhode Island",41.816948000249596,-71.49657400050663,1.3333333343220346
"San Mateo, California",37.63170098367057,-122.40263251835977,1.4523809511803867
"Flathead, Montana",48.26658999976791,-114.33034499982669,1.273809522926755
"Albany, New York",42.519411000330884,-73.78883300009072,1.309523809170702
"Tehama, California",40.248314000496514,-122.46233900059966,1.4523809511803867
"Midland, Michigan",43.6112720001456,-84.16767600024045,1.2857142869854727
"Oakland, Michigan",42.437330999977455,-83.49233999965087,1.2857142869854727
"Bernalillo, New Mexico",35.07724200003463,-106.60066499978134,1.2261904755901936
"Hillsborough, Florida",28.001837000023382,-82.30241099929287,1
"Franklin, Washington",46.2283399995153,-119.10142100022189,1.2619047618341406
"Waupaca, Wisconsin",44.272439000152076,-88.73938099972786,1.273809522926755
"Sonoma, California",38.5226130000746,-123.26329400016553,1.4523809511803867
"Hardin, Iowa",42.360658999663876,-93.2319350002553,1.2142857144975787
"Nevada, California",39.20930200020953,-121.24941799963368,1.4523809511803867
"Porter, Indiana",41.46947899966909,-87.01975499950214,1.1309523809170703
"Westchester, New York",41.068762000030794,-73.7692879996196,1.309523809170702
"Smith, Mississippi",31.799863000744043,-89.35586699971724,1
"Imperial, California",32.73238000017117,-114.62680899966018,1.4523809511803867
"Chaves, New Mexico",32.84257799977123,-104.84710100026119,1.2261904755901936
"Sebastian, Arkansas",35.32736800037988,-94.38756900004515,0.964285713756053
"Pottawattamie, Iowa",41.410760000075854,-95.33723800002576,1.2142857144975787
"Christian, Kentucky",36.87849700079495,-87.50838999964792,1.035714286243947
"Saline, Arkansas",34.54509399961617,-92.63089899997168,0.964285713756053
"Spokane, Washington",47.47633900025994,-117.59674799995588,1.2619047618341406
"Otsego, Michigan",45.063236999863996,-84.85497500021596,1.2857142869854727
"Beaver, Pennsylvania",40.59225699988825,-80.51907100029247,1.3571428565072634
"Montgomery, Pennsylvania",40.164708999858796,-75.3358090001858,1.3571428565072634
"San Miguel, New Mexico",35.24153099919403,-105.10552700001197,1.2261904755901936
"Luna, New Mexico",31.895929000617368,-107.6596789995752,1.2261904755901936
"Mason, Washington",47.22714800007689,-123.2260639996466,1.2619047618341406
"Leavenworth, Kansas",39.38058800026389,-95.05536699993046,1.1071428557657377
"Cleveland, Oklahoma",35.334334000329434,-97.51207500004041,1.0595238084291763
"Adams, Colorado",39.82744299997845,-104.98300799994462,1.2857142869854727
"Franklin, Missouri",38.55218899969214,-91.00202799986324,1.2380952396489113
"Hamilton, Ohio",39.10195300028114,-84.50639699987225,1.1071428557657377
"Hidalgo, New Mexico",32.54541100050435,-108.9156599998804,1.2261904755901936
"Onslow, North Carolina",34.767586999947774,-77.40606999992374,0.9880952389073854
"Blair, Pennsylvania",40.670796999965674,-78.23491700005371,1.3571428565072634
"Siskiyou, California",41.43149799997416,-122.4286349998603,1.4523809511803867
"Lawrence, Arkansas",35.97671500009669,-90.86013000080274,0.964285713756053
"Belknap, New Hampshire",43.513097000010994,-71.45443100051112,1.2261904755901936
"Anoka, Minnesota",45.19749400019692,-93.33240099969802,1.345238095414649
"Lincoln, Wyoming",41.77517600024333,-110.29241399963243,1.2142857144975787
"Wake, North Carolina",35.817777999967056,-78.25655800005138,0.9880952389073854
"York, South Carolina",34.986601000481265,-81.25011500004564,1.0119047610926144
"Winnebago, Illinois",42.3337199998622,-88.99919999992173,1.2857142869854727
"Nemaha, Nebraska",40.40843499983477,-95.83858300081849,1.1190476198244554
"Madison, Montana",45.34852599991622,-111.73957799986279,1.273809522926755
"Harris, Texas",29.67764900009024,-95.493386999416,1.0238095251513326
"Sullivan, Tennessee",36.554464000075896,-82.0964010001761,1.0119047610926144
"Torrance, New Mexico",34.31516999943572,-105.6416720000896,1.2261904755901936
"Sarasota, Florida",27.02089799965034,-82.39059200003271,1
"Multnomah, Oregon",45.46608699985039,-122.388505000449,1.3333333343220346
"Morgan, Illinois",39.68637399995678,-90.22144200022579,1.2857142869854727
"Medina, Texas",29.348819000666623,-99.1169430004858,1.0238095251513326
"Grant, Indiana",40.55883700014533,-85.66100899983807,1.1309523809170703
"San Juan, New Mexico",36.819789999980706,-107.93038900000059,1.2261904755901936
"Lincoln, New Mexico",33.33104900019913,-105.5981060004121,1.2261904755901936
"Clark, Arkansas",34.08475699993525,-93.32170100016054,0.964285713756053
"DeKalb, Alabama",34.44426200011518,-85.71957900005582,1
"Liberty, Montana",48.50926899968571,-110.9592580003641,1.273809522926755
"Wyandot, Ohio",40.7761319995226,-83.24203899933686,1.1071428557657377
"Anderson, South Carolina",34.47687200071465,-82.58721199931608,1.0119047610926144
"Marshall, Oklahoma",33.998781000061925,-96.72199199954115,1.0595238084291763
"Middlesex, Massachusetts",42.42563500038585,-71.07389300039875,1.4047619038438253
"Maricopa, Arizona",33.45926399970185,-111.98714199969439,1.2023809534049643
"Mason, Michigan",44.10851499986468,-86.2800880003698,1.2857142869854727
"Guadalupe, New Mexico",34.7294900003538,-104.44819600003564,1.2261904755901936
"Monroe, New York",42.94029700027848,-77.70031199983396,1.309523809170702
