OID_,Entity_ID,Plant_Name,Nameplate_Capacity__MW_,Technology,Operating_Year,Retirement_Year,County_GEOID,County Name,State,State code
1,803,Cholla,414,Conventional Steam Coal,1981,2020,4017,Navajo,Arizona,AZ
2,17828,Dallman,90.2,Conventional Steam Coal,1968,2020,17167,Sangamon,Illinois,IL
3,17828,Dallman,90.2,Conventional Steam Coal,1972,2020,17167,Sangamon,Illinois,IL
4,56155,Eckert Station,80,Conventional Steam Coal,1968,2020,26065,Ingham,Michigan,MI
5,56155,Eckert Station,80,Conventional Steam Coal,1970,2020,26065,Ingham,Michigan,MI
6,19099,Transalta Centralia Generation,729.9,Conventional Steam Coal,1972,2020,53041,Lewis,Washington,WA
7,6452,Indiantown Cogeneration LP,395.4,Conventional Steam Coal,1995,2020,12085,Martin,Florida,FL
8,30151,Escalante,257,Conventional Steam Coal,1984,2020,35031,McKinley,New Mexico,NM
9,189,Lowman Energy Center,66,Conventional Steam Coal,1969,2020,1129,Washington,Alabama,AL
10,189,Lowman Energy Center,236,Conventional Steam Coal,1978,2020,1129,Washington,Alabama,AL
11,189,Lowman Energy Center,236,Conventional Steam Coal,1980,2020,1129,Washington,Alabama,AL
12,15248,Boardman,642.2,Conventional Steam Coal,1980,2020,41049,Morrow,Oregon,OR
13,15474,Oklaunion,720,Conventional Steam Coal,1986,2020,48487,Wilbarger,Texas,TX
14,12653,Dickerson,196,Conventional Steam Coal,1960,2020,24031,Montgomery,Maryland,MD
15,12653,Dickerson,196,Conventional Steam Coal,1962,2020,24031,Montgomery,Maryland,MD
16,12653,Dickerson,196,Conventional Steam Coal,1959,2020,24031,Montgomery,Maryland,MD
17,60422,Herbert A Wagner,136,Conventional Steam Coal,1959,2020,24003,Anne Arundel,Maryland,MD
18,7483,J B Sims,80,Conventional Steam Coal,1983,2020,26139,Ottawa,Michigan,MI
19,58620,Conesville,841.5,Conventional Steam Coal,1973,2020,39031,Coshocton,Ohio,OH
20,14268,Elmer Smith,163.2,Conventional Steam Coal,1964,2020,21059,Daviess,Kentucky,KY
21,14268,Elmer Smith,282.1,Conventional Steam Coal,1974,2020,21059,Daviess,Kentucky,KY
