plant type,location name,year,emission type,emission amount (tonne)
PV Recycling Plant,"Baldor Electric Co., AR",1,CO2,0.0
PV Recycling Plant,"Baldor Electric Co., AR",2,CO2,0.0
PV Recycling Plant,"Baldor Electric Co., AR",3,CO2,0.0
PV Recycling Plant,"Baldor Electric Co., AR",4,CO2,0.0
PV Recycling Plant,"Baldor Electric Co., AR",5,CO2,0.0
PV Recycling Plant,"Baldor Electric Co., AR",6,CO2,0.0
PV Recycling Plant,"Baldor Electric Co., AR",7,CO2,0.0
PV Recycling Plant,"Baldor Electric Co., AR",8,CO2,0.0
PV Recycling Plant,"Baldor Electric Co., AR",9,CO2,0.0
PV Recycling Plant,"Baldor Electric Co., AR",10,CO2,4731.889369
PV Recycling Plant,"Baldor Electric Co., AR",11,CO2,4603.817783
PV Recycling Plant,"Baldor Electric Co., AR",12,CO2,1179.819231
PV Recycling Plant,"Baldor Electric Co., AR",13,CO2,4952.744829
PV Recycling Plant,"Baldor Electric Co., AR",14,CO2,1878.390323
PV Recycling Plant,"Baldor Electric Co., AR",15,CO2,2488.542927
PV Recycling Plant,"Baldor Electric Co., AR",16,CO2,6377.573343
PV Recycling Plant,"Baldor Electric Co., AR",17,CO2,3864.576304
PV Recycling Plant,"Baldor Electric Co., AR",18,CO2,4906.507422
PV Recycling Plant,"Baldor Electric Co., AR",19,CO2,11073.944647
PV Recycling Plant,"Baldor Electric Co., AR",20,CO2,11346.308211
PV Recycling Plant,"Baldor Electric Co., AR",21,CO2,7286.368041
PV Recycling Plant,"Baldor Electric Co., AR",22,CO2,15489.986453
PV Recycling Plant,"Baldor Electric Co., AR",23,CO2,10225.776103
PV Recycling Plant,"Baldor Electric Co., AR",24,CO2,12792.413792
PV Recycling Plant,"Baldor Electric Co., AR",25,CO2,19552.727576
PV Recycling Plant,"Baldor Electric Co., AR",26,CO2,19552.727576
PV Recycling Plant,"Columbia Block & Brick, MS",1,CO2,0.0
PV Recycling Plant,"Columbia Block & Brick, MS",2,CO2,0.0
PV Recycling Plant,"Columbia Block & Brick, MS",3,CO2,0.0
PV Recycling Plant,"Columbia Block & Brick, MS",4,CO2,0.0
PV Recycling Plant,"Columbia Block & Brick, MS",5,CO2,0.0
PV Recycling Plant,"Columbia Block & Brick, MS",6,CO2,0.0
PV Recycling Plant,"Columbia Block & Brick, MS",7,CO2,0.0
PV Recycling Plant,"Columbia Block & Brick, MS",8,CO2,0.0
PV Recycling Plant,"Columbia Block & Brick, MS",9,CO2,0.0
PV Recycling Plant,"Columbia Block & Brick, MS",10,CO2,2075.933831
PV Recycling Plant,"Columbia Block & Brick, MS",11,CO2,2249.4577
PV Recycling Plant,"Columbia Block & Brick, MS",12,CO2,1384.996023
PV Recycling Plant,"Columbia Block & Brick, MS",13,CO2,3622.694844
PV Recycling Plant,"Columbia Block & Brick, MS",14,CO2,2493.387937
PV Recycling Plant,"Columbia Block & Brick, MS",15,CO2,3358.316996
PV Recycling Plant,"Columbia Block & Brick, MS",16,CO2,5994.923455
PV Recycling Plant,"Columbia Block & Brick, MS",17,CO2,5583.06628
PV Recycling Plant,"Columbia Block & Brick, MS",18,CO2,7154.589973
PV Recycling Plant,"Columbia Block & Brick, MS",19,CO2,13255.970104
PV Recycling Plant,"Columbia Block & Brick, MS",20,CO2,14424.019473
PV Recycling Plant,"Columbia Block & Brick, MS",21,CO2,11992.219128
PV Recycling Plant,"Columbia Block & Brick, MS",22,CO2,23923.517886
PV Recycling Plant,"Columbia Block & Brick, MS",23,CO2,15556.20882
PV Recycling Plant,"Columbia Block & Brick, MS",24,CO2,19178.456022
PV Recycling Plant,"Columbia Block & Brick, MS",25,CO2,19552.727576
PV Recycling Plant,"Columbia Block & Brick, MS",26,CO2,19552.727576
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",1,CO2,0.0
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",2,CO2,0.0
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",3,CO2,0.0
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",4,CO2,0.0
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",5,CO2,0.0
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",6,CO2,0.0
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",7,CO2,0.0
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",8,CO2,0.0
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",9,CO2,0.0
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",10,CO2,420.046873
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",11,CO2,456.724874
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",12,CO2,296.241146
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",13,CO2,40336.971165
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",14,CO2,8221.768495
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",15,CO2,539.381004
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",16,CO2,33791.883063
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",17,CO2,11330.351572
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",18,CO2,13535.948094
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",19,CO2,39881.581948
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",20,CO2,38311.872461
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",21,CO2,8863.200257
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",22,CO2,22072.868362
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",23,CO2,8805.297188
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",24,CO2,10082.511287
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",25,CO2,17836.8668
PV Recycling Plant,"Gold Star Engraving & Awards, AZ",26,CO2,10567.622306
PV Recycling Plant,"Standard Enterprises, Inc., VA",1,CO2,0.0
PV Recycling Plant,"Standard Enterprises, Inc., VA",2,CO2,0.0
PV Recycling Plant,"Standard Enterprises, Inc., VA",3,CO2,0.0
