plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",1,34.0,-90.0,1.0395480423e8,1.719167338e7,1.719167338e7,0.0,16.54,3.41720000914e9,4.349774666e8,0.0,4.073596559e7,6.87583107693e10,0.0,6.923402420149e10
PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",2,34.0,-90.0,1.0395480423e8,4.97478019e6,4.97478019e6,0.0,4.79,9.8884026733e8,0.0,0.0,4.073596559e7,1.989669501932e10,0.0,1.993743098491e10
PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",3,34.0,-90.0,1.0395480423e8,4.16508703e6,4.16508703e6,0.0,4.01,8.2789703592e8,0.0,0.0,4.073596559e7,1.665831719776e10,0.0,1.669905316335e10
PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",4,34.0,-90.0,1.0395480423e8,4.12500422e6,4.12500422e6,0.0,3.97,8.1992974985e8,0.0,0.0,4.073596559e7,1.649800550117e10,0.0,1.653874146676e10
PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",5,34.0,-90.0,1.0395480423e8,5.39572805e6,5.39572805e6,0.0,5.19,1.07251234598e9,0.0,0.0,4.073596559e7,2.158028122192e10,0.0,2.162101718751e10
PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",6,34.0,-90.0,1.0395480423e8,5.33101721e6,5.33101721e6,0.0,5.13,1.05964973013e9,0.0,0.0,4.073596559e7,2.132146940642e10,0.0,2.136220537201e10
PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",7,34.0,-90.0,1.0395480423e8,3.17255054e6,3.17255054e6,0.0,3.05,6.3060991783e8,0.0,0.0,4.073596559e7,1.26886552113e10,0.0,1.272939117689e10
PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",8,34.0,-90.0,1.0395480423e8,3.14444609e6,3.14444609e6,0.0,3.02,6.2502357739e8,0.0,0.0,4.073596559e7,1.257625109955e10,0.0,1.261698706514e10
PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",9,34.0,-90.0,1.0395480423e8,6.40038378e6,6.40038378e6,0.0,6.16,1.27220841426e9,0.0,0.0,4.073596559e7,2.559841427976e10,0.0,2.563915024535e10
PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",10,34.0,-90.0,1.0395480423e8,6.36885268e6,6.36885268e6,0.0,6.13,1.26594095622e9,0.0,0.0,4.073596559e7,2.547230523551e10,0.0,2.55130412011e10
PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",11,34.0,-90.0,1.0395480423e8,5.65920654e6,5.65920654e6,0.0,5.44,1.12488413445e9,0.0,0.0,4.073596559e7,2.263406668876e10,0.0,2.267480265435e10
PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",12,34.0,-90.0,1.0395480423e8,5.63694974e6,5.63694974e6,0.0,5.42,1.12046013763e9,0.0,0.0,4.073596559e7,2.254505037511e10,0.0,2.25857863407e10
PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",13,34.0,-90.0,1.0395480423e8,3.74849788e6,3.74849788e6,0.0,3.61,7.450913415e8,0.0,0.0,4.073596559e7,1.499216372264e10,0.0,1.503289968823e10
PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",14,34.0,-90.0,1.0395480423e8,3.73534739e6,3.73534739e6,0.0,3.59,7.4247741118e8,0.0,0.0,4.073596559e7,1.493956819642e10,0.0,1.498030416201e10
PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",15,34.0,-90.0,1.0395480423e8,843898.05,843898.05,0.0,0.81,1.6774215932e8,0.0,0.0,4.073596559e7,3.37518070029e9,0.0,3.41591666588e9
PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",16,34.0,-90.0,1.0395480423e8,841225.98,841225.98,0.0,0.81,1.6721103111e8,0.0,0.0,4.073596559e7,3.36449374067e9,0.0,3.40522970626e9
