plant type,location name,year,emission type,emission amount (tonne)
PV Recycling Plant,"Glen Lyn, Virginia",1,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",2,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",3,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",4,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",5,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",6,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",7,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",8,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",9,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",10,CO2,2932.909136
PV Recycling Plant,"Glen Lyn, Virginia",11,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",12,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",13,CO2,2051.946595
PV Recycling Plant,"Glen Lyn, Virginia",14,CO2,433.362855
PV Recycling Plant,"Glen Lyn, Virginia",15,CO2,447.599687
PV Recycling Plant,"Glen Lyn, Virginia",16,CO2,977.636379
PV Recycling Plant,"Glen Lyn, Virginia",17,CO2,977.636379
PV Recycling Plant,"Glen Lyn, Virginia",18,CO2,977.636379
PV Recycling Plant,"Glen Lyn, Virginia",19,CO2,977.636379
PV Recycling Plant,"Glen Lyn, Virginia",20,CO2,977.636379
PV Recycling Plant,"Glen Lyn, Virginia",21,CO2,977.636379
PV Recycling Plant,"Glen Lyn, Virginia",22,CO2,977.636379
PV Recycling Plant,"Glen Lyn, Virginia",23,CO2,977.636379
PV Recycling Plant,"Glen Lyn, Virginia",24,CO2,977.636379
PV Recycling Plant,"Glen Lyn, Virginia",25,CO2,977.636379
PV Recycling Plant,"Glen Lyn, Virginia",26,CO2,977.636379
PV Recycling Plant,"Escanaba, Michigan",1,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",2,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",3,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",4,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",5,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",6,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",7,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",8,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",9,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",10,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",11,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",12,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",13,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",14,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",15,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",16,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",17,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",18,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",19,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",20,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",21,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",22,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",23,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",24,CO2,0.0
PV Recycling Plant,"Escanaba, Michigan",25,CO2,1955.272758
PV Recycling Plant,"Escanaba, Michigan",26,CO2,0.0
PV Recycling Plant,"Walter C Beckjord, Ohio",1,CO2,0.0
PV Recycling Plant,"Walter C Beckjord, Ohio",2,CO2,0.0
PV Recycling Plant,"Walter C Beckjord, Ohio",3,CO2,0.0
PV Recycling Plant,"Walter C Beckjord, Ohio",4,CO2,0.0
PV Recycling Plant,"Walter C Beckjord, Ohio",5,CO2,0.0
PV Recycling Plant,"Walter C Beckjord, Ohio",6,CO2,0.0
PV Recycling Plant,"Walter C Beckjord, Ohio",7,CO2,0.0
PV Recycling Plant,"Walter C Beckjord, Ohio",8,CO2,0.0
PV Recycling Plant,"Walter C Beckjord, Ohio",9,CO2,0.0
PV Recycling Plant,"Walter C Beckjord, Ohio",10,CO2,0.0
PV Recycling Plant,"Walter C Beckjord, Ohio",11,CO2,0.0
PV Recycling Plant,"Walter C Beckjord, Ohio",12,CO2,0.0
PV Recycling Plant,"Walter C Beckjord, Ohio",13,CO2,0.0
PV Recycling Plant,"Walter C Beckjord, Ohio",14,CO2,0.0
PV Recycling Plant,"Walter C Beckjord, Ohio",15,CO2,0.0
PV Recycling Plant,"Walter C Beckjord, Ohio",16,CO2,0.0
PV Recycling Plant,"Walter C Beckjord, Ohio",17,CO2,0.0
PV Recycling Plant,"Walter C Beckjord, Ohio",18,CO2,0.0
PV Recycling Plant,"Walter C Beckjord, Ohio",19,CO2,977.636379
PV Recycling Plant,"Walter C Beckjord, Ohio",20,CO2,1524.699652
PV Recycling Plant,"Walter C Beckjord, Ohio",21,CO2,430.573105
PV Recycling Plant,"Walter C Beckjord, Ohio",22,CO2,1445.850679
PV Recycling Plant,"Walter C Beckjord, Ohio",23,CO2,554.130488
PV Recycling Plant,"Walter C Beckjord, Ohio",24,CO2,932.927969
PV Recycling Plant,"Walter C Beckjord, Ohio",25,CO2,977.636379
PV Recycling Plant,"Walter C Beckjord, Ohio",26,CO2,977.636379
PV Recycling Plant,"H B Robinson, South Carolina",1,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",2,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",3,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",4,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",5,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",6,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",7,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",8,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",9,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",10,CO2,977.636379
PV Recycling Plant,"H B Robinson, South Carolina",11,CO2,1373.526985
PV Recycling Plant,"H B Robinson, South Carolina",12,CO2,581.745772
PV Recycling Plant,"H B Robinson, South Carolina",13,CO2,1955.272758
PV Recycling Plant,"H B Robinson, South Carolina",14,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",15,CO2,1011.87273
PV Recycling Plant,"H B Robinson, South Carolina",16,CO2,943.400028
PV Recycling Plant,"H B Robinson, South Carolina",17,CO2,977.636379
PV Recycling Plant,"H B Robinson, South Carolina",18,CO2,977.636379
PV Recycling Plant,"H B Robinson, South Carolina",19,CO2,977.636379
PV Recycling Plant,"H B Robinson, South Carolina",20,CO2,977.636379
PV Recycling Plant,"H B Robinson, South Carolina",21,CO2,977.636379
PV Recycling Plant,"H B Robinson, South Carolina",22,CO2,977.636379
PV Recycling Plant,"H B Robinson, South Carolina",23,CO2,977.636379
PV Recycling Plant,"H B Robinson, South Carolina",24,CO2,977.636379
PV Recycling Plant,"H B Robinson, South Carolina",25,CO2,977.636379
PV Recycling Plant,"H B Robinson, South Carolina",26,CO2,977.636379
PV Recycling Plant,"Ashland Inc, Missouri",1,CO2,0.0
PV Recycling Plant,"Ashland Inc, Missouri",2,CO2,0.0
PV Recycling Plant,"Ashland Inc, Missouri",3,CO2,0.0
PV Recycling Plant,"Ashland Inc, Missouri",4,CO2,0.0
PV Recycling Plant,"Ashland Inc, Missouri",5,CO2,0.0
PV Recycling Plant,"Ashland Inc, Missouri",6,CO2,0.0
PV Recycling Plant,"Ashland Inc, Missouri",7,CO2,0.0
PV Recycling Plant,"Ashland Inc, Missouri",8,CO2,0.0
PV Recycling Plant,"Ashland Inc, Missouri",9,CO2,0.0
PV Recycling Plant,"Ashland Inc, Missouri",10,CO2,0.0
PV Recycling Plant,"Ashland Inc, Missouri",11,CO2,0.0
PV Recycling Plant,"Ashland Inc, Missouri",12,CO2,0.0
PV Recycling Plant,"Ashland Inc, Missouri",13,CO2,0.0
PV Recycling Plant,"Ashland Inc, Missouri",14,CO2,0.0
PV Recycling Plant,"Ashland Inc, Missouri",15,CO2,0.0
PV Recycling Plant,"Ashland Inc, Missouri",16,CO2,0.0
PV Recycling Plant,"Ashland Inc, Missouri",17,CO2,0.0
PV Recycling Plant,"Ashland Inc, Missouri",18,CO2,0.0
PV Recycling Plant,"Ashland Inc, Missouri",19,CO2,977.636379
PV Recycling Plant,"Ashland Inc, Missouri",20,CO2,977.636379
PV Recycling Plant,"Ashland Inc, Missouri",21,CO2,977.636379
PV Recycling Plant,"Ashland Inc, Missouri",22,CO2,2763.56055
PV Recycling Plant,"Ashland Inc, Missouri",23,CO2,133.667328
PV Recycling Plant,"Ashland Inc, Missouri",24,CO2,35.681258
PV Recycling Plant,"Ashland Inc, Missouri",25,CO2,977.636379
PV Recycling Plant,"Ashland Inc, Missouri",26,CO2,977.636379
PV Recycling Plant,"San Juan, New Mexico",1,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",2,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",3,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",4,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",5,CO2,983.467803
PV Recycling Plant,"San Juan, New Mexico",6,CO2,1097.492789
PV Recycling Plant,"San Juan, New Mexico",7,CO2,851.948545
