source type,source location name,source latitude (deg),source longitude (deg),destination type,destination location name,destination latitude (deg),destination longitude (deg),product,year,distance (km),shipped amount (tonne),shipped amount-distance (tonne-km),emission type,emission amount (tonne)
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,1,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,2,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,3,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,4,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,5,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,6,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,7,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,8,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,9,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,10,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,11,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,12,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,13,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,14,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,15,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,16,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,17,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,18,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,19,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,20,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,21,841.58,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,22,841.58,242.305245,203919.24786,CO2,34.054514
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,23,841.58,68.175656,57375.26877,CO2,9.58167
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,24,841.58,75.815399,63804.723285,CO2,10.655389
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Baldor Electric Co., AR",35.0,-93.0,PV Module,25,841.58,164.547266,138479.687965,CO2,23.126108
