source type,source location name,source latitude (deg),source longitude (deg),destination type,destination location name,destination latitude (deg),destination longitude (deg),product,year,distance (km),shipped amount (tonne),shipped amount-distance (tonne-km),emission type,emission amount (tonne)
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,1,28.012,0.0,0.0,CO2,0.0
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,2,28.012,0.0,0.0,CO2,0.0
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,3,28.012,0.0,0.0,CO2,0.0
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,4,28.012,0.0,0.0,CO2,0.0
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,5,28.012,0.0,0.0,CO2,0.0
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,6,28.012,0.0,0.0,CO2,0.0
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,7,28.012,0.0,0.0,CO2,0.0
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,8,28.012,0.0,0.0,CO2,0.0
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,9,28.012,0.0,0.0,CO2,0.0
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,10,28.012,0.0,0.0,CO2,0.0
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,11,28.012,0.0,0.0,CO2,0.0
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,12,28.012,0.0,0.0,CO2,0.0
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,13,28.012,0.0,0.0,CO2,0.0
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,14,28.012,0.0,0.0,CO2,0.0
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,15,28.012,0.0,0.0,CO2,0.0
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,16,28.012,0.0,0.0,CO2,0.0
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,17,28.012,0.0,0.0,CO2,0.0
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,18,28.012,0.0,0.0,CO2,0.0
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,19,28.012,103954.8042,2.91198197525e6,CO2,486.30099
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,20,28.012,103954.8042,2.91198197525e6,CO2,486.30099
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,21,28.012,2960.316745,82924.392666,CO2,13.848374
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,22,28.012,2953.063629,82721.218381,CO2,13.814443
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,23,28.012,71198.046468,1.994399677671e6,CO2,333.064746
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,24,28.012,71035.833352,1.989855763853e6,CO2,332.305913
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,25,28.012,103954.8042,2.91198197525e6,CO2,486.30099
Origin,"Allegany County, Maryland",39.551261,-79.019464,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,26,28.012,103954.8042,2.91198197525e6,CO2,486.30099
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,1,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,2,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,3,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,4,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,5,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,6,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,7,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,8,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,9,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,10,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,11,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,12,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,13,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,14,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,15,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,16,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,17,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,18,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,19,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,20,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,21,76.543,200.752259,15366.180132,CO2,2.566152
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,22,76.543,200.260393,15328.531226,CO2,2.559865
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,23,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,24,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,25,76.543,0.0,0.0,CO2,0.0
Origin,"Franklin County, Pennsylvania",39.906651,-77.895377,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,26,76.543,0.0,0.0,CO2,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,1,177.416,0.0,0.0,CO2,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,2,177.416,0.0,0.0,CO2,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,3,177.416,0.0,0.0,CO2,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,4,177.416,0.0,0.0,CO2,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,5,177.416,0.0,0.0,CO2,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,6,177.416,0.0,0.0,CO2,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,7,177.416,0.0,0.0,CO2,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,8,177.416,0.0,0.0,CO2,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,9,177.416,0.0,0.0,CO2,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,10,177.416,0.0,0.0,CO2,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,11,177.416,0.0,0.0,CO2,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,12,177.416,0.0,0.0,CO2,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,13,177.416,0.0,0.0,CO2,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,14,177.416,0.0,0.0,CO2,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,15,177.416,0.0,0.0,CO2,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,16,177.416,0.0,0.0,CO2,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,17,177.416,0.0,0.0,CO2,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,18,177.416,0.0,0.0,CO2,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Manufacturing Plant,"Luke Mill, Maryland",39.612313,-78.703104,PV Modules Materials,19,177.416,0.0,0.0,CO2,0.0
