plant type,location name,year,product name,amount produced (tonne),amount sent (tonne),amount disposed (tonne),disposal cost ($)
PV Recycling Plant,"Glen Lyn, Virginia",1,Contaminated glass,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",2,Contaminated glass,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",3,Contaminated glass,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",4,Contaminated glass,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",5,Contaminated glass,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",6,Contaminated glass,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",7,Contaminated glass,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",8,Contaminated glass,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",9,Contaminated glass,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",10,Contaminated glass,0.385052,0.0,0.385052,63.963022
PV Recycling Plant,"Glen Lyn, Virginia",11,Contaminated glass,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",12,Contaminated glass,1.247218,0.0,1.247218,207.181854
PV Recycling Plant,"Glen Lyn, Virginia",13,Contaminated glass,4.787847,0.0,4.787847,795.334144
PV Recycling Plant,"Glen Lyn, Virginia",14,Contaminated glass,0.944259,0.0,0.944259,156.855709
PV Recycling Plant,"Glen Lyn, Virginia",15,Contaminated glass,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",16,Contaminated glass,6.308836,0.0,6.308836,1047.993581
PV Recycling Plant,"Glen Lyn, Virginia",17,Contaminated glass,1.550486,0.0,1.550486,257.559239
PV Recycling Plant,"Glen Lyn, Virginia",18,Contaminated glass,1.967981,0.0,1.967981,326.911514
PV Recycling Plant,"Glen Lyn, Virginia",19,Contaminated glass,342.083944,0.0,342.083944,56825.339863
PV Recycling Plant,"Glen Lyn, Virginia",20,Contaminated glass,362.492085,0.0,362.492085,60215.442153
PV Recycling Plant,"Glen Lyn, Virginia",21,Contaminated glass,305.696558,0.0,305.696558,50780.842316
PV Recycling Plant,"Glen Lyn, Virginia",22,Contaminated glass,400.200934,0.0,400.200934,66479.45474
PV Recycling Plant,"Glen Lyn, Virginia",23,Contaminated glass,400.200934,0.0,400.200934,66479.45474
PV Recycling Plant,"Glen Lyn, Virginia",24,Contaminated glass,400.200934,0.0,400.200934,66479.45474
PV Recycling Plant,"Glen Lyn, Virginia",25,Contaminated glass,400.200934,0.0,400.200934,66479.45474
PV Recycling Plant,"Glen Lyn, Virginia",26,Contaminated glass,400.200934,0.0,400.200934,66479.45474
PV Recycling Plant,"Glen Lyn, Virginia",1,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",2,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",3,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",4,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",5,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",6,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",7,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",8,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",9,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",10,Tellurium (CdTe),0.000967,0.0,0.000967,0.0
PV Recycling Plant,"Glen Lyn, Virginia",11,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",12,Tellurium (CdTe),0.003133,0.0,0.003133,0.0
PV Recycling Plant,"Glen Lyn, Virginia",13,Tellurium (CdTe),0.012026,0.0,0.012026,0.0
PV Recycling Plant,"Glen Lyn, Virginia",14,Tellurium (CdTe),0.002372,0.0,0.002372,0.0
PV Recycling Plant,"Glen Lyn, Virginia",15,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",16,Tellurium (CdTe),0.015846,0.0,0.015846,0.0
PV Recycling Plant,"Glen Lyn, Virginia",17,Tellurium (CdTe),0.003894,0.0,0.003894,0.0
PV Recycling Plant,"Glen Lyn, Virginia",18,Tellurium (CdTe),0.004943,0.0,0.004943,0.0
PV Recycling Plant,"Glen Lyn, Virginia",19,Tellurium (CdTe),0.859225,0.0,0.859225,0.0
PV Recycling Plant,"Glen Lyn, Virginia",20,Tellurium (CdTe),0.910484,0.0,0.910484,0.0
PV Recycling Plant,"Glen Lyn, Virginia",21,Tellurium (CdTe),0.767829,0.0,0.767829,0.0
PV Recycling Plant,"Glen Lyn, Virginia",22,Tellurium (CdTe),1.005199,0.0,1.005199,0.0
PV Recycling Plant,"Glen Lyn, Virginia",23,Tellurium (CdTe),1.005199,0.0,1.005199,0.0
PV Recycling Plant,"Glen Lyn, Virginia",24,Tellurium (CdTe),1.005199,0.0,1.005199,0.0
PV Recycling Plant,"Glen Lyn, Virginia",25,Tellurium (CdTe),1.005199,0.0,1.005199,0.0
PV Recycling Plant,"Glen Lyn, Virginia",26,Tellurium (CdTe),1.005199,0.0,1.005199,0.0
PV Recycling Plant,"Glen Lyn, Virginia",1,Encapsulant (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",2,Encapsulant (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",3,Encapsulant (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",4,Encapsulant (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",5,Encapsulant (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",6,Encapsulant (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",7,Encapsulant (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",8,Encapsulant (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",9,Encapsulant (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",10,Encapsulant (CdTe),0.050025,0.0,0.050025,0.0
PV Recycling Plant,"Glen Lyn, Virginia",11,Encapsulant (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",12,Encapsulant (CdTe),0.162037,0.0,0.162037,0.0
PV Recycling Plant,"Glen Lyn, Virginia",13,Encapsulant (CdTe),0.62203,0.0,0.62203,0.0
PV Recycling Plant,"Glen Lyn, Virginia",14,Encapsulant (CdTe),0.122677,0.0,0.122677,0.0
PV Recycling Plant,"Glen Lyn, Virginia",15,Encapsulant (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",16,Encapsulant (CdTe),0.819635,0.0,0.819635,0.0
