plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Recycling Plant,"Glen Lyn, Virginia",1,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",2,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",3,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",4,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",5,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",6,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",7,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",8,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",9,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",10,37.318072,-80.698321,14000.0,13.470061,13.470061,0.0,0.096215,11.799369,8.34220647617e6,0.0,225936.170213,4382.928547,0.0,8.57252557493e6
PV Recycling Plant,"Glen Lyn, Virginia",11,37.318072,-80.698321,14000.0,0.0,18.560538,18.560538,0.0,16.258474,0.0,0.0,225936.170213,0.0,0.0,225936.170213
PV Recycling Plant,"Glen Lyn, Virginia",12,37.318072,-80.698321,14000.0,43.630712,25.070175,0.0,0.311648,21.960721,0.0,0.0,225936.170213,14196.691121,0.0,240132.861334
PV Recycling Plant,"Glen Lyn, Virginia",13,37.318072,-80.698321,14000.0,167.490513,167.490513,0.0,1.196361,146.716665,0.0,0.0,225936.170213,54498.562181,0.0,280434.732394
PV Recycling Plant,"Glen Lyn, Virginia",14,37.318072,-80.698321,14000.0,33.03246,33.03246,0.0,0.235946,28.935444,0.0,0.0,225936.170213,10748.200244,0.0,236684.370457
PV Recycling Plant,"Glen Lyn, Virginia",15,37.318072,-80.698321,14000.0,0.0,43.022746,43.022746,0.0,37.686635,0.0,0.0,225936.170213,0.0,0.0,225936.170213
PV Recycling Plant,"Glen Lyn, Virginia",16,37.318072,-80.698321,14000.0,220.698413,177.675667,0.0,1.576417,155.638554,0.0,0.0,225936.170213,71811.506925,0.0,297747.677138
PV Recycling Plant,"Glen Lyn, Virginia",17,37.318072,-80.698321,14000.0,54.239755,54.239755,0.0,0.387427,47.512398,0.0,0.0,225936.170213,17648.693099,0.0,243584.863312
PV Recycling Plant,"Glen Lyn, Virginia",18,37.318072,-80.698321,14000.0,68.844746,68.844746,0.0,0.491748,60.305932,0.0,0.0,225936.170213,22400.908605,0.0,248337.078818
PV Recycling Plant,"Glen Lyn, Virginia",19,37.318072,-80.698321,14000.0,11966.926642,11966.926642,0.0,85.478047,10482.668731,0.0,0.0,225936.170213,3.893834237017e6,0.0,4.11977040723e6
PV Recycling Plant,"Glen Lyn, Virginia",20,37.318072,-80.698321,14000.0,12680.852956,12680.852956,0.0,90.577521,11108.046764,0.0,0.0,225936.170213,4.126133707527e6,0.0,4.35206987774e6
PV Recycling Plant,"Glen Lyn, Virginia",21,37.318072,-80.698321,14000.0,10694.007573,10694.007573,0.0,76.385768,9367.629814,0.0,0.0,225936.170213,3.479648038548e6,0.0,3.705584208761e6
PV Recycling Plant,"Glen Lyn, Virginia",22,37.318072,-80.698321,14000.0,14000.0,14965.339645,965.339645,100.0,13109.188569,0.0,0.0,225936.170213,4.555361702128e6,0.0,4.781297872341e6
PV Recycling Plant,"Glen Lyn, Virginia",23,37.318072,-80.698321,14000.0,14000.0,13034.660355,0.0,100.0,11417.971431,0.0,0.0,225936.170213,4.555361702128e6,0.0,4.781297872341e6
PV Recycling Plant,"Glen Lyn, Virginia",24,37.318072,-80.698321,14000.0,14000.0,14000.0,0.0,100.0,12263.58,0.0,0.0,225936.170213,4.555361702128e6,0.0,4.781297872341e6
