source type,source location name,source latitude (deg),source longitude (deg),destination type,destination location name,destination latitude (deg),destination longitude (deg),product,year,distance (km),amount (tonne),amount-distance (tonne-km),transportation cost ($),transportation energy (GJ)
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,1,405.59,0.0,0.0,0.0,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,2,405.59,0.0,0.0,0.0,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,3,405.59,0.0,0.0,0.0,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,4,405.59,0.0,0.0,0.0,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,5,405.59,0.0,0.0,0.0,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,6,405.59,0.0,0.0,0.0,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,7,405.59,0.0,0.0,0.0,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,8,405.59,0.0,0.0,0.0,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,9,405.59,0.0,0.0,0.0,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,10,405.59,0.0,0.0,0.0,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,11,405.59,0.0,0.0,0.0,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,12,405.59,0.0,0.0,0.0,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,13,405.59,0.0,0.0,0.0,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,14,405.59,0.0,0.0,0.0,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,15,405.59,0.0,0.0,0.0,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,16,405.59,0.0,0.0,0.0,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,17,405.59,0.0,0.0,0.0,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,18,405.59,0.0,0.0,0.0,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,19,405.59,8169.28,3.31337839e6,196005.58,9012.39
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,20,405.59,9652.33,3.91489019e6,231588.5,10648.5
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,21,405.59,10466.13,4.24495776e6,251113.91,11546.29
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,22,405.59,4636.88,1.88067379e6,111252.78,5115.43
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,23,405.59,10035.87,4.07045034e6,240790.78,11071.62
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,24,405.59,758.32,307565.44,18194.28,836.58
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,25,405.59,6673.35,2.70664449e6,160113.74,7362.07
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,26,405.59,1962.78,796084.05,47093.0,2165.35
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,1,192.01,0.0,0.0,0.0,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,2,192.01,0.0,0.0,0.0,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,3,192.01,0.0,0.0,0.0,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,4,192.01,0.0,0.0,0.0,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,5,192.01,0.0,0.0,0.0,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,6,192.01,0.0,0.0,0.0,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,7,192.01,0.0,0.0,0.0,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,8,192.01,0.0,0.0,0.0,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,9,192.01,0.0,0.0,0.0,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,10,192.01,0.0,0.0,0.0,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,11,192.01,0.0,0.0,0.0,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,12,192.01,0.0,0.0,0.0,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,13,192.01,0.0,0.0,0.0,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,14,192.01,0.0,0.0,0.0,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,15,192.01,0.0,0.0,0.0,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,16,192.01,0.0,0.0,0.0,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,17,192.01,0.0,0.0,0.0,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,18,192.01,0.0,0.0,0.0,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,19,192.01,3348.08,642864.49,38029.17,1748.59
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,20,192.01,0.0,0.0,0.0,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,21,192.01,2587.32,496790.73,29388.06,1351.27
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,22,192.01,9102.39,1.74775041e6,103389.59,4753.88
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,23,192.01,2881.66,553307.3,32731.34,1505.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,24,192.01,3129.91,600973.21,35551.06,1634.65
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,25,192.01,6383.02,1.22560428e6,72501.61,3333.64
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,26,192.01,2442.37,468959.9,27741.7,1275.57
Origin,"Cass County, Michigan",42.062259,-85.909939,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,1,690.24,0.0,0.0,0.0,0.0
Origin,"Cass County, Michigan",42.062259,-85.909939,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,2,690.24,0.0,0.0,0.0,0.0
