plant type,location name,year,emission type,emission amount (tonne)
PV Recycling Plant,"Kuykendall Cement Corp., AR",1,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",2,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",3,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",4,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",5,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",6,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",7,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",8,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",9,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",10,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",11,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",12,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",13,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",14,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",15,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",16,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",17,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",18,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",19,CO2,247.74023
PV Recycling Plant,"Kuykendall Cement Corp., AR",20,CO2,258.170318
PV Recycling Plant,"Kuykendall Cement Corp., AR",21,CO2,195.465751
PV Recycling Plant,"Kuykendall Cement Corp., AR",22,CO2,10226.274068
PV Recycling Plant,"Kuykendall Cement Corp., AR",23,CO2,5002.707602
PV Recycling Plant,"Kuykendall Cement Corp., AR",24,CO2,6210.143502
PV Recycling Plant,"Kuykendall Cement Corp., AR",25,CO2,9776.363788
PV Recycling Plant,"Kuykendall Cement Corp., AR",26,CO2,9776.363788
PV Recycling Plant,"Baldor Electric Co., AR",1,CO2,0.0
PV Recycling Plant,"Baldor Electric Co., AR",2,CO2,0.0
PV Recycling Plant,"Baldor Electric Co., AR",3,CO2,0.0
