plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Recycling Plant,"Kuykendall Cement Corp., AR",1,35.0,-92.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",2,35.0,-92.0,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",3,35.0,-92.0,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",4,35.0,-92.0,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",5,35.0,-92.0,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",6,35.0,-92.0,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",7,35.0,-92.0,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",8,35.0,-92.0,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",9,35.0,-92.0,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",10,35.0,-92.0,35000.0,0.0,0.0,0.0,0.0,0.0,7.528332673617e6,0.0,203893.617021,0.0,0.0,7.732226290638e6
PV Recycling Plant,"Kuykendall Cement Corp., AR",11,35.0,-92.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203893.617021,0.0,0.0,203893.617021
PV Recycling Plant,"Kuykendall Cement Corp., AR",12,35.0,-92.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203893.617021,0.0,0.0,203893.617021
PV Recycling Plant,"Kuykendall Cement Corp., AR",13,35.0,-92.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203893.617021,0.0,0.0,203893.617021
PV Recycling Plant,"Kuykendall Cement Corp., AR",14,35.0,-92.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203893.617021,0.0,0.0,203893.617021
PV Recycling Plant,"Kuykendall Cement Corp., AR",15,35.0,-92.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203893.617021,0.0,0.0,203893.617021
PV Recycling Plant,"Kuykendall Cement Corp., AR",16,35.0,-92.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203893.617021,0.0,0.0,203893.617021
