plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Manufacturing Plant,"Sandvik, Inc., FL",1,30.0,-81.0,207909.61,207909.61,207909.61,0.0,100.0,4.132632702e7,5.2687411447e8,0.0,4.934215551e7,1.00721389923e9,0.0,1.58343016921e9
PV Manufacturing Plant,"Sandvik, Inc., FL",2,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",3,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",4,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",5,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",6,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",7,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",8,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",9,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",10,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",11,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",12,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",13,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",14,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",15,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",16,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",17,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",18,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",19,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",20,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",21,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",22,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",23,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",24,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",25,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Sandvik, Inc., FL",26,30.0,-81.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934215551e7,0.0,0.0,4.934215551e7
PV Manufacturing Plant,"Flex-Tec, Inc., GA",1,32.0,-84.0,207909.61,207909.61,207909.61,0.0,100.0,4.132632702e7,5.3300055766e8,0.0,4.99159015e7,1.01892568875e9,0.0,1.60184214791e9
PV Manufacturing Plant,"Flex-Tec, Inc., GA",2,32.0,-84.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99159015e7,0.0,0.0,4.99159015e7
PV Manufacturing Plant,"Flex-Tec, Inc., GA",3,32.0,-84.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99159015e7,0.0,0.0,4.99159015e7
PV Manufacturing Plant,"Flex-Tec, Inc., GA",4,32.0,-84.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99159015e7,0.0,0.0,4.99159015e7
PV Manufacturing Plant,"Flex-Tec, Inc., GA",5,32.0,-84.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99159015e7,0.0,0.0,4.99159015e7
PV Manufacturing Plant,"Flex-Tec, Inc., GA",6,32.0,-84.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99159015e7,0.0,0.0,4.99159015e7
PV Manufacturing Plant,"Flex-Tec, Inc., GA",7,32.0,-84.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99159015e7,0.0,0.0,4.99159015e7
PV Manufacturing Plant,"Flex-Tec, Inc., GA",8,32.0,-84.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99159015e7,0.0,0.0,4.99159015e7
PV Manufacturing Plant,"Flex-Tec, Inc., GA",9,32.0,-84.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99159015e7,0.0,0.0,4.99159015e7
PV Manufacturing Plant,"Flex-Tec, Inc., GA",10,32.0,-84.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99159015e7,0.0,0.0,4.99159015e7
PV Manufacturing Plant,"Flex-Tec, Inc., GA",11,32.0,-84.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99159015e7,0.0,0.0,4.99159015e7
PV Manufacturing Plant,"Flex-Tec, Inc., GA",12,32.0,-84.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99159015e7,0.0,0.0,4.99159015e7
PV Manufacturing Plant,"Flex-Tec, Inc., GA",13,32.0,-84.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99159015e7,0.0,0.0,4.99159015e7
PV Manufacturing Plant,"Flex-Tec, Inc., GA",14,32.0,-84.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99159015e7,0.0,0.0,4.99159015e7
PV Manufacturing Plant,"Flex-Tec, Inc., GA",15,32.0,-84.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99159015e7,0.0,0.0,4.99159015e7
PV Manufacturing Plant,"Flex-Tec, Inc., GA",16,32.0,-84.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99159015e7,0.0,0.0,4.99159015e7
PV Manufacturing Plant,"Flex-Tec, Inc., GA",17,32.0,-84.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99159015e7,0.0,0.0,4.99159015e7
PV Manufacturing Plant,"Flex-Tec, Inc., GA",18,32.0,-84.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99159015e7,0.0,0.0,4.99159015e7
PV Manufacturing Plant,"Flex-Tec, Inc., GA",19,32.0,-84.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99159015e7,0.0,0.0,4.99159015e7
PV Manufacturing Plant,"Flex-Tec, Inc., GA",20,32.0,-84.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99159015e7,0.0,0.0,4.99159015e7
PV Manufacturing Plant,"Flex-Tec, Inc., GA",21,32.0,-84.0,207909.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99159015e7,0.0,0.0,4.99159015e7
