plant type,location name,year,product name,amount produced (tonne),amount sent (tonne),amount disposed (tonne),disposal cost ($)
PV Recycling Plant,"Baldor Electric Co., AR",1,Cadmium waste,0.0,0.0,0.0,0.31
PV Recycling Plant,"Baldor Electric Co., AR",2,Cadmium waste,0.0,0.0,0.0,0.19
PV Recycling Plant,"Baldor Electric Co., AR",3,Cadmium waste,0.0,0.0,0.0,0.28
PV Recycling Plant,"Baldor Electric Co., AR",4,Cadmium waste,0.0,0.0,0.0,0.41
PV Recycling Plant,"Baldor Electric Co., AR",5,Cadmium waste,0.0,0.0,0.0,0.58
PV Recycling Plant,"Baldor Electric Co., AR",6,Cadmium waste,0.01,0.0,0.01,0.8
PV Recycling Plant,"Baldor Electric Co., AR",7,Cadmium waste,0.01,0.0,0.01,1.09
PV Recycling Plant,"Baldor Electric Co., AR",8,Cadmium waste,0.02,0.0,0.02,3.5
PV Recycling Plant,"Baldor Electric Co., AR",9,Cadmium waste,0.01,0.0,0.01,1.7
PV Recycling Plant,"Baldor Electric Co., AR",10,Cadmium waste,0.05,0.0,0.05,8.13
PV Recycling Plant,"Baldor Electric Co., AR",11,Cadmium waste,0.05,0.0,0.05,7.91
PV Recycling Plant,"Baldor Electric Co., AR",12,Cadmium waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Baldor Electric Co., AR",13,Cadmium waste,0.07,0.0,0.07,10.54
PV Recycling Plant,"Baldor Electric Co., AR",14,Cadmium waste,0.02,0.0,0.02,3.23
PV Recycling Plant,"Baldor Electric Co., AR",15,Cadmium waste,0.03,0.0,0.03,4.28
PV Recycling Plant,"Baldor Electric Co., AR",16,Cadmium waste,0.07,0.0,0.07,10.96
PV Recycling Plant,"Baldor Electric Co., AR",17,Cadmium waste,0.04,0.0,0.04,6.64
PV Recycling Plant,"Baldor Electric Co., AR",18,Cadmium waste,0.06,0.0,0.06,8.43
PV Recycling Plant,"Baldor Electric Co., AR",19,Cadmium waste,0.13,0.0,0.13,19.04
PV Recycling Plant,"Baldor Electric Co., AR",20,Cadmium waste,0.13,0.0,0.13,19.5
PV Recycling Plant,"Baldor Electric Co., AR",21,Cadmium waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Baldor Electric Co., AR",22,Cadmium waste,0.22,0.0,0.22,33.61
PV Recycling Plant,"Baldor Electric Co., AR",23,Cadmium waste,0.15,0.0,0.15,23.12
PV Recycling Plant,"Baldor Electric Co., AR",24,Cadmium waste,0.15,0.0,0.15,21.99
PV Recycling Plant,"Baldor Electric Co., AR",25,Cadmium waste,0.22,0.0,0.22,33.61
PV Recycling Plant,"Baldor Electric Co., AR",26,Cadmium waste,0.22,0.0,0.22,33.61
PV Recycling Plant,"Baldor Electric Co., AR",1,Encapsulant (cSi),37.14,0.0,37.14,0.0
PV Recycling Plant,"Baldor Electric Co., AR",2,Encapsulant (cSi),22.61,0.0,22.61,0.0
PV Recycling Plant,"Baldor Electric Co., AR",3,Encapsulant (cSi),33.64,0.0,33.64,0.0
PV Recycling Plant,"Baldor Electric Co., AR",4,Encapsulant (cSi),48.86,0.0,48.86,0.0
PV Recycling Plant,"Baldor Electric Co., AR",5,Encapsulant (cSi),69.38,0.0,69.38,0.0
PV Recycling Plant,"Baldor Electric Co., AR",6,Encapsulant (cSi),96.41,0.0,96.41,0.0
PV Recycling Plant,"Baldor Electric Co., AR",7,Encapsulant (cSi),131.19,0.0,131.19,0.0
PV Recycling Plant,"Baldor Electric Co., AR",8,Encapsulant (cSi),422.2,0.0,422.2,0.0
PV Recycling Plant,"Baldor Electric Co., AR",9,Encapsulant (cSi),204.77,0.0,204.77,0.0
PV Recycling Plant,"Baldor Electric Co., AR",10,Encapsulant (cSi),981.35,0.0,981.35,0.0
PV Recycling Plant,"Baldor Electric Co., AR",11,Encapsulant (cSi),954.79,0.0,954.79,0.0
PV Recycling Plant,"Baldor Electric Co., AR",12,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Baldor Electric Co., AR",13,Encapsulant (cSi),1271.84,0.0,1271.84,0.0
PV Recycling Plant,"Baldor Electric Co., AR",14,Encapsulant (cSi),389.56,0.0,389.56,0.0
PV Recycling Plant,"Baldor Electric Co., AR",15,Encapsulant (cSi),516.1,0.0,516.1,0.0
PV Recycling Plant,"Baldor Electric Co., AR",16,Encapsulant (cSi),1322.66,0.0,1322.66,0.0
PV Recycling Plant,"Baldor Electric Co., AR",17,Encapsulant (cSi),801.48,0.0,801.48,0.0
PV Recycling Plant,"Baldor Electric Co., AR",18,Encapsulant (cSi),1017.57,0.0,1017.57,0.0
PV Recycling Plant,"Baldor Electric Co., AR",19,Encapsulant (cSi),2296.65,0.0,2296.65,0.0
PV Recycling Plant,"Baldor Electric Co., AR",20,Encapsulant (cSi),2353.13,0.0,2353.13,0.0
PV Recycling Plant,"Baldor Electric Co., AR",21,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Baldor Electric Co., AR",22,Encapsulant (cSi),4055.08,0.0,4055.08,0.0
PV Recycling Plant,"Baldor Electric Co., AR",23,Encapsulant (cSi),2789.29,0.0,2789.29,0.0
PV Recycling Plant,"Baldor Electric Co., AR",24,Encapsulant (cSi),2653.04,0.0,2653.04,0.0
PV Recycling Plant,"Baldor Electric Co., AR",25,Encapsulant (cSi),4055.08,0.0,4055.08,0.0
PV Recycling Plant,"Baldor Electric Co., AR",26,Encapsulant (cSi),4055.08,0.0,4055.08,0.0
PV Recycling Plant,"Baldor Electric Co., AR",1,Silicon (cSi),17.22,0.0,17.22,0.0
PV Recycling Plant,"Baldor Electric Co., AR",2,Silicon (cSi),10.48,0.0,10.48,0.0
PV Recycling Plant,"Baldor Electric Co., AR",3,Silicon (cSi),15.6,0.0,15.6,0.0
PV Recycling Plant,"Baldor Electric Co., AR",4,Silicon (cSi),22.66,0.0,22.66,0.0
PV Recycling Plant,"Baldor Electric Co., AR",5,Silicon (cSi),32.17,0.0,32.17,0.0
PV Recycling Plant,"Baldor Electric Co., AR",6,Silicon (cSi),44.71,0.0,44.71,0.0
PV Recycling Plant,"Baldor Electric Co., AR",7,Silicon (cSi),60.84,0.0,60.84,0.0
PV Recycling Plant,"Baldor Electric Co., AR",8,Silicon (cSi),195.78,0.0,195.78,0.0
PV Recycling Plant,"Baldor Electric Co., AR",9,Silicon (cSi),94.96,0.0,94.96,0.0
PV Recycling Plant,"Baldor Electric Co., AR",10,Silicon (cSi),455.06,0.0,455.06,0.0
PV Recycling Plant,"Baldor Electric Co., AR",11,Silicon (cSi),442.75,0.0,442.75,0.0
PV Recycling Plant,"Baldor Electric Co., AR",12,Silicon (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Baldor Electric Co., AR",13,Silicon (cSi),589.76,0.0,589.76,0.0
