source type,source location name,source latitude (deg),source longitude (deg),destination type,destination location name,destination latitude (deg),destination longitude (deg),product,year,distance (km),amount (tonne),amount-distance (tonne-km),transportation cost ($),transportation energy (GJ)
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling plant,"Fort Wayne, Allen County, Indiana",41.0886,-85.1437,PV Module,1,511.71,0.89,456.48,44.02,1.24
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling plant,"Fort Wayne, Allen County, Indiana",41.0886,-85.1437,PV Module,2,511.71,0.57,292.24,28.18,0.79
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling plant,"Fort Wayne, Allen County, Indiana",41.0886,-85.1437,PV Module,3,511.71,0.87,445.74,42.98,1.21
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling plant,"Fort Wayne, Allen County, Indiana",41.0886,-85.1437,PV Module,4,511.71,1.3,665.6,64.18,1.81
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling plant,"Fort Wayne, Allen County, Indiana",41.0886,-85.1437,PV Module,5,511.71,1.91,976.15,94.12,2.66
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling plant,"Fort Wayne, Allen County, Indiana",41.0886,-85.1437,PV Module,6,511.71,2.76,1410.67,136.02,3.84
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling plant,"Fort Wayne, Allen County, Indiana",41.0886,-85.1437,PV Module,7,511.71,3.94,2015.64,194.36,5.48
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling plant,"Fort Wayne, Allen County, Indiana",41.0886,-85.1437,PV Module,8,511.71,5.58,2857.52,275.53,7.77
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling plant,"Fort Wayne, Allen County, Indiana",41.0886,-85.1437,PV Module,9,511.71,7.88,4032.65,388.84,10.97
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling plant,"Fort Wayne, Allen County, Indiana",41.0886,-85.1437,PV Module,10,511.71,32.88,16823.41,1622.18,45.76
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling plant,"Fort Wayne, Allen County, Indiana",41.0886,-85.1437,PV Module,11,511.71,34.39,17599.31,1696.99,47.87
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling plant,"Fort Wayne, Allen County, Indiana",41.0886,-85.1437,PV Module,12,511.71,16.63,8511.44,820.71,23.15
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling plant,"Fort Wayne, Allen County, Indiana",41.0886,-85.1437,PV Module,13,511.71,0.0,0.0,0.0,0.0
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling plant,"Fort Wayne, Allen County, Indiana",41.0886,-85.1437,PV Module,14,511.71,36.89,18876.86,1820.18,51.35
