plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Recycling plant,"Fort Wayne, Allen County, Indiana",1,41.0886,-85.1437,8640.0,209.02,209.02,0.0,2.42,183.1,7.38679245e6,0.0,246226.42,51467.22,0.0,7.68448609e6
PV Recycling plant,"Fort Wayne, Allen County, Indiana",2,41.0886,-85.1437,8640.0,127.81,127.81,0.0,1.48,111.96,0.0,0.0,246226.42,31470.83,0.0,277697.25
PV Recycling plant,"Fort Wayne, Allen County, Indiana",3,41.0886,-85.1437,8640.0,190.1,190.1,0.0,2.2,166.52,0.0,0.0,246226.42,46807.5,0.0,293033.92
PV Recycling plant,"Fort Wayne, Allen County, Indiana",4,41.0886,-85.1437,8640.0,275.73,275.73,0.0,3.19,241.54,0.0,0.0,246226.42,67893.15,0.0,314119.57
PV Recycling plant,"Fort Wayne, Allen County, Indiana",5,41.0886,-85.1437,8640.0,390.76,390.76,0.0,4.52,342.29,0.0,0.0,246226.42,96214.5,0.0,342440.92
PV Recycling plant,"Fort Wayne, Allen County, Indiana",6,41.0886,-85.1437,8640.0,541.78,541.78,0.0,6.27,474.59,0.0,0.0,246226.42,133401.45,0.0,379627.87
PV Recycling plant,"Fort Wayne, Allen County, Indiana",7,41.0886,-85.1437,8640.0,735.73,735.73,0.0,8.52,644.48,0.0,0.0,246226.42,181157.31,0.0,427383.73
PV Recycling plant,"Fort Wayne, Allen County, Indiana",8,41.0886,-85.1437,8640.0,1935.75,1935.75,0.0,22.4,1695.66,0.0,0.0,246226.42,476633.57,0.0,722859.99
PV Recycling plant,"Fort Wayne, Allen County, Indiana",9,41.0886,-85.1437,8640.0,1187.13,1187.13,0.0,13.74,1039.89,0.0,0.0,246226.42,292303.5,0.0,538529.92
PV Recycling plant,"Fort Wayne, Allen County, Indiana",10,41.0886,-85.1437,8640.0,8640.0,8640.0,0.0,100.0,7568.38,0.0,0.0,246226.42,2.12739623e6,0.0,2.37362265e6
PV Recycling plant,"Fort Wayne, Allen County, Indiana",11,41.0886,-85.1437,8640.0,8640.0,8640.0,0.0,100.0,7568.38,0.0,0.0,246226.42,2.12739623e6,0.0,2.37362265e6
PV Recycling plant,"Fort Wayne, Allen County, Indiana",12,41.0886,-85.1437,8640.0,1364.56,1364.56,0.0,15.79,1195.31,0.0,0.0,246226.42,335990.54,0.0,582216.96
PV Recycling plant,"Fort Wayne, Allen County, Indiana",13,41.0886,-85.1437,10897.61,10897.61,10897.61,0.0,100.0,9545.98,0.0,1.11723584e6,276526.5,2.68327851e6,0.0,4.07704085e6
PV Recycling plant,"Fort Wayne, Allen County, Indiana",14,41.0886,-85.1437,10897.61,2151.35,2151.35,0.0,19.74,1884.52,0.0,0.0,276526.5,529719.83,0.0,806246.33
PV Recycling plant,"Fort Wayne, Allen County, Indiana",15,41.0886,-85.1437,10897.61,2988.3,2988.3,0.0,27.42,2617.66,0.0,0.0,276526.5,735797.17,0.0,1.01232367e6
PV Recycling plant,"Fort Wayne, Allen County, Indiana",16,41.0886,-85.1437,14615.04,14615.04,14615.04,0.0,100.0,12802.34,0.0,1.83966935e6,326419.41,3.59860862e6,0.0,5.76469738e6
PV Recycling plant,"Fort Wayne, Allen County, Indiana",17,41.0886,-85.1437,14615.04,4935.25,4935.25,0.0,33.77,4323.13,0.0,0.0,326419.41,1.21518993e6,0.0,1.54160934e6
PV Recycling plant,"Fort Wayne, Allen County, Indiana",18,41.0886,-85.1437,14615.04,6793.05,6793.05,0.0,46.48,5950.51,0.0,0.0,326419.41,1.67262921e6,0.0,1.99904862e6
PV Recycling plant,"Fort Wayne, Allen County, Indiana",19,41.0886,-85.1437,25920.0,25920.0,25920.0,0.0,100.0,22705.14,0.0,5.5945575e6,478147.08,6.38218868e6,0.0,1.245489326e7
PV Recycling plant,"Fort Wayne, Allen County, Indiana",20,41.0886,-85.1437,25920.0,25920.0,25920.0,0.0,100.0,22705.14,0.0,0.0,478147.08,6.38218868e6,0.0,6.86033576e6
PV Recycling plant,"Fort Wayne, Allen County, Indiana",21,41.0886,-85.1437,25920.0,20436.59,20436.59,0.0,78.84,17901.84,0.0,0.0,478147.08,5.0320284e6,0.0,5.51017548e6
