plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Recycling Plant,"Glen Lyn, Virginia",1,37.318072,-80.698321,14000.0,21.238863,21.238863,0.0,0.151706,18.604607,8.34220647617e6,0.0,225936.170213,6910.76443,0.0,8.575053410813e6
PV Recycling Plant,"Glen Lyn, Virginia",2,37.318072,-80.698321,14000.0,0.426029,0.426029,0.0,0.003043,0.373189,0.0,0.0,225936.170213,138.622675,0.0,226074.792888
PV Recycling Plant,"Glen Lyn, Virginia",3,37.318072,-80.698321,14000.0,0.732504,0.732504,0.0,0.005232,0.641651,0.0,0.0,225936.170213,238.344181,0.0,226174.514394
PV Recycling Plant,"Glen Lyn, Virginia",4,37.318072,-80.698321,14000.0,1.211671,1.211671,0.0,0.008655,1.061388,-0.0,0.0,225936.170213,394.25718,0.0,226330.427393
PV Recycling Plant,"Glen Lyn, Virginia",5,37.318072,-80.698321,14000.0,1.936891,1.936891,0.0,0.013835,1.696659,-0.0,0.0,225936.170213,630.231446,0.0,226566.401659
PV Recycling Plant,"Glen Lyn, Virginia",6,37.318072,-80.698321,14000.0,3.003034,3.003034,0.0,0.02145,2.630567,-0.0,0.0,225936.170213,977.136002,0.0,226913.306215
PV Recycling Plant,"Glen Lyn, Virginia",7,37.318072,-80.698321,14000.0,0.0,4.529555,4.529555,0.0,3.967754,-0.0,0.0,225936.170213,0.0,0.0,225936.170213
PV Recycling Plant,"Glen Lyn, Virginia",8,37.318072,-80.698321,14000.0,11.192345,6.662791,0.0,0.079945,5.836405,-0.0,0.0,225936.170213,3641.798586,0.0,229577.968799
PV Recycling Plant,"Glen Lyn, Virginia",9,37.318072,-80.698321,14000.0,9.576599,9.576599,0.0,0.068404,8.388814,-0.0,0.0,225936.170213,3116.062361,0.0,229052.232574
PV Recycling Plant,"Glen Lyn, Virginia",10,37.318072,-80.698321,14000.0,0.0,13.470061,13.470061,0.0,11.799369,-0.0,0.0,225936.170213,0.0,0.0,225936.170213
PV Recycling Plant,"Glen Lyn, Virginia",11,37.318072,-80.698321,14000.0,0.0,18.560538,32.030599,0.0,16.258474,-0.0,0.0,225936.170213,0.0,0.0,225936.170213
PV Recycling Plant,"Glen Lyn, Virginia",12,37.318072,-80.698321,14000.0,0.0,25.070175,57.100773,0.0,21.960721,-0.0,0.0,225936.170213,0.0,0.0,225936.170213
