product name,location name,latitude (deg),longitude (deg),year,amount (tonne),marginal cost ($/tonne)
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,1,267669.144756052,5502.87
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,2,3348.168557889734,5054.33
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,3,5820.307927315118,4994.8
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,4,5764.29606084435,4987.79
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,5,9407.86319795027,5026.46
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,6,9295.03491136812,5026.46
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,7,5463.97581680292,4887.1
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,8,5415.572472394028,4887.1
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,9,4953.026059579001,5041.81
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,10,4928.62527538527,5040.72
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,11,16794.07717276233,5029.91
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,12,16728.028642390374,5029.91
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,13,3637.9230149708455,4805.33
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,14,3625.160449216751,4805.33
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,15,2757.2572259132635,4805.33
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,16,2748.5268202679645,4805.33
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,17,2979.80230607665,4805.33
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,18,2971.204996458097,4805.33
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,19,21868.357704914954,4805.33
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,20,21810.408472455565,4805.33
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,21,15061.080671546222,5040.13
