plant type,location name,year,product name,amount produced (tonne),amount sent (tonne),amount disposed (tonne),disposal cost ($)
PV Recycling Plant,"Glen Lyn, Virginia",1,Copper (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",2,Copper (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",3,Copper (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",4,Copper (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",5,Copper (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",6,Copper (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",7,Copper (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",8,Copper (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",9,Copper (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",10,Copper (cSi),0.31,0.0,0.31,0.0
PV Recycling Plant,"Glen Lyn, Virginia",11,Copper (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",12,Copper (cSi),3.31,0.0,3.31,0.0
PV Recycling Plant,"Glen Lyn, Virginia",13,Copper (cSi),3.31,0.0,3.31,0.0
PV Recycling Plant,"Glen Lyn, Virginia",14,Copper (cSi),3.31,0.0,3.31,0.0
PV Recycling Plant,"Glen Lyn, Virginia",15,Copper (cSi),3.31,0.0,3.31,0.0
PV Recycling Plant,"Glen Lyn, Virginia",16,Copper (cSi),3.31,0.0,3.31,0.0
PV Recycling Plant,"Glen Lyn, Virginia",17,Copper (cSi),3.31,0.0,3.31,0.0
PV Recycling Plant,"Glen Lyn, Virginia",18,Copper (cSi),3.31,0.0,3.31,0.0
PV Recycling Plant,"Glen Lyn, Virginia",19,Copper (cSi),3.31,0.0,3.31,0.0
PV Recycling Plant,"Glen Lyn, Virginia",20,Copper (cSi),3.31,0.0,3.31,0.0
PV Recycling Plant,"Glen Lyn, Virginia",21,Copper (cSi),3.31,0.0,3.31,0.0
PV Recycling Plant,"Glen Lyn, Virginia",22,Copper (cSi),3.31,0.0,3.31,0.0
PV Recycling Plant,"Glen Lyn, Virginia",23,Copper (cSi),3.31,0.0,3.31,0.0
PV Recycling Plant,"Glen Lyn, Virginia",24,Copper (cSi),3.31,0.0,3.31,0.0
PV Recycling Plant,"Glen Lyn, Virginia",25,Copper (cSi),3.31,0.0,3.31,0.0
PV Recycling Plant,"Glen Lyn, Virginia",26,Copper (cSi),3.31,0.0,3.31,0.0
PV Recycling Plant,"Glen Lyn, Virginia",1,Contaminated glass,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",2,Contaminated glass,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",3,Contaminated glass,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",4,Contaminated glass,0.0,0.0,0.0,0.0
