plant type,location name,year,product name,amount produced (tonne),amount sent (tonne),amount disposed (tonne),disposal cost ($)
PV Recycling Plant,"Glen Lyn, Virginia",1,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",2,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",3,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",4,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",5,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",6,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",7,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",8,Aluminium (CdTe),0.08,0.0,0.08,0.0
PV Recycling Plant,"Glen Lyn, Virginia",9,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",10,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",11,Aluminium (CdTe),0.17,0.0,0.17,0.0
PV Recycling Plant,"Glen Lyn, Virginia",12,Aluminium (CdTe),0.1,0.0,0.1,0.0
PV Recycling Plant,"Glen Lyn, Virginia",13,Aluminium (CdTe),0.7,0.0,0.7,0.0
PV Recycling Plant,"Glen Lyn, Virginia",14,Aluminium (CdTe),0.14,0.0,0.14,0.0
PV Recycling Plant,"Glen Lyn, Virginia",15,Aluminium (CdTe),0.18,0.0,0.18,0.0
PV Recycling Plant,"Glen Lyn, Virginia",16,Aluminium (CdTe),29.28,0.0,29.28,0.0
PV Recycling Plant,"Glen Lyn, Virginia",17,Aluminium (CdTe),29.28,0.0,29.28,0.0
PV Recycling Plant,"Glen Lyn, Virginia",18,Aluminium (CdTe),29.28,0.0,29.28,0.0
PV Recycling Plant,"Glen Lyn, Virginia",19,Aluminium (CdTe),29.28,0.0,29.28,0.0
PV Recycling Plant,"Glen Lyn, Virginia",20,Aluminium (CdTe),29.28,0.0,29.28,0.0
PV Recycling Plant,"Glen Lyn, Virginia",21,Aluminium (CdTe),29.28,0.0,29.28,0.0
PV Recycling Plant,"Glen Lyn, Virginia",22,Aluminium (CdTe),29.28,0.0,29.28,0.0
PV Recycling Plant,"Glen Lyn, Virginia",23,Aluminium (CdTe),29.28,0.0,29.28,0.0
PV Recycling Plant,"Glen Lyn, Virginia",24,Aluminium (CdTe),29.28,0.0,29.28,0.0
PV Recycling Plant,"Glen Lyn, Virginia",25,Aluminium (CdTe),29.28,0.0,29.28,0.0
PV Recycling Plant,"Glen Lyn, Virginia",26,Aluminium (CdTe),29.28,0.0,29.28,0.0
PV Recycling Plant,"Glen Lyn, Virginia",1,Aluminium frames (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",2,Aluminium frames (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",3,Aluminium frames (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",4,Aluminium frames (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",5,Aluminium frames (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",6,Aluminium frames (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",7,Aluminium frames (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",8,Aluminium frames (cSi),1.89,0.0,1.89,0.0
PV Recycling Plant,"Glen Lyn, Virginia",9,Aluminium frames (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",10,Aluminium frames (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",11,Aluminium frames (cSi),4.14,0.0,4.14,0.0
PV Recycling Plant,"Glen Lyn, Virginia",12,Aluminium frames (cSi),2.49,0.0,2.49,0.0
PV Recycling Plant,"Glen Lyn, Virginia",13,Aluminium frames (cSi),16.66,0.0,16.66,0.0
PV Recycling Plant,"Glen Lyn, Virginia",14,Aluminium frames (cSi),3.29,0.0,3.29,0.0
PV Recycling Plant,"Glen Lyn, Virginia",15,Aluminium frames (cSi),4.28,0.0,4.28,0.0
PV Recycling Plant,"Glen Lyn, Virginia",16,Aluminium frames (cSi),696.33,0.0,696.33,0.0
PV Recycling Plant,"Glen Lyn, Virginia",17,Aluminium frames (cSi),696.33,0.0,696.33,0.0
PV Recycling Plant,"Glen Lyn, Virginia",18,Aluminium frames (cSi),696.33,0.0,696.33,0.0
PV Recycling Plant,"Glen Lyn, Virginia",19,Aluminium frames (cSi),696.33,0.0,696.33,0.0
PV Recycling Plant,"Glen Lyn, Virginia",20,Aluminium frames (cSi),696.33,0.0,696.33,0.0
PV Recycling Plant,"Glen Lyn, Virginia",21,Aluminium frames (cSi),696.33,0.0,696.33,0.0
PV Recycling Plant,"Glen Lyn, Virginia",22,Aluminium frames (cSi),696.33,0.0,696.33,0.0
PV Recycling Plant,"Glen Lyn, Virginia",23,Aluminium frames (cSi),696.33,0.0,696.33,0.0
PV Recycling Plant,"Glen Lyn, Virginia",24,Aluminium frames (cSi),696.33,0.0,696.33,0.0
PV Recycling Plant,"Glen Lyn, Virginia",25,Aluminium frames (cSi),696.33,0.0,696.33,0.0
PV Recycling Plant,"Glen Lyn, Virginia",26,Aluminium frames (cSi),696.33,0.0,696.33,0.0
PV Recycling Plant,"Glen Lyn, Virginia",1,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",2,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",3,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",4,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",5,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",6,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",7,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",8,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",9,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",10,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",11,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",12,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",13,Tellurium (CdTe),0.01,0.0,0.01,0.0
PV Recycling Plant,"Glen Lyn, Virginia",14,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",15,Tellurium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",16,Tellurium (CdTe),0.5,0.0,0.5,0.0
PV Recycling Plant,"Glen Lyn, Virginia",17,Tellurium (CdTe),0.5,0.0,0.5,0.0
PV Recycling Plant,"Glen Lyn, Virginia",18,Tellurium (CdTe),0.5,0.0,0.5,0.0
PV Recycling Plant,"Glen Lyn, Virginia",19,Tellurium (CdTe),0.5,0.0,0.5,0.0
PV Recycling Plant,"Glen Lyn, Virginia",20,Tellurium (CdTe),0.5,0.0,0.5,0.0
PV Recycling Plant,"Glen Lyn, Virginia",21,Tellurium (CdTe),0.5,0.0,0.5,0.0
PV Recycling Plant,"Glen Lyn, Virginia",22,Tellurium (CdTe),0.5,0.0,0.5,0.0
PV Recycling Plant,"Glen Lyn, Virginia",23,Tellurium (CdTe),0.5,0.0,0.5,0.0
PV Recycling Plant,"Glen Lyn, Virginia",24,Tellurium (CdTe),0.5,0.0,0.5,0.0
PV Recycling Plant,"Glen Lyn, Virginia",25,Tellurium (CdTe),0.5,0.0,0.5,0.0
PV Recycling Plant,"Glen Lyn, Virginia",26,Tellurium (CdTe),0.5,0.0,0.5,0.0
PV Recycling Plant,"Glen Lyn, Virginia",1,Glass (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",2,Glass (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",3,Glass (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",4,Glass (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",5,Glass (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",6,Glass (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",7,Glass (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",8,Glass (cSi),11.33,0.0,11.33,0.0
PV Recycling Plant,"Glen Lyn, Virginia",9,Glass (cSi),0.0,0.0,0.0,0.0
