plant type,location name,year,emission type,emission amount (tonne)
PV Recycling Plant,"Glen Lyn, Virginia",1,CO2,0.13
PV Recycling Plant,"Glen Lyn, Virginia",2,CO2,0.12
PV Recycling Plant,"Glen Lyn, Virginia",3,CO2,0.2
PV Recycling Plant,"Glen Lyn, Virginia",4,CO2,0.34
PV Recycling Plant,"Glen Lyn, Virginia",5,CO2,0.54
PV Recycling Plant,"Glen Lyn, Virginia",6,CO2,0.84
PV Recycling Plant,"Glen Lyn, Virginia",7,CO2,1.27
PV Recycling Plant,"Glen Lyn, Virginia",8,CO2,1.86
PV Recycling Plant,"Glen Lyn, Virginia",9,CO2,2.67
PV Recycling Plant,"Glen Lyn, Virginia",10,CO2,3.76
PV Recycling Plant,"Glen Lyn, Virginia",11,CO2,5.18
PV Recycling Plant,"Glen Lyn, Virginia",12,CO2,7.0
PV Recycling Plant,"Glen Lyn, Virginia",13,CO2,46.78
PV Recycling Plant,"Glen Lyn, Virginia",14,CO2,9.23
PV Recycling Plant,"Glen Lyn, Virginia",15,CO2,12.02
PV Recycling Plant,"Glen Lyn, Virginia",16,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",17,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",18,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",19,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",20,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",21,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",22,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",23,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",24,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",25,CO2,3230.21
PV Recycling Plant,"Glen Lyn, Virginia",26,CO2,680.33
PV Recycling Plant,"H B Robinson, South Carolina",1,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",2,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",3,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",4,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",5,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",6,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",7,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",8,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",9,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",10,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",11,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",12,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",13,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",14,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",15,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",16,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",17,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",18,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",19,CO2,8127.51
PV Recycling Plant,"H B Robinson, South Carolina",20,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",21,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",22,CO2,2904.39
PV Recycling Plant,"H B Robinson, South Carolina",23,CO2,699.73
PV Recycling Plant,"H B Robinson, South Carolina",24,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",25,CO2,1955.27
PV Recycling Plant,"H B Robinson, South Carolina",26,CO2,1955.27
