plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Manufacturing Plant,"Luke Mill, Maryland",1,39.612313,-78.703104,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Luke Mill, Maryland",2,39.612313,-78.703104,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Luke Mill, Maryland",3,39.612313,-78.703104,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Luke Mill, Maryland",4,39.612313,-78.703104,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Luke Mill, Maryland",5,39.612313,-78.703104,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Luke Mill, Maryland",6,39.612313,-78.703104,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Luke Mill, Maryland",7,39.612313,-78.703104,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Luke Mill, Maryland",8,39.612313,-78.703104,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Luke Mill, Maryland",9,39.612313,-78.703104,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Luke Mill, Maryland",10,39.612313,-78.703104,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Luke Mill, Maryland",11,39.612313,-78.703104,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Luke Mill, Maryland",12,39.612313,-78.703104,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Luke Mill, Maryland",13,39.612313,-78.703104,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Luke Mill, Maryland",14,39.612313,-78.703104,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Luke Mill, Maryland",15,39.612313,-78.703104,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Luke Mill, Maryland",16,39.612313,-78.703104,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Luke Mill, Maryland",17,39.612313,-78.703104,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Luke Mill, Maryland",18,39.612313,-78.703104,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Luke Mill, Maryland",19,39.612313,-78.703104,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,631023.648723,0.0,59095.837408,603157.160294,0.0,1.293276646425e6
PV Manufacturing Plant,"Luke Mill, Maryland",20,39.612313,-78.703104,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,59095.837408,603157.160294,0.0,662252.997702
PV Manufacturing Plant,"Luke Mill, Maryland",21,39.612313,-78.703104,103954.8042,19186.605774,19186.605774,0.0,18.45668,3.813734008904e6,0.0,0.0,59095.837408,111322.788239,0.0,170418.625647
PV Manufacturing Plant,"Luke Mill, Maryland",22,39.612313,-78.703104,103954.8042,17866.090341,17866.090341,0.0,17.186402,3.551254304263e6,0.0,0.0,59095.837408,103661.013058,0.0,162756.850466
PV Manufacturing Plant,"Luke Mill, Maryland",23,39.612313,-78.703104,103954.8042,71198.046468,71198.046468,0.0,68.489424,1.4152081633493e7,0.0,0.0,59095.837408,413098.864038,0.0,472194.701446
PV Manufacturing Plant,"Luke Mill, Maryland",24,39.612313,-78.703104,103954.8042,71035.833352,71035.833352,0.0,68.333382,1.4119838427674e7,0.0,0.0,59095.837408,412157.685769,0.0,471253.523177
PV Manufacturing Plant,"Luke Mill, Maryland",25,39.612313,-78.703104,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,59095.837408,603157.160294,0.0,662252.997702
PV Manufacturing Plant,"Luke Mill, Maryland",26,39.612313,-78.703104,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,59095.837408,603157.160294,0.0,662252.997702
PV Manufacturing Plant,"Glen Lyn, Virginia",1,37.318072,-80.698321,103954.8042,18393.771699,18393.771699,0.0,17.694008,3.656141868253e6,502368.341702,0.0,47047.171529,84963.685473,0.0,634379.198704
PV Manufacturing Plant,"Glen Lyn, Virginia",2,37.318072,-80.698321,103954.8042,6837.127059,6837.127059,0.0,6.577019,1.359020156822e6,0.0,0.0,47047.171529,31581.750741,0.0,78628.92227
PV Manufacturing Plant,"Glen Lyn, Virginia",3,37.318072,-80.698321,103954.8042,43141.063982,43141.063982,0.0,41.499827,8.575177122246e6,0.0,0.0,47047.171529,199275.268342,0.0,246322.439871
PV Manufacturing Plant,"Glen Lyn, Virginia",4,37.318072,-80.698321,103954.8042,41725.48353,41725.48353,0.0,40.1381,8.293801282453e6,0.0,0.0,47047.171529,192736.482591,0.0,239783.65412
PV Manufacturing Plant,"Glen Lyn, Virginia",5,37.318072,-80.698321,103954.8042,25098.621297,25098.621297,0.0,24.143782,4.988869148737e6,0.0,0.0,47047.171529,115934.426096,0.0,162981.597625
PV Manufacturing Plant,"Glen Lyn, Virginia",6,37.318072,-80.698321,103954.8042,24797.61411,24797.61411,0.0,23.854226,4.929037755976e6,0.0,0.0,47047.171529,114544.027195,0.0,161591.198724
