plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Recycling Plant,"Glen Lyn, Virginia",1,37.318072,-80.698321,7000.0,98.554193,98.554193,0.0,1.407917,86.330517,4.171103238085e6,0.0,112968.085106,16033.928492,0.0,4.300105251683e6
PV Recycling Plant,"Glen Lyn, Virginia",2,37.318072,-80.698321,7000.0,0.0,64.602515,64.602515,0.0,56.589865,0.0,0.0,112968.085106,0.0,0.0,112968.085106
PV Recycling Plant,"Glen Lyn, Virginia",3,37.318072,-80.698321,7000.0,0.0,99.680274,164.282789,0.0,87.31693,0.0,0.0,112968.085106,0.0,0.0,112968.085106
PV Recycling Plant,"Glen Lyn, Virginia",4,37.318072,-80.698321,7000.0,0.0,150.200113,314.482903,0.0,131.570793,-0.0,0.0,112968.085106,0.0,0.0,112968.085106
PV Recycling Plant,"Glen Lyn, Virginia",5,37.318072,-80.698321,7000.0,0.0,221.353927,535.83683,0.0,193.8994,-0.0,0.0,112968.085106,0.0,0.0,112968.085106
PV Recycling Plant,"Glen Lyn, Virginia",6,37.318072,-80.698321,7000.0,0.0,319.463617,855.300447,0.0,279.840544,-0.0,0.0,112968.085106,0.0,0.0,112968.085106
PV Recycling Plant,"Glen Lyn, Virginia",7,37.318072,-80.698321,7000.0,0.0,452.049247,1307.349694,0.0,395.981579,-0.0,0.0,112968.085106,0.0,0.0,112968.085106
PV Recycling Plant,"Glen Lyn, Virginia",8,37.318072,-80.698321,7000.0,2530.190377,1222.840683,0.0,36.145577,1071.171753,-0.0,0.0,112968.085106,411640.440751,0.0,524608.525857
PV Recycling Plant,"Glen Lyn, Virginia",9,37.318072,-80.698321,7000.0,799.532172,799.532172,0.0,11.421888,700.366197,-0.0,0.0,112968.085106,130077.079874,0.0,243045.16498
PV Recycling Plant,"Glen Lyn, Virginia",10,37.318072,-80.698321,7000.0,0.0,13.470061,13.470061,0.0,11.799369,-0.0,0.0,112968.085106,0.0,0.0,112968.085106
PV Recycling Plant,"Glen Lyn, Virginia",11,37.318072,-80.698321,7000.0,0.0,18.560538,32.030599,0.0,16.258474,-0.0,0.0,112968.085106,0.0,0.0,112968.085106
PV Recycling Plant,"Glen Lyn, Virginia",12,37.318072,-80.698321,7000.0,0.0,25.070175,57.100773,0.0,21.960721,-0.0,0.0,112968.085106,0.0,0.0,112968.085106
PV Recycling Plant,"Glen Lyn, Virginia",13,37.318072,-80.698321,7000.0,0.0,167.490513,224.591287,0.0,146.716665,-0.0,0.0,112968.085106,0.0,0.0,112968.085106
PV Recycling Plant,"Glen Lyn, Virginia",14,37.318072,-80.698321,7000.0,257.623747,33.03246,0.0,3.680339,28.935444,-0.0,0.0,112968.085106,41913.191046,0.0,154881.276152
PV Recycling Plant,"Glen Lyn, Virginia",15,37.318072,-80.698321,7000.0,43.022746,43.022746,0.0,0.614611,37.686635,-0.0,0.0,112968.085106,6999.434621,0.0,119967.519727
PV Recycling Plant,"Glen Lyn, Virginia",16,37.318072,-80.698321,7000.0,7000.0,10361.789627,3361.789627,100.0,9076.616859,0.0,0.0,112968.085106,1.138840425532e6,0.0,1.251808510638e6
PV Recycling Plant,"Glen Lyn, Virginia",17,37.318072,-80.698321,7000.0,7000.0,3638.210373,0.0,100.0,3186.963141,-0.0,0.0,112968.085106,1.138840425532e6,0.0,1.251808510638e6
PV Recycling Plant,"Glen Lyn, Virginia",18,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,-0.0,0.0,112968.085106,1.138840425532e6,0.0,1.251808510638e6
PV Recycling Plant,"Glen Lyn, Virginia",19,37.318072,-80.698321,7000.0,7000.0,8918.989814,1918.989814,100.0,7812.767508,-0.0,0.0,112968.085106,1.138840425532e6,0.0,1.251808510638e6
PV Recycling Plant,"Glen Lyn, Virginia",20,37.318072,-80.698321,7000.0,7000.0,5081.010186,0.0,100.0,4450.812492,-0.0,0.0,112968.085106,1.138840425532e6,0.0,1.251808510638e6
PV Recycling Plant,"Glen Lyn, Virginia",21,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,-0.0,0.0,112968.085106,1.138840425532e6,0.0,1.251808510638e6
PV Recycling Plant,"Glen Lyn, Virginia",22,37.318072,-80.698321,7000.0,7000.0,7986.787627,986.787627,100.0,6996.186357,-0.0,0.0,112968.085106,1.138840425532e6,0.0,1.251808510638e6
PV Recycling Plant,"Glen Lyn, Virginia",23,37.318072,-80.698321,7000.0,7000.0,6013.212373,0.0,100.0,5267.393643,-0.0,0.0,112968.085106,1.138840425532e6,0.0,1.251808510638e6
PV Recycling Plant,"Glen Lyn, Virginia",24,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,-0.0,0.0,112968.085106,1.138840425532e6,0.0,1.251808510638e6
PV Recycling Plant,"Glen Lyn, Virginia",25,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,-0.0,0.0,112968.085106,1.138840425532e6,0.0,1.251808510638e6
PV Recycling Plant,"Glen Lyn, Virginia",26,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,-0.0,0.0,112968.085106,1.138840425532e6,0.0,1.251808510638e6
PV Recycling Plant,"H B Robinson, South Carolina",1,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"H B Robinson, South Carolina",2,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"H B Robinson, South Carolina",3,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"H B Robinson, South Carolina",4,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"H B Robinson, South Carolina",5,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"H B Robinson, South Carolina",6,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"H B Robinson, South Carolina",7,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"H B Robinson, South Carolina",8,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"H B Robinson, South Carolina",9,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"H B Robinson, South Carolina",10,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"H B Robinson, South Carolina",11,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"H B Robinson, South Carolina",12,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"H B Robinson, South Carolina",13,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"H B Robinson, South Carolina",14,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"H B Robinson, South Carolina",15,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"H B Robinson, South Carolina",16,34.332185,-79.962115,7000.0,4336.80174,4336.80174,0.0,61.954311,3798.90822,4.476305914043e6,0.0,121234.042553,757187.129243,0.0,5.354727085839e6
PV Recycling Plant,"H B Robinson, South Carolina",17,34.332185,-79.962115,7000.0,4495.404586,4495.404586,0.0,64.220066,3937.839555,-0.0,0.0,121234.042553,784878.511341,0.0,906112.553894
PV Recycling Plant,"H B Robinson, South Carolina",18,34.332185,-79.962115,7000.0,5779.384901,5779.384901,0.0,82.562641,5062.567792,-0.0,0.0,121234.042553,1.00905601063e6,0.0,1.130290053183e6
PV Recycling Plant,"H B Robinson, South Carolina",19,34.332185,-79.962115,7000.0,7000.0,14000.0,7000.0,100.0,12263.58,0.0,0.0,121234.042553,1.222170212766e6,0.0,1.343404255319e6
PV Recycling Plant,"H B Robinson, South Carolina",20,34.332185,-79.962115,7000.0,7000.0,0.0,0.0,100.0,0.0,-0.0,0.0,121234.042553,1.222170212766e6,0.0,1.343404255319e6
PV Recycling Plant,"H B Robinson, South Carolina",21,34.332185,-79.962115,7000.0,7000.0,9433.439372,2433.439372,100.0,8263.409887,-0.0,0.0,121234.042553,1.222170212766e6,0.0,1.343404255319e6
PV Recycling Plant,"H B Robinson, South Carolina",22,34.332185,-79.962115,7000.0,7000.0,9999.916431,5433.355803,100.0,8759.626796,-0.0,0.0,121234.042553,1.222170212766e6,0.0,1.343404255319e6
PV Recycling Plant,"H B Robinson, South Carolina",23,34.332185,-79.962115,7000.0,7000.0,1952.117074,385.472877,100.0,1709.995993,-0.0,0.0,121234.042553,1.222170212766e6,0.0,1.343404255319e6
PV Recycling Plant,"H B Robinson, South Carolina",24,34.332185,-79.962115,7000.0,7000.0,6614.527123,0.0,100.0,5794.127324,-0.0,0.0,121234.042553,1.222170212766e6,0.0,1.343404255319e6
PV Recycling Plant,"H B Robinson, South Carolina",25,34.332185,-79.962115,7000.0,7000.0,8286.305404,1286.305404,100.0,7258.554945,-0.0,0.0,121234.042553,1.222170212766e6,0.0,1.343404255319e6
