plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Recycling Plant,"Glen Lyn, Virginia",1,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",2,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",3,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",4,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",5,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",6,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",7,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",8,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",9,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",10,37.318072,-80.698321,3500.0,3500.0,10500.0,7000.0,100.0,9197.685,8.34220647617e6,0.0,225936.170213,1.138840425532e6,0.0,9.706983071915e6
PV Recycling Plant,"Glen Lyn, Virginia",11,37.318072,-80.698321,3500.0,3500.0,0.0,3500.0,100.0,0.0,0.0,0.0,225936.170213,1.138840425532e6,0.0,1.364776595745e6
PV Recycling Plant,"Glen Lyn, Virginia",12,37.318072,-80.698321,3500.0,3500.0,0.0,0.0,100.0,0.0,0.0,0.0,225936.170213,1.138840425532e6,0.0,1.364776595745e6
PV Recycling Plant,"Glen Lyn, Virginia",13,37.318072,-80.698321,3500.0,3500.0,7346.098446,3846.098446,100.0,6434.961856,0.0,0.0,225936.170213,1.138840425532e6,0.0,1.364776595745e6
PV Recycling Plant,"Glen Lyn, Virginia",14,37.318072,-80.698321,3500.0,3500.0,1551.466398,1897.564844,100.0,1359.03802,0.0,0.0,225936.170213,1.138840425532e6,0.0,1.364776595745e6
PV Recycling Plant,"Glen Lyn, Virginia",15,37.318072,-80.698321,3500.0,3500.0,1602.435156,0.0,100.0,1403.685124,-0.0,0.0,225936.170213,1.138840425532e6,0.0,1.364776595745e6
PV Recycling Plant,"Glen Lyn, Virginia",16,37.318072,-80.698321,3500.0,3500.0,3500.0,0.0,100.0,3065.895,-0.0,0.0,225936.170213,1.138840425532e6,0.0,1.364776595745e6
PV Recycling Plant,"Glen Lyn, Virginia",17,37.318072,-80.698321,3500.0,3500.0,3500.0,0.0,100.0,3065.895,-0.0,0.0,225936.170213,1.138840425532e6,0.0,1.364776595745e6
PV Recycling Plant,"Glen Lyn, Virginia",18,37.318072,-80.698321,3500.0,3500.0,3500.0,0.0,100.0,3065.895,-0.0,0.0,225936.170213,1.138840425532e6,0.0,1.364776595745e6
PV Recycling Plant,"Glen Lyn, Virginia",19,37.318072,-80.698321,3500.0,3500.0,3500.0,0.0,100.0,3065.895,-0.0,0.0,225936.170213,1.138840425532e6,0.0,1.364776595745e6
PV Recycling Plant,"Glen Lyn, Virginia",20,37.318072,-80.698321,3500.0,3500.0,3500.0,0.0,100.0,3065.895,-0.0,0.0,225936.170213,1.138840425532e6,0.0,1.364776595745e6
PV Recycling Plant,"Glen Lyn, Virginia",21,37.318072,-80.698321,3500.0,3500.0,3500.0,0.0,100.0,3065.895,-0.0,0.0,225936.170213,1.138840425532e6,0.0,1.364776595745e6
PV Recycling Plant,"Glen Lyn, Virginia",22,37.318072,-80.698321,3500.0,3500.0,3500.0,0.0,100.0,3065.895,-0.0,0.0,225936.170213,1.138840425532e6,0.0,1.364776595745e6
PV Recycling Plant,"Glen Lyn, Virginia",23,37.318072,-80.698321,3500.0,3500.0,3500.0,0.0,100.0,3065.895,-0.0,0.0,225936.170213,1.138840425532e6,0.0,1.364776595745e6
PV Recycling Plant,"Glen Lyn, Virginia",24,37.318072,-80.698321,3500.0,3500.0,3500.0,0.0,100.0,3065.895,-0.0,0.0,225936.170213,1.138840425532e6,0.0,1.364776595745e6
