plant type,location name,year,product name,amount produced (tonne),amount sent (tonne),amount disposed (tonne),disposal cost ($)
PV Manufacturing Plant,"XP Power, LLC, CA",1,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",2,PV Modules,12477.55,0.0,12477.55,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",3,PV Modules,55680.36,0.0,55680.36,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",4,PV Modules,55144.51,0.0,55144.51,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",5,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",6,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",7,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",8,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",9,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",10,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",11,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",12,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",13,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",14,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",15,PV Modules,21273.12,0.0,21273.12,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",16,PV Modules,21205.76,0.0,21205.76,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",17,PV Modules,20516.69,0.0,20516.69,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",18,PV Modules,20457.5,0.0,20457.5,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",19,PV Modules,25404.96,0.0,25404.96,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",20,PV Modules,25337.64,0.0,25337.64,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",21,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",22,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",23,PV Modules,40089.94,0.0,40089.94,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",24,PV Modules,39998.61,0.0,39998.61,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",25,PV Modules,40345.2,0.0,40345.2,0.0
PV Manufacturing Plant,"XP Power, LLC, CA",26,PV Modules,40259.3,0.0,40259.3,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",1,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",2,PV Modules,458.62,0.0,458.62,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",3,PV Modules,86497.03,0.0,86497.03,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",4,PV Modules,78661.74,0.0,78661.74,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",5,PV Modules,1945.86,0.0,1945.86,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",6,PV Modules,1922.52,0.0,1922.52,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",7,PV Modules,337.52,0.0,337.52,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",8,PV Modules,334.53,0.0,334.53,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",9,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",10,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",11,PV Modules,280.88,0.0,280.88,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",12,PV Modules,279.77,0.0,279.77,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",13,PV Modules,254.76,0.0,254.76,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",14,PV Modules,253.86,0.0,253.86,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",15,PV Modules,323.45,0.0,323.45,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",16,PV Modules,322.42,0.0,322.42,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",17,PV Modules,279.87,0.0,279.87,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",18,PV Modules,279.06,0.0,279.06,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",19,PV Modules,6571.61,0.0,6571.61,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",20,PV Modules,6278.73,0.0,6278.73,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",21,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",22,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",23,PV Modules,65485.04,0.0,65485.04,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",24,PV Modules,65099.0,0.0,65099.0,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",25,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"Waring Products, Inc., PA",26,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"Clay County Industries, Inc., IL",1,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"Clay County Industries, Inc., IL",2,PV Modules,103954.8,0.0,103954.8,0.0
PV Manufacturing Plant,"Clay County Industries, Inc., IL",3,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Clay County Industries, Inc., IL",4,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Clay County Industries, Inc., IL",5,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Clay County Industries, Inc., IL",6,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Clay County Industries, Inc., IL",7,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Clay County Industries, Inc., IL",8,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Clay County Industries, Inc., IL",9,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Clay County Industries, Inc., IL",10,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Clay County Industries, Inc., IL",11,PV Modules,0.0,0.0,0.0,0.0
