product name,location name,latitude (deg),longitude (deg),year,amount (tonne),marginal cost ($/tonne)
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,1,267669.144756052,11290.79
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,2,3348.168557889734,9890.28
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,3,5820.307927315118,9664.85
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,4,5764.29606084435,9659.42
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,5,9407.86319795027,9833.63
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,6,9295.03491136812,9818.17
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,7,5463.97581680292,9580.32
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,8,5415.572472394028,9580.32
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,9,4953.026059579001,9878.61
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,10,4928.62527538527,9878.47
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,11,16794.07717276233,9764.36
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,12,16728.028642390374,9762.69
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,13,3637.9230149708455,9580.32
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,14,3625.160449216751,9580.32
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,15,2757.2572259132635,9381.03
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,16,2748.5268202679645,9381.03
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,17,2979.80230607665,9563.97
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,18,2971.204996458097,9563.52
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,19,21868.357704914954,9580.32
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,20,21810.408472455565,9580.32
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,21,15061.080671546222,9592.85
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,22,15024.179294194159,9592.43
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,23,18042.09650546177,9580.32
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,24,18000.99053631208,9580.32
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,25,2818.396526340737,9798.61
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,26,2812.3959665342563,9798.15
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,1,1.701589205100931e6,11340.2
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,2,281797.03059399466,9935.8
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,3,253037.5707425924,9708.01
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,4,250602.45789263363,9702.58
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,5,213907.72903601493,9876.79
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,6,211342.3385699769,9861.33
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,7,162514.9560920515,9623.48
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,8,161075.2960981092,9623.48
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,9,100345.29795823868,9922.42
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,10,99850.95289910065,9922.28
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,11,64209.41934234328,9805.24
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,12,63956.893541730846,9803.56
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,13,27638.095556268156,9606.71
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,14,27541.135557278834,9606.71
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,15,18906.748468253398,9429.41
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,16,18846.88333053241,9429.41
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,17,37647.38744196263,9606.71
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,18,37538.76740179816,9606.26
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,19,23024.662528467758,9606.71
