source type,source location name,source latitude (deg),source longitude (deg),destination type,destination location name,destination latitude (deg),destination longitude (deg),product,year,distance (km),amount (tonne),amount-distance (tonne-km),transportation cost ($),transportation energy (GJ)
Origin,"Sacramento County, California",38.409126,-121.437007,Storage Facility,"XP Power, LLC, CA",38.0,-121.0,PV Module,1,59.39,1040.23,61781.15,3654.71,168.04
Origin,"Sacramento County, California",38.409126,-121.437007,Storage Facility,"XP Power, LLC, CA",38.0,-121.0,PV Module,2,59.39,1040.23,61781.15,3654.71,168.04
Origin,"Sacramento County, California",38.409126,-121.437007,Storage Facility,"XP Power, LLC, CA",38.0,-121.0,PV Module,3,59.39,1040.23,61781.15,3654.71,168.04
Origin,"Sacramento County, California",38.409126,-121.437007,Storage Facility,"XP Power, LLC, CA",38.0,-121.0,PV Module,4,59.39,2213.8,131482.13,7777.93,357.63
Origin,"Sacramento County, California",38.409126,-121.437007,Storage Facility,"XP Power, LLC, CA",38.0,-121.0,PV Module,5,59.39,3119.18,185254.24,10958.86,503.89
Origin,"Sacramento County, California",38.409126,-121.437007,Storage Facility,"XP Power, LLC, CA",38.0,-121.0,PV Module,6,59.39,4299.73,255369.49,15106.59,694.61
Origin,"Sacramento County, California",38.409126,-121.437007,Storage Facility,"XP Power, LLC, CA",38.0,-121.0,PV Module,7,59.39,4500.0,267264.0,15810.22,726.96
Origin,"Sacramento County, California",38.409126,-121.437007,Storage Facility,"XP Power, LLC, CA",38.0,-121.0,PV Module,8,59.39,4500.0,267264.0,15810.22,726.96
Origin,"Sacramento County, California",38.409126,-121.437007,Storage Facility,"XP Power, LLC, CA",38.0,-121.0,PV Module,9,59.39,4500.0,267264.0,15810.22,726.96
Origin,"Sacramento County, California",38.409126,-121.437007,Storage Facility,"XP Power, LLC, CA",38.0,-121.0,PV Module,10,59.39,4500.0,267264.0,15810.22,726.96
Origin,"Sacramento County, California",38.409126,-121.437007,Storage Facility,"XP Power, LLC, CA",38.0,-121.0,PV Module,11,59.39,4500.0,267264.0,15810.22,726.96
Origin,"Sacramento County, California",38.409126,-121.437007,Storage Facility,"XP Power, LLC, CA",38.0,-121.0,PV Module,12,59.39,4500.0,267264.0,15810.22,726.96
Origin,"Sacramento County, California",38.409126,-121.437007,Storage Facility,"XP Power, LLC, CA",38.0,-121.0,PV Module,13,59.39,4500.0,267264.0,15810.22,726.96
Origin,"Sacramento County, California",38.409126,-121.437007,Storage Facility,"XP Power, LLC, CA",38.0,-121.0,PV Module,14,59.39,4500.0,267264.0,15810.22,726.96
Origin,"Sacramento County, California",38.409126,-121.437007,Storage Facility,"XP Power, LLC, CA",38.0,-121.0,PV Module,15,59.39,4500.0,267264.0,15810.22,726.96
Origin,"Sacramento County, California",38.409126,-121.437007,Storage Facility,"XP Power, LLC, CA",38.0,-121.0,PV Module,16,59.39,4500.0,267264.0,15810.22,726.96
Origin,"Sacramento County, California",38.409126,-121.437007,Storage Facility,"XP Power, LLC, CA",38.0,-121.0,PV Module,17,59.39,4500.0,267264.0,15810.22,726.96
Origin,"Sacramento County, California",38.409126,-121.437007,Storage Facility,"XP Power, LLC, CA",38.0,-121.0,PV Module,18,59.39,4500.0,267264.0,15810.22,726.96
Origin,"Sacramento County, California",38.409126,-121.437007,Storage Facility,"XP Power, LLC, CA",38.0,-121.0,PV Module,19,59.39,4500.0,267264.0,15810.22,726.96
Origin,"Sacramento County, California",38.409126,-121.437007,Storage Facility,"XP Power, LLC, CA",38.0,-121.0,PV Module,20,59.39,4500.0,267264.0,15810.22,726.96
