plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Recycling plant,"Hillsborough, Florida",1,28.0018,-82.3024,7200,39.58,39.58,0,0.55,34.67,1.54E+07,0,386584.54,33414.86,0,1.58E+07
PV Recycling plant,"Hillsborough, Florida",2,28.0018,-82.3024,7200,28.27,28.27,0,0.39,24.76,0,0,386584.54,23866.68,0,410451.22
PV Recycling plant,"Hillsborough, Florida",3,28.0018,-82.3024,7200,45.07,45.07,0,0.63,39.48,0,0,386584.54,38045.19,0,424629.73
PV Recycling plant,"Hillsborough, Florida",4,28.0018,-82.3024,7200,70.36,70.36,0,0.98,61.63,0,0,386584.54,59397.16,0,445981.7
PV Recycling plant,"Hillsborough, Florida",5,28.0018,-82.3024,7200,107.81,107.81,0,1.5,94.44,0,0,386584.54,91016.83,0,477601.37
PV Recycling plant,"Hillsborough, Florida",6,28.0018,-82.3024,7200,162.33,162.33,0,2.25,142.19,0,0,386584.54,137041.77,0,523626.31
PV Recycling plant,"Hillsborough, Florida",7,28.0018,-82.3024,7200,240.28,240.28,0,3.34,210.48,0,0,386584.54,202851.77,0,589436.31
PV Recycling plant,"Hillsborough, Florida",8,28.0018,-82.3024,7200,349.73,349.73,0,4.86,306.35,0,0,386584.54,295251.45,0,681835.99
PV Recycling plant,"Hillsborough, Florida",9,28.0018,-82.3024,7200,500.6,500.6,0,6.95,438.51,0,0,386584.54,422622.89,0,809207.43
PV Recycling plant,"Hillsborough, Florida",10,28.0018,-82.3024,7200,2012.99,2012.99,0,27.96,1763.32,0,0,386584.54,1.70E+06,0,2.09E+06
PV Recycling plant,"Hillsborough, Florida",11,28.0018,-82.3024,7200,850.12,850.12,0,11.81,744.68,0,0,386584.54,717693.76,0,1.10E+06
PV Recycling plant,"Hillsborough, Florida",12,28.0018,-82.3024,7200,7200,7200,0,100,6306.98,0,0,386584.54,6.08E+06,0,6.47E+06
PV Recycling plant,"Hillsborough, Florida",13,28.0018,-82.3024,7200,7200,7200,0,100,6306.98,0,0,386584.54,6.08E+06,0,6.47E+06
PV Recycling plant,"Hillsborough, Florida",14,28.0018,-82.3024,7200,1965.34,1965.34,0,27.3,1721.58,0,0,386584.54,1.66E+06,0,2.05E+06
PV Recycling plant,"Hillsborough, Florida",15,28.0018,-82.3024,7200,7200,8607,1407,100,7539.47,0,0,386584.54,6.08E+06,120298.5,6.59E+06
PV Recycling plant,"Hillsborough, Florida",16,28.0018,-82.3024,7200,4934.74,3527.74,0,68.54,3090.19,0,0,386584.54,4.17E+06,0,4.55E+06
PV Recycling plant,"Hillsborough, Florida",17,28.0018,-82.3024,7200,7200,7200,0,100,6306.98,0,0,386584.54,6.08E+06,0,6.47E+06
PV Recycling plant,"Hillsborough, Florida",18,28.0018,-82.3024,21600,21600,21600,0,100,18920.95,0,1.32E+07,1.15E+06,1.82E+07,0,3.26E+07
PV Recycling plant,"Hillsborough, Florida",19,28.0018,-82.3024,21600,21600,21600,0,100,18920.95,0,0,1.15E+06,1.82E+07,0,1.94E+07
PV Recycling plant,"Hillsborough, Florida",20,28.0018,-82.3024,21600,21600,21600,0,100,18920.95,0,0,1.15E+06,1.82E+07,0,1.94E+07
PV Recycling plant,"Hillsborough, Florida",21,28.0018,-82.3024,21600,21600,21600,0,100,18920.95,0,0,1.15E+06,1.82E+07,0,1.94E+07
PV Recycling plant,"Hillsborough, Florida",22,28.0018,-82.3024,21600,21600,23007,1407,100,20153.44,0,0,1.15E+06,1.82E+07,120298.5,1.95E+07
PV Recycling plant,"Hillsborough, Florida",23,28.0018,-82.3024,21600,21600,20193,0,100,17688.46,0,0,1.15E+06,1.82E+07,0,1.94E+07
PV Recycling plant,"Hillsborough, Florida",24,28.0018,-82.3024,21600,21600,23007,1407,100,20153.44,0,0,1.15E+06,1.82E+07,120298.5,1.95E+07
PV Recycling plant,"Hillsborough, Florida",25,28.0018,-82.3024,21600,21600,20193,0,100,17688.46,0,0,1.15E+06,1.82E+07,0,1.94E+07
PV Recycling plant,"Hillsborough, Florida",26,28.0018,-82.3024,21600,21600,21600,0,100,18920.95,0,0,1.15E+06,1.82E+07,0,1.94E+07
PV Recycling plant,"Hillsborough, Florida",27,28.0018,-82.3024,21600,21600,23007,1407,100,20153.44,0,0,1.15E+06,1.82E+07,120298.5,1.95E+07
PV Recycling plant,"Hillsborough, Florida",28,28.0018,-82.3024,21600,21600,20193,0,100,17688.46,0,0,1.15E+06,1.82E+07,0,1.94E+07
PV Recycling plant,"Clark, Arkansas",1,34.0848,-93.3217,7200,0,0,0,0,0,1.54E+07,0,386584.54,0,0,1.58E+07
PV Recycling plant,"Clark, Arkansas",2,34.0848,-93.3217,7200,0,0,0,0,0,0,0,386584.54,0,0,386584.54
PV Recycling plant,"Clark, Arkansas",3,34.0848,-93.3217,7200,0,0,0,0,0,0,0,386584.54,0,0,386584.54
PV Recycling plant,"Clark, Arkansas",4,34.0848,-93.3217,7200,0,0,0,0,0,0,0,386584.54,0,0,386584.54
PV Recycling plant,"Clark, Arkansas",5,34.0848,-93.3217,7200,0,0,0,0,0,0,0,386584.54,0,0,386584.54
PV Recycling plant,"Clark, Arkansas",6,34.0848,-93.3217,7200,0,0,0,0,0,0,0,386584.54,0,0,386584.54
PV Recycling plant,"Clark, Arkansas",7,34.0848,-93.3217,7200,0,0,0,0,0,0,0,386584.54,0,0,386584.54
PV Recycling plant,"Clark, Arkansas",8,34.0848,-93.3217,7200,0,0,0,0,0,0,0,386584.54,0,0,386584.54
PV Recycling plant,"Clark, Arkansas",9,34.0848,-93.3217,7200,0,0,0,0,0,0,0,386584.54,0,0,386584.54
PV Recycling plant,"Clark, Arkansas",10,34.0848,-93.3217,7200,0,0,0,0,0,0,0,386584.54,0,0,386584.54
PV Recycling plant,"Clark, Arkansas",11,34.0848,-93.3217,7200,0,0,0,0,0,0,0,386584.54,0,0,386584.54
PV Recycling plant,"Clark, Arkansas",12,34.0848,-93.3217,7200,7200,7200,0,100,6306.98,0,0,386584.54,6.08E+06,0,6.47E+06
PV Recycling plant,"Clark, Arkansas",13,34.0848,-93.3217,7200,7200,7200,0,100,6306.98,0,0,386584.54,6.08E+06,0,6.47E+06
PV Recycling plant,"Clark, Arkansas",14,34.0848,-93.3217,7200,0,0,0,0,0,0,0,386584.54,0,0,386584.54
PV Recycling plant,"Clark, Arkansas",15,34.0848,-93.3217,7200,7200,8607,1407,100,7539.47,0,0,386584.54,6.08E+06,120298.5,6.59E+06
PV Recycling plant,"Clark, Arkansas",16,34.0848,-93.3217,7200,1407,0,0,19.54,0,0,0,386584.54,1.19E+06,0,1.57E+06
PV Recycling plant,"Clark, Arkansas",17,34.0848,-93.3217,7200,7200,7200,0,100,6306.98,0,0,386584.54,6.08E+06,0,6.47E+06
PV Recycling plant,"Clark, Arkansas",18,34.0848,-93.3217,7200,7200,7200,0,100,6306.98,0,0,386584.54,6.08E+06,0,6.47E+06
PV Recycling plant,"Clark, Arkansas",19,34.0848,-93.3217,7200,0,0,0,0,0,0,0,386584.54,0,0,386584.54
PV Recycling plant,"Clark, Arkansas",20,34.0848,-93.3217,7200,7200,7200,0,100,6306.98,0,0,386584.54,6.08E+06,0,6.47E+06
PV Recycling plant,"Clark, Arkansas",21,34.0848,-93.3217,21600,21600,21873.93,273.93,100,19160.91,0,1.32E+07,1.15E+06,1.82E+07,23421,3.26E+07
PV Recycling plant,"Clark, Arkansas",22,34.0848,-93.3217,21600,21600,21326.07,0,100,18681,0,0,1.15E+06,1.82E+07,0,1.94E+07
PV Recycling plant,"Clark, Arkansas",23,34.0848,-93.3217,21600,0,0,0,0,0,0,0,1.15E+06,0,0,1.15E+06
