source type,source location name,source latitude (deg),source longitude (deg),destination type,destination location name,destination latitude (deg),destination longitude (deg),product,year,distance (km),amount (tonne),amount-distance (tonne-km),transportation cost ($),transportation energy (GJ)
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,1,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,2,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,3,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,4,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,5,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,6,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,7,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,8,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,9,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,10,1345.553,17.125495,23043.261431,1363.142763,62.677671
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,11,1345.553,23.555407,31695.048473,1874.946222,86.210532
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,12,1345.553,31.708932,42666.049209,2523.944642,116.051654
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,13,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,14,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,15,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,16,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,17,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,18,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,19,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,20,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,21,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,22,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,23,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,24,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,25,1345.553,0.0,0.0,0.0,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,26,1345.553,0.0,0.0,0.0,0.0
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,1,1070.482,0.0,0.0,0.0,0.0
