source type,source location name,source latitude (deg),source longitude (deg),destination type,destination location name,destination latitude (deg),destination longitude (deg),product,year,distance (km),amount (tonne),amount-distance (tonne-km),transportation cost ($),transportation energy (GJ)
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,1,59.371,0.0,0.0,0.0,0.0
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,2,59.371,0.0,0.0,0.0,0.0
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,3,59.371,0.0,0.0,0.0,0.0
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,4,59.371,0.0,0.0,0.0,0.0
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,5,59.371,0.0,0.0,0.0,0.0
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,6,59.371,0.0,0.0,0.0,0.0
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,7,59.371,0.0,0.0,0.0,0.0
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,8,59.371,0.0,0.0,0.0,0.0
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,9,59.371,0.0,0.0,0.0,0.0
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,10,59.371,0.0,0.0,0.0,0.0
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,11,59.371,0.0,0.0,0.0,0.0
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,12,59.371,0.0,0.0,0.0,0.0
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,13,59.371,0.0,0.0,0.0,0.0
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,14,59.371,0.0,0.0,0.0,0.0
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,15,59.371,0.0,0.0,0.0,0.0
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,16,59.371,0.0,0.0,0.0,0.0
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,17,59.371,0.0,0.0,0.0,0.0
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,18,59.371,0.0,0.0,0.0,0.0
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,19,59.371,1986.052671,117913.933144,6975.294064,320.725898
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,20,59.371,2409.78972,143071.625464,8463.517697,389.154821
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,21,59.371,2627.670773,156007.441438,9228.746351,424.340241
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,22,59.371,3500.0,207798.5,12292.4883,565.21192
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,23,59.371,3500.0,207798.5,12292.4883,565.21192
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,24,59.371,3500.0,207798.5,12292.4883,565.21192
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,25,59.371,3500.0,207798.5,12292.4883,565.21192
Origin,"Midland County, Michigan",43.57419,-84.554378,PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",44.0,-85.0,PV Module,26,59.371,3500.0,207798.5,12292.4883,565.21192
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,1,340.465,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,2,340.465,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,3,340.465,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,4,340.465,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,5,340.465,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,6,340.465,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,7,340.465,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,8,340.465,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,9,340.465,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,10,340.465,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,11,340.465,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,12,340.465,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,13,340.465,1535.055297,522632.601676,30916.75417,1421.560677
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,14,340.465,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,15,340.465,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,16,340.465,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,17,340.465,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,18,340.465,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,19,340.465,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,20,340.465,7000.0,2.383255e6,140983.376703,6482.4536
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,21,340.465,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,22,340.465,1829.22624,622787.511843,36841.498869,1693.982032
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,23,340.465,3073.71711,1.046493095955e6,61906.14532,2846.461221
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,24,340.465,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"Star Precast Concrete, LLC, CO",39.0,-108.0,PV Module,25,340.465,0.0,0.0,0.0,0.0
