plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
Storage Facility,"Fort Wayne, Allen County, Indiana",1,41.0886,-85.1437,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storage Facility,"Fort Wayne, Allen County, Indiana",2,41.0886,-85.1437,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storage Facility,"Fort Wayne, Allen County, Indiana",3,41.0886,-85.1437,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storage Facility,"Fort Wayne, Allen County, Indiana",4,41.0886,-85.1437,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storage Facility,"Fort Wayne, Allen County, Indiana",5,41.0886,-85.1437,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storage Facility,"Fort Wayne, Allen County, Indiana",6,41.0886,-85.1437,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storage Facility,"Fort Wayne, Allen County, Indiana",7,41.0886,-85.1437,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storage Facility,"Fort Wayne, Allen County, Indiana",8,41.0886,-85.1437,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storage Facility,"Fort Wayne, Allen County, Indiana",9,41.0886,-85.1437,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storage Facility,"Fort Wayne, Allen County, Indiana",10,41.0886,-85.1437,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storage Facility,"Fort Wayne, Allen County, Indiana",11,41.0886,-85.1437,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storage Facility,"Fort Wayne, Allen County, Indiana",12,41.0886,-85.1437,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storage Facility,"Fort Wayne, Allen County, Indiana",13,41.0886,-85.1437,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storage Facility,"Fort Wayne, Allen County, Indiana",14,41.0886,-85.1437,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storage Facility,"Fort Wayne, Allen County, Indiana",15,41.0886,-85.1437,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storage Facility,"Fort Wayne, Allen County, Indiana",16,41.0886,-85.1437,0.0,0.0,8769.67,8769.67,NaN,2.8,0.0,0.0,0.0,0.0,0.0,0.0
Storage Facility,"Fort Wayne, Allen County, Indiana",17,41.0886,-85.1437,0.0,0.0,0.0,8769.67,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storage Facility,"Fort Wayne, Allen County, Indiana",18,41.0886,-85.1437,8769.67,8769.67,0.0,0.0,100.0,0.0,0.0,0.0,150937.45,0.0,0.0,150937.45
Storage Facility,"Fort Wayne, Allen County, Indiana",19,41.0886,-85.1437,14314.52,14314.52,14314.52,0.0,100.0,4.57,0.0,0.0,246371.62,0.0,0.0,246371.62
Storage Facility,"Fort Wayne, Allen County, Indiana",20,41.0886,-85.1437,14314.52,14314.52,28629.03,14314.52,100.0,9.13,0.0,0.0,246371.62,0.0,0.0,246371.62
Storage Facility,"Fort Wayne, Allen County, Indiana",21,41.0886,-85.1437,14314.52,14314.52,0.0,0.0,100.0,0.0,0.0,0.0,246371.62,0.0,0.0,246371.62
Storage Facility,"Fort Wayne, Allen County, Indiana",22,41.0886,-85.1437,14314.52,14314.52,14314.52,0.0,100.0,4.57,0.0,0.0,246371.62,0.0,0.0,246371.62
Storage Facility,"Fort Wayne, Allen County, Indiana",23,41.0886,-85.1437,14314.52,14314.52,14314.52,0.0,100.0,4.57,0.0,0.0,246371.62,0.0,0.0,246371.62
Storage Facility,"Fort Wayne, Allen County, Indiana",24,41.0886,-85.1437,14314.52,14314.52,14314.52,0.0,100.0,4.57,0.0,0.0,246371.62,0.0,0.0,246371.62
Storage Facility,"Fort Wayne, Allen County, Indiana",25,41.0886,-85.1437,14314.52,14314.52,14314.52,0.0,100.0,4.57,0.0,0.0,246371.62,0.0,0.0,246371.62
Storage Facility,"Fort Wayne, Allen County, Indiana",26,41.0886,-85.1437,14314.52,14314.52,14314.52,0.0,100.0,4.57,0.0,0.0,246371.62,0.0,0.0,246371.62
Storage Facility,"Cape Coral, Lee County, Florida",1,26.6446,-81.9956,1039.54,1039.54,1039.54,0.0,100.0,0.33,0.0,0.0,17069.26,0.0,0.0,17069.26
Storage Facility,"Cape Coral, Lee County, Florida",2,26.6446,-81.9956,1535.89,1535.89,1535.89,0.0,100.0,0.49,0.0,0.0,25219.22,0.0,0.0,25219.22
Storage Facility,"Cape Coral, Lee County, Florida",3,26.6446,-81.9956,1535.89,1535.89,1535.89,0.0,100.0,0.49,0.0,0.0,25219.22,0.0,0.0,25219.22
Storage Facility,"Cape Coral, Lee County, Florida",4,26.6446,-81.9956,5693.79,5693.79,8331.94,2638.15,100.0,2.66,0.0,0.0,93491.98,0.0,0.0,93491.98
Storage Facility,"Cape Coral, Lee County, Florida",5,26.6446,-81.9956,5693.79,5693.79,4755.54,1699.9,100.0,1.52,0.0,0.0,93491.98,0.0,0.0,93491.98
Storage Facility,"Cape Coral, Lee County, Florida",6,26.6446,-81.9956,5693.79,5693.79,3993.9,0.0,100.0,1.27,0.0,-0.0,93491.98,0.0,0.0,93491.98
Storage Facility,"Cape Coral, Lee County, Florida",7,26.6446,-81.9956,14314.52,14314.52,14314.52,0.0,100.0,4.57,0.0,0.0,235044.19,0.0,0.0,235044.19
Storage Facility,"Cape Coral, Lee County, Florida",8,26.6446,-81.9956,14314.52,14314.52,14314.52,0.0,100.0,4.57,0.0,0.0,235044.19,0.0,0.0,235044.19
Storage Facility,"Cape Coral, Lee County, Florida",9,26.6446,-81.9956,14314.52,14314.52,14314.52,0.0,100.0,4.57,0.0,0.0,235044.19,0.0,0.0,235044.19
Storage Facility,"Cape Coral, Lee County, Florida",10,26.6446,-81.9956,14314.52,14314.52,40553.3,26238.78,100.0,12.94,0.0,0.0,235044.19,0.0,0.0,235044.19
Storage Facility,"Cape Coral, Lee County, Florida",11,26.6446,-81.9956,14314.52,14314.52,2390.25,14314.52,100.0,0.76,0.0,0.0,235044.19,0.0,0.0,235044.19
Storage Facility,"Cape Coral, Lee County, Florida",12,26.6446,-81.9956,14314.52,14314.52,0.0,0.0,100.0,0.0,0.0,0.0,235044.19,0.0,0.0,235044.19
Storage Facility,"Cape Coral, Lee County, Florida",13,26.6446,-81.9956,14314.52,14314.52,42943.55,28629.03,100.0,13.7,0.0,0.0,235044.19,0.0,0.0,235044.19
Storage Facility,"Cape Coral, Lee County, Florida",14,26.6446,-81.9956,14314.52,14314.52,0.0,14314.52,100.0,0.0,0.0,0.0,235044.19,0.0,0.0,235044.19
Storage Facility,"Cape Coral, Lee County, Florida",15,26.6446,-81.9956,14314.52,14314.52,0.0,0.0,100.0,0.0,0.0,0.0,235044.19,0.0,0.0,235044.19
Storage Facility,"Cape Coral, Lee County, Florida",16,26.6446,-81.9956,14314.52,14314.52,28629.03,14314.52,100.0,9.13,0.0,0.0,235044.19,0.0,0.0,235044.19
Storage Facility,"Cape Coral, Lee County, Florida",17,26.6446,-81.9956,14314.52,14314.52,0.0,0.0,100.0,0.0,0.0,0.0,235044.19,0.0,0.0,235044.19
Storage Facility,"Cape Coral, Lee County, Florida",18,26.6446,-81.9956,14314.52,14314.52,14314.52,0.0,100.0,4.57,0.0,-0.0,235044.19,0.0,0.0,235044.19
Storage Facility,"Cape Coral, Lee County, Florida",19,26.6446,-81.9956,14314.52,14314.52,77939.91,63625.39,100.0,24.86,0.0,0.0,235044.19,0.0,0.0,235044.19
Storage Facility,"Cape Coral, Lee County, Florida",20,26.6446,-81.9956,14314.52,14314.52,7947.19,57258.07,100.0,2.54,0.0,0.0,235044.19,0.0,0.0,235044.19
