plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Manufacturing Plant,"Fresno, Fresno County, California",1,36.7831,-119.7941,4.0162633e6,4.0162633e6,4.0162633e6,0.0,100.0,7.9831524714e8,0.0,1.040687714e7,974611.84,9.94730145989e9,0.0,9.95868294887e9
PV Manufacturing Plant,"Fresno, Fresno County, California",2,36.7831,-119.7941,4.0162633e6,746339.55,746339.55,0.0,18.58,1.4835039364e8,0.0,0.0,974611.84,1.84850044208e9,0.0,1.84947505392e9
PV Manufacturing Plant,"Fresno, Fresno County, California",3,36.7831,-119.7941,4.0162633e6,364848.98,364848.98,0.0,9.08,7.252126789e7,0.0,0.0,974611.84,9.0364165858e8,0.0,9.0461627042e8
PV Manufacturing Plant,"Fresno, Fresno County, California",4,36.7831,-119.7941,4.0162633e6,361337.85,361337.85,0.0,9.0,7.182335781e7,0.0,0.0,974611.84,8.9494544241e8,0.0,8.9592005425e8
PV Manufacturing Plant,"Fresno, Fresno County, California",5,36.7831,-119.7941,4.0162633e6,541363.09,541363.09,0.0,13.48,1.0760709008e8,0.0,0.0,974611.84,1.34082390143e9,0.0,1.34179851327e9
PV Manufacturing Plant,"Fresno, Fresno County, California",6,36.7831,-119.7941,4.0162633e6,534870.53,534870.53,0.0,13.32,1.0631656073e8,0.0,0.0,974611.84,1.32474343127e9,0.0,1.32571804311e9
PV Manufacturing Plant,"Fresno, Fresno County, California",7,36.7831,-119.7941,4.0162633e6,526572.04,526572.04,0.0,13.11,1.0466706374e8,0.0,0.0,974611.84,1.30419009248e9,0.0,1.30516470432e9
PV Manufacturing Plant,"Fresno, Fresno County, California",8,36.7831,-119.7941,4.0162633e6,521907.33,521907.33,0.0,12.99,1.0373985687e8,0.0,0.0,974611.84,1.29263675397e9,0.0,1.29361136581e9
PV Manufacturing Plant,"Fresno, Fresno County, California",9,36.7831,-119.7941,4.0162633e6,771345.24,771345.24,0.0,19.21,1.5332079161e8,0.0,0.0,974611.84,1.910433428e9,0.0,1.91140803984e9
PV Manufacturing Plant,"Fresno, Fresno County, California",10,36.7831,-119.7941,4.0162633e6,767545.26,767545.26,0.0,19.11,1.5256546598e8,0.0,0.0,974611.84,1.90102179293e9,0.0,1.90199640477e9
PV Manufacturing Plant,"Fresno, Fresno County, California",11,36.7831,-119.7941,4.0162633e6,445072.34,445072.34,0.0,11.08,8.846731636e7,0.0,0.0,974611.84,1.10233528461e9,0.0,1.10330989645e9
PV Manufacturing Plant,"Fresno, Fresno County, California",12,36.7831,-119.7941,4.0162633e6,443321.94,443321.94,0.0,11.04,8.811938797e7,0.0,0.0,974611.84,1.09799996897e9,0.0,1.09897458081e9
PV Manufacturing Plant,"Fresno, Fresno County, California",13,36.7831,-119.7941,4.0162633e6,267438.35,267438.35,0.0,6.66,5.315889245e7,0.0,0.0,974611.84,6.623793424e8,0.0,6.6335395424e8
PV Manufacturing Plant,"Fresno, Fresno County, California",14,36.7831,-119.7941,4.0162633e6,266500.12,266500.12,0.0,6.64,5.297240036e7,0.0,0.0,974611.84,6.6005558242e8,0.0,6.6103019426e8
PV Manufacturing Plant,"Fresno, Fresno County, California",15,36.7831,-119.7941,4.0162633e6,97396.15,97396.15,0.0,2.43,1.93594965e7,0.0,0.0,974611.84,2.4122644349e8,0.0,2.4220105533e8
PV Manufacturing Plant,"Fresno, Fresno County, California",16,36.7831,-119.7941,4.0162633e6,97087.77,97087.77,0.0,2.42,1.929819781e7,0.0,0.0,974611.84,2.4046263927e8,0.0,2.4143725111e8
PV Manufacturing Plant,"Fresno, Fresno County, California",17,36.7831,-119.7941,4.0162633e6,271894.94,271894.94,0.0,6.77,5.404473168e7,0.0,0.0,974611.84,6.7341722497e8,0.0,6.7439183681e8
PV Manufacturing Plant,"Fresno, Fresno County, California",18,36.7831,-119.7941,4.0162633e6,271110.47,271110.47,0.0,6.75,5.388880211e7,0.0,0.0,974611.84,6.7147428521e8,0.0,6.7244889705e8
PV Manufacturing Plant,"Fresno, Fresno County, California",19,36.7831,-119.7941,4.0162633e6,205296.65,205296.65,0.0,5.11,4.08069469e7,0.0,0.0,974611.84,5.0846955999e8,0.0,5.0944417183e8
PV Manufacturing Plant,"Fresno, Fresno County, California",20,36.7831,-119.7941,4.0162633e6,204752.63,204752.63,0.0,5.1,4.069881206e7,0.0,0.0,974611.84,5.071221602e8,0.0,5.0809677204e8
PV Manufacturing Plant,"Fresno, Fresno County, California",21,36.7831,-119.7941,4.0162633e6,598617.02,598617.02,0.0,14.9,1.1898749194e8,0.0,0.0,974611.84,1.4826278923e9,0.0,1.48360250414e9
PV Manufacturing Plant,"Fresno, Fresno County, California",22,36.7831,-119.7941,4.0162633e6,597150.34,597150.34,0.0,14.87,1.1869595892e8,0.0,0.0,974611.84,1.47899528369e9,0.0,1.47996989553e9
PV Manufacturing Plant,"Fresno, Fresno County, California",23,36.7831,-119.7941,4.0162633e6,225600.0,225600.0,0.0,5.62,4.484265658e7,0.0,0.0,974611.84,5.587559863e8,0.0,5.5973059814e8
PV Manufacturing Plant,"Fresno, Fresno County, California",24,36.7831,-119.7941,4.0162633e6,225086.0,225086.0,0.0,5.6,4.474048992e7,0.0,0.0,974611.84,5.5748295208e8,0.0,5.5845756392e8
PV Manufacturing Plant,"Fresno, Fresno County, California",25,36.7831,-119.7941,4.0162633e6,992885.85,992885.85,0.0,24.72,1.9735656147e8,0.0,0.0,974611.84,2.45913530908e9,0.0,2.46010992092e9
