plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",1,41.0886,-85.1437,0.0,0.0,145.97,145.97,NaN,127.87,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",2,41.0886,-85.1437,184.29,184.29,89.39,51.07,100.0,78.3,0.0,193841.1,5249.9,52924.63,0.0,252015.63
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",3,41.0886,-85.1437,184.29,184.29,133.22,0.0,100.0,116.7,0.0,0.0,5249.9,52924.63,0.0,58174.53
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",4,41.0886,-85.1437,193.7,193.7,193.7,0.0,100.0,169.68,0.0,9895.22,5517.89,55626.33,0.0,71039.44
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",5,41.0886,-85.1437,193.7,193.7,275.25,81.55,100.0,241.11,0.0,0.0,5517.89,55626.33,0.0,61144.22
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",6,41.0886,-85.1437,193.7,193.7,382.8,270.64,100.0,335.32,0.0,0.0,5517.89,55626.33,0.0,61144.22
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",7,41.0886,-85.1437,193.7,193.7,521.63,598.57,100.0,456.93,0.0,0.0,5517.89,55626.33,0.0,61144.22
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",8,41.0886,-85.1437,193.7,193.7,1622.43,2027.3,100.0,1421.2,0.0,0.0,5517.89,55626.33,0.0,61144.22
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",9,41.0886,-85.1437,193.7,193.7,825.52,2659.13,100.0,723.13,0.0,0.0,5517.89,55626.33,0.0,61144.22
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",10,41.0886,-85.1437,193.7,193.7,3825.99,6291.41,100.0,3351.45,0.0,0.0,5517.89,55626.33,0.0,61144.22
