source type,source location name,source latitude (deg),source longitude (deg),destination type,destination location name,destination latitude (deg),destination longitude (deg),product,year,distance (km),amount (tonne),amount-distance (tonne-km),transportation cost ($),transportation energy (GJ)
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",34.0,-90.0,PV Modules Materials,1,1982.19,267669.14,5.3057110204e8,5.1159771e7,1.4431534e6
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",34.0,-90.0,PV Modules Materials,2,1982.19,3348.17,6.63670623e6,639937.55,18051.84
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",34.0,-90.0,PV Modules Materials,3,1982.19,5820.31,1.153695617e7,1.11243909e6,31380.52
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",34.0,-90.0,PV Modules Materials,4,1982.19,5764.3,1.142593001e7,1.10173351e6,31078.53
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",34.0,-90.0,PV Modules Materials,5,1982.19,9407.86,1.864817235e7,1.79813078e6,50723.03
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",34.0,-90.0,PV Modules Materials,6,1982.19,9295.03,1.842452525e7,1.77656583e6,50114.71
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",34.0,-90.0,PV Modules Materials,7,1982.19,5463.98,1.083063822e7,1.04433311e6,29459.34
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",34.0,-90.0,PV Modules Materials,8,1982.19,5415.57,1.07346936e7,1.03508175e6,29198.37
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",34.0,-90.0,PV Modules Materials,9,1982.19,4953.03,9.81783873e6,946674.97,26704.52
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",34.0,-90.0,PV Modules Materials,10,1982.19,4928.63,9.76947173e6,942011.23,26572.96
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",34.0,-90.0,PV Modules Materials,11,1982.19,16794.08,3.328905183e7,3.20986247e6,90546.22
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",34.0,-90.0,PV Modules Materials,12,1982.19,16728.03,3.315813109e7,3.19723857e6,90190.12
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",34.0,-90.0,PV Modules Materials,13,1982.19,3637.92,7.21105462e6,695318.5,19614.07
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",34.0,-90.0,PV Modules Materials,14,1982.19,3625.16,7.18575679e6,692879.18,19545.26
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",34.0,-90.0,PV Modules Materials,15,1982.19,2757.26,5.4654077e6,526996.3,14865.91
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",34.0,-90.0,PV Modules Materials,16,1982.19,2748.53,5.44810238e6,525327.65,14818.84
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"Bain Mfg. Co., Inc., MS",34.0,-90.0,PV Modules Materials,17,1982.19,2979.8,5.90653433e6,569531.48,16065.77
