source type,source location name,source latitude (deg),source longitude (deg),destination type,destination location name,destination latitude (deg),destination longitude (deg),product,year,distance (km),amount (tonne),amount-distance (tonne-km),transportation cost ($),transportation energy (GJ)
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,1,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,2,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,3,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,4,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,5,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,6,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,7,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,8,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,9,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,10,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,11,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,12,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,13,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,14,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,15,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,16,239.38,2623.81,628087.94,37155.05,1708.4
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,17,239.38,2217.07,530723.4,31395.37,1443.57
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,18,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,19,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,20,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,21,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,22,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,23,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,24,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,25,239.38,0.0,0.0,0.0,0.0
Origin,"Powhatan County, Virginia",37.641073,-78.022226,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,26,239.38,0.0,0.0,0.0,0.0
Origin,"Madison County, New York",43.012552,-75.576844,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,1,767.39,0.0,0.0,0.0,0.0
Origin,"Madison County, New York",43.012552,-75.576844,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,2,767.39,0.0,0.0,0.0,0.0
Origin,"Madison County, New York",43.012552,-75.576844,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,3,767.39,0.0,0.0,0.0,0.0
Origin,"Madison County, New York",43.012552,-75.576844,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,4,767.39,0.0,0.0,0.0,0.0
Origin,"Madison County, New York",43.012552,-75.576844,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,5,767.39,0.0,0.0,0.0,0.0
Origin,"Madison County, New York",43.012552,-75.576844,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,6,767.39,0.0,0.0,0.0,0.0
Origin,"Madison County, New York",43.012552,-75.576844,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,7,767.39,0.0,0.0,0.0,0.0
Origin,"Madison County, New York",43.012552,-75.576844,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,8,767.39,0.0,0.0,0.0,0.0
Origin,"Madison County, New York",43.012552,-75.576844,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,9,767.39,0.0,0.0,0.0,0.0
Origin,"Madison County, New York",43.012552,-75.576844,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,10,767.39,0.0,0.0,0.0,0.0
Origin,"Madison County, New York",43.012552,-75.576844,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,11,767.39,0.0,0.0,0.0,0.0
Origin,"Madison County, New York",43.012552,-75.576844,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,12,767.39,0.0,0.0,0.0,0.0
