plant type,location name,year,product name,amount produced (tonne),amount sent (tonne),amount disposed (tonne),disposal cost ($)
PV Recycling Plant,"San Juan, New Mexico",1,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",2,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",3,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",4,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",5,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",6,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",7,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",8,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",9,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",10,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",11,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",12,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",13,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",14,Encapsulant (cSi),118.71,0.0,118.71,0.0
PV Recycling Plant,"San Juan, New Mexico",15,Encapsulant (cSi),306.78,0.0,306.78,0.0
PV Recycling Plant,"San Juan, New Mexico",16,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",17,Encapsulant (cSi),2195.49,0.0,2195.49,0.0
PV Recycling Plant,"San Juan, New Mexico",18,Encapsulant (cSi),954.94,0.0,954.94,0.0
PV Recycling Plant,"San Juan, New Mexico",19,Encapsulant (cSi),3796.9,0.0,3796.9,0.0
PV Recycling Plant,"San Juan, New Mexico",20,Encapsulant (cSi),2658.7,0.0,2658.7,0.0
PV Recycling Plant,"San Juan, New Mexico",21,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",22,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",23,Encapsulant (cSi),3423.54,0.0,3423.54,0.0
PV Recycling Plant,"San Juan, New Mexico",24,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",25,Encapsulant (cSi),4055.08,0.0,4055.08,0.0
PV Recycling Plant,"San Juan, New Mexico",26,Encapsulant (cSi),3705.61,0.0,3705.61,0.0
PV Recycling Plant,"San Juan, New Mexico",1,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",2,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",3,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",4,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",5,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",6,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",7,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",8,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",9,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",10,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",11,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",12,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",13,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",14,Aluminium (CdTe),8.57,0.0,8.57,0.0
PV Recycling Plant,"San Juan, New Mexico",15,Aluminium (CdTe),22.15,0.0,22.15,0.0
PV Recycling Plant,"San Juan, New Mexico",16,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",17,Aluminium (CdTe),158.51,0.0,158.51,0.0
PV Recycling Plant,"San Juan, New Mexico",18,Aluminium (CdTe),68.94,0.0,68.94,0.0
PV Recycling Plant,"San Juan, New Mexico",19,Aluminium (CdTe),274.12,0.0,274.12,0.0
PV Recycling Plant,"San Juan, New Mexico",20,Aluminium (CdTe),191.95,0.0,191.95,0.0
PV Recycling Plant,"San Juan, New Mexico",21,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",22,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",23,Aluminium (CdTe),247.17,0.0,247.17,0.0
PV Recycling Plant,"San Juan, New Mexico",24,Aluminium (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"San Juan, New Mexico",25,Aluminium (CdTe),292.76,0.0,292.76,0.0
PV Recycling Plant,"San Juan, New Mexico",26,Aluminium (CdTe),267.53,0.0,267.53,0.0
PV Recycling Plant,"San Juan, New Mexico",1,Copper (cSi),0.0,0.0,0.0,0.0
