plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Manufacturing Plant,"Luke Mill, Maryland",1,39.612313,-78.703104,103954.8,103954.8,103954.8,0.0,100.0,2.06631635e7,631023.65,0.0,59095.84,603157.16,0.0,1.29327665e6
PV Manufacturing Plant,"Luke Mill, Maryland",2,39.612313,-78.703104,103954.8,479.17,479.17,0.0,0.46,95245.29,0.0,0.0,59095.84,2780.21,0.0,61876.05
PV Manufacturing Plant,"Luke Mill, Maryland",3,39.612313,-78.703104,103954.8,84624.0,84624.0,0.0,81.4,1.682076691e7,0.0,0.0,59095.84,490997.71,0.0,550093.55
PV Manufacturing Plant,"Luke Mill, Maryland",4,39.612313,-78.703104,103954.8,79807.97,79807.97,0.0,76.77,1.586348217e7,0.0,0.0,59095.84,463054.6,0.0,522150.44
PV Manufacturing Plant,"Luke Mill, Maryland",5,39.612313,-78.703104,103954.8,485.99,485.99,0.0,0.47,96601.14,0.0,0.0,59095.84,2819.78,0.0,61915.62
PV Manufacturing Plant,"Luke Mill, Maryland",6,39.612313,-78.703104,103954.8,480.16,480.16,0.0,0.46,95442.61,0.0,0.0,59095.84,2785.97,0.0,61881.81
PV Manufacturing Plant,"Luke Mill, Maryland",7,39.612313,-78.703104,103954.8,381.15,381.15,0.0,0.37,75761.1,0.0,0.0,59095.84,2211.46,0.0,61307.3
PV Manufacturing Plant,"Luke Mill, Maryland",8,39.612313,-78.703104,103954.8,377.77,377.77,0.0,0.36,75089.96,0.0,0.0,59095.84,2191.87,0.0,61287.71
PV Manufacturing Plant,"Luke Mill, Maryland",9,39.612313,-78.703104,103954.8,31676.45,31676.45,0.0,30.47,6.29634762e6,0.0,0.0,59095.84,183790.21,0.0,242886.05
PV Manufacturing Plant,"Luke Mill, Maryland",10,39.612313,-78.703104,103954.8,31008.27,31008.27,0.0,29.83,6.16353322e6,0.0,0.0,59095.84,179913.36,0.0,239009.2
PV Manufacturing Plant,"Luke Mill, Maryland",11,39.612313,-78.703104,103954.8,241.65,241.65,0.0,0.23,48032.64,0.0,0.0,59095.84,1402.07,0.0,60497.91
