plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Recycling Plant,"Sandvik, Inc., FL",1,30.0,-81.0,7000.0,0.0,0.0,0.0,0.0,0.0,1.749828676e7,0.0,473914.89,0.0,0.0,1.797220165e7
PV Recycling Plant,"Sandvik, Inc., FL",2,30.0,-81.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473914.89,0.0,0.0,473914.89
PV Recycling Plant,"Sandvik, Inc., FL",3,30.0,-81.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473914.89,0.0,0.0,473914.89
PV Recycling Plant,"Sandvik, Inc., FL",4,30.0,-81.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473914.89,0.0,0.0,473914.89
PV Recycling Plant,"Sandvik, Inc., FL",5,30.0,-81.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473914.89,0.0,0.0,473914.89
PV Recycling Plant,"Sandvik, Inc., FL",6,30.0,-81.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473914.89,0.0,0.0,473914.89
PV Recycling Plant,"Sandvik, Inc., FL",7,30.0,-81.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473914.89,0.0,0.0,473914.89
PV Recycling Plant,"Sandvik, Inc., FL",8,30.0,-81.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473914.89,0.0,0.0,473914.89
PV Recycling Plant,"Sandvik, Inc., FL",9,30.0,-81.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473914.89,0.0,0.0,473914.89
PV Recycling Plant,"Sandvik, Inc., FL",10,30.0,-81.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473914.89,0.0,0.0,473914.89
PV Recycling Plant,"Sandvik, Inc., FL",11,30.0,-81.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473914.89,0.0,0.0,473914.89
PV Recycling Plant,"Sandvik, Inc., FL",12,30.0,-81.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473914.89,0.0,0.0,473914.89
PV Recycling Plant,"Sandvik, Inc., FL",13,30.0,-81.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473914.89,0.0,0.0,473914.89
PV Recycling Plant,"Sandvik, Inc., FL",14,30.0,-81.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473914.89,0.0,0.0,473914.89
PV Recycling Plant,"Sandvik, Inc., FL",15,30.0,-81.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473914.89,0.0,0.0,473914.89
PV Recycling Plant,"Sandvik, Inc., FL",16,30.0,-81.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473914.89,0.0,0.0,473914.89
PV Recycling Plant,"Sandvik, Inc., FL",17,30.0,-81.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473914.89,0.0,0.0,473914.89
PV Recycling Plant,"Sandvik, Inc., FL",18,30.0,-81.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473914.89,0.0,0.0,473914.89
PV Recycling Plant,"Sandvik, Inc., FL",19,30.0,-81.0,7000.0,7000.0,23266.3,16266.3,100.0,20380.58,0.0,0.0,473914.89,4.77757447e6,0.0,5.25148936e6
PV Recycling Plant,"Sandvik, Inc., FL",20,30.0,-81.0,7000.0,7000.0,0.0,9266.3,100.0,0.0,0.0,0.0,473914.89,4.77757447e6,0.0,5.25148936e6
PV Recycling Plant,"Sandvik, Inc., FL",21,30.0,-81.0,7000.0,7000.0,0.0,2266.3,100.0,0.0,0.0,0.0,473914.89,4.77757447e6,0.0,5.25148936e6
PV Recycling Plant,"Sandvik, Inc., FL",22,30.0,-81.0,7000.0,7000.0,18733.7,14000.0,100.0,16410.16,0.0,0.0,473914.89,4.77757447e6,0.0,5.25148936e6
