plant type,location name,year,emission type,emission amount (tonne)
PV Recycling Plant,"Baldor Electric Co., AR",1,CO2,179.1
PV Recycling Plant,"Baldor Electric Co., AR",2,CO2,109.0
PV Recycling Plant,"Baldor Electric Co., AR",3,CO2,162.21
PV Recycling Plant,"Baldor Electric Co., AR",4,CO2,235.62
PV Recycling Plant,"Baldor Electric Co., AR",5,CO2,334.54
PV Recycling Plant,"Baldor Electric Co., AR",6,CO2,464.87
PV Recycling Plant,"Baldor Electric Co., AR",7,CO2,632.59
PV Recycling Plant,"Baldor Electric Co., AR",8,CO2,2035.76
PV Recycling Plant,"Baldor Electric Co., AR",9,CO2,987.38
PV Recycling Plant,"Baldor Electric Co., AR",10,CO2,4731.87
PV Recycling Plant,"Baldor Electric Co., AR",11,CO2,4603.82
PV Recycling Plant,"Baldor Electric Co., AR",12,CO2,1179.82
PV Recycling Plant,"Baldor Electric Co., AR",13,CO2,4952.73
PV Recycling Plant,"Baldor Electric Co., AR",14,CO2,1878.39
PV Recycling Plant,"Baldor Electric Co., AR",15,CO2,2488.54
PV Recycling Plant,"Baldor Electric Co., AR",16,CO2,6377.57
PV Recycling Plant,"Baldor Electric Co., AR",17,CO2,3864.57
PV Recycling Plant,"Baldor Electric Co., AR",18,CO2,4906.5
PV Recycling Plant,"Baldor Electric Co., AR",19,CO2,11073.94
PV Recycling Plant,"Baldor Electric Co., AR",20,CO2,11346.3
PV Recycling Plant,"Baldor Electric Co., AR",21,CO2,7286.36
PV Recycling Plant,"Baldor Electric Co., AR",22,CO2,15489.99
PV Recycling Plant,"Baldor Electric Co., AR",23,CO2,10225.77
PV Recycling Plant,"Baldor Electric Co., AR",24,CO2,12792.41
PV Recycling Plant,"Baldor Electric Co., AR",25,CO2,19552.73
PV Recycling Plant,"Baldor Electric Co., AR",26,CO2,19552.73
PV Recycling Plant,"Columbia Block & Brick, MS",1,CO2,90.43
PV Recycling Plant,"Columbia Block & Brick, MS",2,CO2,56.73
PV Recycling Plant,"Columbia Block & Brick, MS",3,CO2,86.77
PV Recycling Plant,"Columbia Block & Brick, MS",4,CO2,130.19
PV Recycling Plant,"Columbia Block & Brick, MS",5,CO2,191.75
PV Recycling Plant,"Columbia Block & Brick, MS",6,CO2,277.44
PV Recycling Plant,"Columbia Block & Brick, MS",7,CO2,394.57
PV Recycling Plant,"Columbia Block & Brick, MS",8,CO2,1676.71
PV Recycling Plant,"Columbia Block & Brick, MS",9,CO2,651.15
PV Recycling Plant,"Columbia Block & Brick, MS",10,CO2,2075.93
PV Recycling Plant,"Columbia Block & Brick, MS",11,CO2,2249.46
PV Recycling Plant,"Columbia Block & Brick, MS",12,CO2,1385.0
PV Recycling Plant,"Columbia Block & Brick, MS",13,CO2,3622.69
PV Recycling Plant,"Columbia Block & Brick, MS",14,CO2,2493.39
PV Recycling Plant,"Columbia Block & Brick, MS",15,CO2,3358.32
PV Recycling Plant,"Columbia Block & Brick, MS",16,CO2,5994.92
PV Recycling Plant,"Columbia Block & Brick, MS",17,CO2,5583.07
PV Recycling Plant,"Columbia Block & Brick, MS",18,CO2,7154.59
PV Recycling Plant,"Columbia Block & Brick, MS",19,CO2,13255.97
