plant type,location name,year,emission type,emission amount (tonne)
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",1,CO2,0.0
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",2,CO2,0.0
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",3,CO2,0.0
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",4,CO2,0.0
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",5,CO2,0.0
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",6,CO2,0.0
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",7,CO2,0.0
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",8,CO2,0.0
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",9,CO2,0.0
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",10,CO2,0.0
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",11,CO2,0.0
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",12,CO2,0.0
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",13,CO2,0.0
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",14,CO2,0.0
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",15,CO2,0.0
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",16,CO2,0.0
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",17,CO2,0.0
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",18,CO2,0.0
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",19,CO2,554.753526
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",20,CO2,673.113742
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",21,CO2,733.973297
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",22,CO2,977.636379
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",23,CO2,977.636379
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",24,CO2,977.636379
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",25,CO2,977.636379
PV Recycling Plant,"Advanced Battery Concepts, LLC, MI",26,CO2,977.636379
PV Recycling Plant,"Star Precast Concrete, LLC, CO",1,CO2,0.0
PV Recycling Plant,"Star Precast Concrete, LLC, CO",2,CO2,0.0
PV Recycling Plant,"Star Precast Concrete, LLC, CO",3,CO2,0.0
PV Recycling Plant,"Star Precast Concrete, LLC, CO",4,CO2,0.0
PV Recycling Plant,"Star Precast Concrete, LLC, CO",5,CO2,0.0
PV Recycling Plant,"Star Precast Concrete, LLC, CO",6,CO2,0.0
PV Recycling Plant,"Star Precast Concrete, LLC, CO",7,CO2,0.0
PV Recycling Plant,"Star Precast Concrete, LLC, CO",8,CO2,0.0
PV Recycling Plant,"Star Precast Concrete, LLC, CO",9,CO2,0.0
PV Recycling Plant,"Star Precast Concrete, LLC, CO",10,CO2,0.0
PV Recycling Plant,"Star Precast Concrete, LLC, CO",11,CO2,0.0
PV Recycling Plant,"Star Precast Concrete, LLC, CO",12,CO2,0.0
PV Recycling Plant,"Star Precast Concrete, LLC, CO",13,CO2,2932.909136
PV Recycling Plant,"Star Precast Concrete, LLC, CO",14,CO2,0.0
PV Recycling Plant,"Star Precast Concrete, LLC, CO",15,CO2,0.0
PV Recycling Plant,"Star Precast Concrete, LLC, CO",16,CO2,2521.130213
PV Recycling Plant,"Star Precast Concrete, LLC, CO",17,CO2,0.0
PV Recycling Plant,"Star Precast Concrete, LLC, CO",18,CO2,411.778924
PV Recycling Plant,"Star Precast Concrete, LLC, CO",19,CO2,977.636379
PV Recycling Plant,"Star Precast Concrete, LLC, CO",20,CO2,1955.272758
PV Recycling Plant,"Star Precast Concrete, LLC, CO",21,CO2,0.0
PV Recycling Plant,"Star Precast Concrete, LLC, CO",22,CO2,977.636379
PV Recycling Plant,"Star Precast Concrete, LLC, CO",23,CO2,1324.523724
PV Recycling Plant,"Star Precast Concrete, LLC, CO",24,CO2,630.749034
PV Recycling Plant,"Star Precast Concrete, LLC, CO",25,CO2,1272.038572
PV Recycling Plant,"Star Precast Concrete, LLC, CO",26,CO2,683.234186
PV Recycling Plant,"Design A Sign, CO",1,CO2,0.0
PV Recycling Plant,"Design A Sign, CO",2,CO2,0.0
PV Recycling Plant,"Design A Sign, CO",3,CO2,0.0
PV Recycling Plant,"Design A Sign, CO",4,CO2,0.0
PV Recycling Plant,"Design A Sign, CO",5,CO2,0.0
PV Recycling Plant,"Design A Sign, CO",6,CO2,0.0
PV Recycling Plant,"Design A Sign, CO",7,CO2,0.0
PV Recycling Plant,"Design A Sign, CO",8,CO2,0.0
PV Recycling Plant,"Design A Sign, CO",9,CO2,0.0
PV Recycling Plant,"Design A Sign, CO",10,CO2,0.0
PV Recycling Plant,"Design A Sign, CO",11,CO2,0.0
PV Recycling Plant,"Design A Sign, CO",12,CO2,0.0
PV Recycling Plant,"Design A Sign, CO",13,CO2,0.0
PV Recycling Plant,"Design A Sign, CO",14,CO2,0.0
PV Recycling Plant,"Design A Sign, CO",15,CO2,0.0
PV Recycling Plant,"Design A Sign, CO",16,CO2,1783.163136
PV Recycling Plant,"Design A Sign, CO",17,CO2,172.109621
PV Recycling Plant,"Design A Sign, CO",18,CO2,977.636379
PV Recycling Plant,"Design A Sign, CO",19,CO2,977.636379
PV Recycling Plant,"Design A Sign, CO",20,CO2,1955.272758
PV Recycling Plant,"Design A Sign, CO",21,CO2,0.0
PV Recycling Plant,"Design A Sign, CO",22,CO2,977.636379
PV Recycling Plant,"Design A Sign, CO",23,CO2,1550.973545
PV Recycling Plant,"Design A Sign, CO",24,CO2,404.299212
PV Recycling Plant,"Design A Sign, CO",25,CO2,977.636379
PV Recycling Plant,"Design A Sign, CO",26,CO2,977.636379
PV Recycling Plant,"Croell Redi Mix, LLC, NE",1,CO2,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",2,CO2,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",3,CO2,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",4,CO2,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",5,CO2,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",6,CO2,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",7,CO2,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",8,CO2,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",9,CO2,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",10,CO2,1297.362058
PV Recycling Plant,"Croell Redi Mix, LLC, NE",11,CO2,1040.601859
PV Recycling Plant,"Croell Redi Mix, LLC, NE",12,CO2,2.69342
PV Recycling Plant,"Croell Redi Mix, LLC, NE",13,CO2,855.674115
PV Recycling Plant,"Croell Redi Mix, LLC, NE",14,CO2,271.785469
PV Recycling Plant,"Croell Redi Mix, LLC, NE",15,CO2,864.682372
PV Recycling Plant,"Croell Redi Mix, LLC, NE",16,CO2,977.636379
PV Recycling Plant,"Croell Redi Mix, LLC, NE",17,CO2,977.636379
PV Recycling Plant,"Croell Redi Mix, LLC, NE",18,CO2,977.636379
PV Recycling Plant,"Croell Redi Mix, LLC, NE",19,CO2,1955.272758
PV Recycling Plant,"Croell Redi Mix, LLC, NE",20,CO2,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",21,CO2,1955.272758
PV Recycling Plant,"Croell Redi Mix, LLC, NE",22,CO2,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",23,CO2,977.636379
PV Recycling Plant,"Croell Redi Mix, LLC, NE",24,CO2,977.636379
PV Recycling Plant,"Croell Redi Mix, LLC, NE",25,CO2,1168.731383
PV Recycling Plant,"Croell Redi Mix, LLC, NE",26,CO2,786.541375
PV Recycling Plant,"Sandvik, Inc., FL",1,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",2,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",3,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",4,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",5,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",6,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",7,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",8,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",9,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",10,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",11,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",12,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",13,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",14,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",15,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",16,CO2,977.636379
PV Recycling Plant,"Sandvik, Inc., FL",17,CO2,187.822755
PV Recycling Plant,"Sandvik, Inc., FL",18,CO2,977.636379
PV Recycling Plant,"Sandvik, Inc., FL",19,CO2,977.636379
PV Recycling Plant,"Sandvik, Inc., FL",20,CO2,1908.436769
PV Recycling Plant,"Sandvik, Inc., FL",21,CO2,46.835989
PV Recycling Plant,"Sandvik, Inc., FL",22,CO2,1955.272758
PV Recycling Plant,"Sandvik, Inc., FL",23,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",24,CO2,977.636379
PV Recycling Plant,"Sandvik, Inc., FL",25,CO2,977.636379
PV Recycling Plant,"Sandvik, Inc., FL",26,CO2,977.636379
PV Recycling Plant,"Flex-Tec, Inc., GA",1,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",2,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",3,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",4,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",5,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",6,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",7,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",8,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",9,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",10,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",11,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",12,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",13,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",14,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",15,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",16,CO2,977.636379
PV Recycling Plant,"Flex-Tec, Inc., GA",17,CO2,977.636379
PV Recycling Plant,"Flex-Tec, Inc., GA",18,CO2,977.636379
