source type,source location name,source latitude (deg),source longitude (deg),destination type,destination location name,destination latitude (deg),destination longitude (deg),product,year,distance (km),shipped amount (tonne),shipped amount-distance (tonne-km),emission type,emission amount (tonne)
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,1,405.593,0.0,0.0,CO2,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,2,405.593,0.0,0.0,CO2,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,3,405.593,0.0,0.0,CO2,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,4,405.593,0.0,0.0,CO2,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,5,405.593,0.0,0.0,CO2,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,6,405.593,0.0,0.0,CO2,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,7,405.593,0.0,0.0,CO2,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,8,405.593,0.0,0.0,CO2,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,9,405.593,0.0,0.0,CO2,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,10,405.593,0.0,0.0,CO2,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,11,405.593,0.0,0.0,CO2,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,12,405.593,0.0,0.0,CO2,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,13,405.593,0.0,0.0,CO2,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,14,405.593,0.0,0.0,CO2,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,15,405.593,0.0,0.0,CO2,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,16,405.593,0.0,0.0,CO2,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,17,405.593,0.0,0.0,CO2,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,18,405.593,0.0,0.0,CO2,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,19,405.593,8169.280293,3.313402901774e6,CO2,553.338285
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,20,405.593,9652.33411,3.914919148745e6,CO2,653.791498
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,21,405.593,10466.130221,4.244989154671e6,CO2,708.913189
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,22,405.593,4636.88402,1.880687700199e6,CO2,314.074846
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,23,405.593,8401.496245,3.407588066465e6,CO2,569.067207
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,24,405.593,2392.694383,970460.092722,CO2,162.066835
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,25,405.593,0.0,0.0,CO2,0.0
Origin,"Clarendon County, South Carolina",33.666562,-80.470185,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,26,405.593,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,1,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,2,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,3,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,4,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,5,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,6,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,7,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,8,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,9,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,10,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,11,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,12,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,13,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,14,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,15,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,16,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,17,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,18,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,19,192.008,3348.078184,642857.795925,CO2,107.357252
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,20,192.008,2587.316968,496785.556458,CO2,82.963188
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,21,192.008,0.0,0.0,CO2,0.0
