plant type,location name,year,product name,amount produced (tonne),amount sent (tonne),amount disposed (tonne),disposal cost ($)
PV Recycling Plant,"Helen Of Troy L. P., TX",1,Cadmium waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",2,Cadmium waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",3,Cadmium waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",4,Cadmium waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",5,Cadmium waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",6,Cadmium waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",7,Cadmium waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",8,Cadmium waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",9,Cadmium waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",10,Cadmium waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",11,Cadmium waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",12,Cadmium waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",13,Cadmium waste,0.04484,0.0,0.04484,7.993582
PV Recycling Plant,"Helen Of Troy L. P., TX",14,Cadmium waste,0.04484,0.0,0.04484,7.993582
PV Recycling Plant,"Helen Of Troy L. P., TX",15,Cadmium waste,0.04484,0.0,0.04484,7.993582
PV Recycling Plant,"Helen Of Troy L. P., TX",16,Cadmium waste,0.04484,0.0,0.04484,7.993582
PV Recycling Plant,"Helen Of Troy L. P., TX",17,Cadmium waste,0.04484,0.0,0.04484,7.993582
PV Recycling Plant,"Helen Of Troy L. P., TX",18,Cadmium waste,0.04484,0.0,0.04484,7.993582
PV Recycling Plant,"Helen Of Troy L. P., TX",19,Cadmium waste,0.04484,0.0,0.04484,7.993582
PV Recycling Plant,"Helen Of Troy L. P., TX",20,Cadmium waste,0.04484,0.0,0.04484,7.993582
PV Recycling Plant,"Helen Of Troy L. P., TX",21,Cadmium waste,0.04484,0.0,0.04484,7.993582
