plant type,location name,year,product name,amount produced (tonne),amount sent (tonne),amount disposed (tonne),disposal cost ($)
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",1,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",2,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",3,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",4,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",5,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",6,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",7,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",8,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",9,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",10,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",11,PV Modules,133.065934,0.0,133.065934,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",12,PV Modules,132.542606,0.0,132.542606,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",13,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",14,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",15,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",16,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",17,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",18,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",19,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",20,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",21,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",22,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",23,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",24,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",25,PV Modules,0.0,0.0,0.0,0.0
