product name,location name,latitude (deg),longitude (deg),year,amount (tonne),marginal cost ($/tonne)
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,1,267669.144756052,11675.15
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,2,3348.168557889734,10056.96
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,3,5820.307927315118,10027.8
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,4,5764.29606084435,10025.08
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,5,9407.86319795027,10100.83
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,6,9295.03491136812,10096.38
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,7,5463.97581680292,9901.74
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,8,5415.572472394028,9901.7
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,9,4953.026059579001,10129.07
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,10,4928.62527538527,10129.07
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,11,16794.07717276233,10093.11
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,12,16728.028642390374,10093.11
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,13,3637.9230149708455,9901.61
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,14,3625.160449216751,9901.61
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,15,2757.2572259132635,9513.98
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,16,2748.5268202679645,9513.98
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,17,2979.80230607665,9857.18
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,18,2971.204996458097,9857.02
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,19,21868.357704914954,9846.01
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,20,21810.408472455565,9846.01
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,21,15061.080671546222,10024.04
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,22,15024.179294194159,10024.04
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,23,18042.09650546177,9834.98
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,24,18000.99053631208,9834.98
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,25,2818.396526340737,9998.7
PV Modules Materials,"Gila County, Arizona",34.183878,-111.605691,26,2812.3959665342563,9998.7
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,1,1.701589205100931e6,11718.45
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,2,281797.03059399466,10105.11
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,3,253037.5707425924,10073.32
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,4,250602.45789263363,10070.6
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,5,213907.72903601493,10149.28
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,6,211342.3385699769,10144.83
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,7,162514.9560920515,9944.59
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,8,161075.2960981092,9944.56
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,9,100345.29795823868,10177.47
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,10,99850.95289910065,10177.47
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,11,64209.41934234328,10135.96
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,12,63956.893541730846,10135.96
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,13,27638.095556268156,9944.47
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,14,27541.135557278834,9944.47
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,15,18906.748468253398,9562.6
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,16,18846.88333053241,9562.6
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,17,37647.38744196263,9902.35
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,18,37538.76740179816,9902.2
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,19,23024.662528467758,9888.86
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,20,22963.64918950718,9888.86
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,21,186237.55401149634,10072.49
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,22,185781.25061550646,10072.49
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,23,121027.42668000178,9877.84
PV Modules Materials,"San Bernardino, California",35.120104,-117.159039,24,120751.68546190843,9877.84
