source type,source location name,source latitude (deg),source longitude (deg),destination type,destination location name,destination latitude (deg),destination longitude (deg),product,year,distance (km),amount (tonne),amount-distance (tonne-km),transportation cost ($),transportation energy (GJ)
Origin,"Sacramento County, California",38.409126,-121.437007,PV Manufacturing Plant,"XP Power, LLC, CA",38.0,-121.0,PV Modules Materials,1,59.39,103954.8,6.17387582e6,595309.61,16792.94
Origin,"Sacramento County, California",38.409126,-121.437007,PV Manufacturing Plant,"XP Power, LLC, CA",38.0,-121.0,PV Modules Materials,2,59.39,12477.55,741041.55,71454.17,2015.63
Origin,"Sacramento County, California",38.409126,-121.437007,PV Manufacturing Plant,"XP Power, LLC, CA",38.0,-121.0,PV Modules Materials,3,59.39,55680.36,3.30685631e6,318860.21,8994.65
Origin,"Sacramento County, California",38.409126,-121.437007,PV Manufacturing Plant,"XP Power, LLC, CA",38.0,-121.0,PV Modules Materials,4,59.39,55144.51,3.2750327e6,315791.65,8908.09
Origin,"Sacramento County, California",38.409126,-121.437007,PV Manufacturing Plant,"XP Power, LLC, CA",38.0,-121.0,PV Modules Materials,5,59.39,103954.8,6.17387582e6,595309.61,16792.94
Origin,"Sacramento County, California",38.409126,-121.437007,PV Manufacturing Plant,"XP Power, LLC, CA",38.0,-121.0,PV Modules Materials,6,59.39,103954.8,6.17387582e6,595309.61,16792.94
Origin,"Sacramento County, California",38.409126,-121.437007,PV Manufacturing Plant,"XP Power, LLC, CA",38.0,-121.0,PV Modules Materials,7,59.39,103954.8,6.17387582e6,595309.61,16792.94
Origin,"Sacramento County, California",38.409126,-121.437007,PV Manufacturing Plant,"XP Power, LLC, CA",38.0,-121.0,PV Modules Materials,8,59.39,103954.8,6.17387582e6,595309.61,16792.94
Origin,"Sacramento County, California",38.409126,-121.437007,PV Manufacturing Plant,"XP Power, LLC, CA",38.0,-121.0,PV Modules Materials,9,59.39,103954.8,6.17387582e6,595309.61,16792.94
Origin,"Sacramento County, California",38.409126,-121.437007,PV Manufacturing Plant,"XP Power, LLC, CA",38.0,-121.0,PV Modules Materials,10,59.39,103954.8,6.17387582e6,595309.61,16792.94
