product name,location name,latitude (deg),longitude (deg),year,amount (tonne),marginal cost ($/tonne)
PV Module,"Gila County, Arizona",34.183878,-111.605691,1,1043.1919571396388,176.03
PV Module,"Gila County, Arizona",34.183878,-111.605691,2,635.1475282263033,176.03
PV Module,"Gila County, Arizona",34.183878,-111.605691,3,938.0848234518934,176.03
PV Module,"Gila County, Arizona",34.183878,-111.605691,4,1348.3910171894743,176.03
PV Module,"Gila County, Arizona",34.183878,-111.605691,5,1889.5137976371784,176.03
PV Module,"Gila County, Arizona",34.183878,-111.605691,6,2584.086656504568,176.03
PV Module,"Gila County, Arizona",34.183878,-111.605691,7,3450.609352143663,176.03
PV Module,"Gila County, Arizona",34.183878,-111.605691,8,5268.126672702451,197.37
PV Module,"Gila County, Arizona",34.183878,-111.605691,9,5650.134529034386,197.37
PV Module,"Gila County, Arizona",34.183878,-111.605691,10,33139.848755122,208.87
PV Module,"Gila County, Arizona",34.183878,-111.605691,11,30975.200561733913,208.87
PV Module,"Gila County, Arizona",34.183878,-111.605691,12,3428.3997978954376,208.87
PV Module,"Gila County, Arizona",34.183878,-111.605691,13,24442.302973552665,221.43
PV Module,"Gila County, Arizona",34.183878,-111.605691,14,4161.426687001118,221.43
PV Module,"Gila County, Arizona",34.183878,-111.605691,15,5250.590630202278,221.43
PV Module,"Gila County, Arizona",34.183878,-111.605691,16,24716.32864876948,230.6
PV Module,"Gila County, Arizona",34.183878,-111.605691,17,5534.057484583687,230.6
PV Module,"Gila County, Arizona",34.183878,-111.605691,18,6574.603793505578,230.6
PV Module,"Gila County, Arizona",34.183878,-111.605691,19,21935.180965033054,248.78
PV Module,"Gila County, Arizona",34.183878,-111.605691,20,19567.47000837299,248.78
PV Module,"Gila County, Arizona",34.183878,-111.605691,21,3896.0139332883396,248.78
PV Module,"Gila County, Arizona",34.183878,-111.605691,22,10661.669373183808,248.78
PV Module,"Gila County, Arizona",34.183878,-111.605691,23,3301.891211666294,248.78
PV Module,"Gila County, Arizona",34.183878,-111.605691,24,3598.759802654417,248.78
PV Module,"Gila County, Arizona",34.183878,-111.605691,25,7254.551004661043,266.29
PV Module,"Gila County, Arizona",34.183878,-111.605691,26,2833.5295136471173,266.29
PV Module,"San Bernardino, California",35.120104,-117.159039,1,2179.677543826088,191.46
PV Module,"San Bernardino, California",35.120104,-117.159039,2,1357.1880439458582,191.46
PV Module,"San Bernardino, California",35.120104,-117.159039,3,2048.47538206562,191.46
PV Module,"San Bernardino, California",35.120104,-117.159039,4,3018.090077604651,191.46
PV Module,"San Bernardino, California",35.120104,-117.159039,5,4346.4994174720005,192.22
PV Module,"San Bernardino, California",35.120104,-117.159039,6,6124.939539240654,192.22
PV Module,"San Bernardino, California",35.120104,-117.159039,7,8451.831186632866,196.36
PV Module,"San Bernardino, California",35.120104,-117.159039,8,44351.33118084062,225.76
PV Module,"San Bernardino, California",35.120104,-117.159039,9,11962.765992780014,225.76
PV Module,"San Bernardino, California",35.120104,-117.159039,10,33953.77918267358,236.8
PV Module,"San Bernardino, California",35.120104,-117.159039,11,36531.50192136276,236.8
PV Module,"San Bernardino, California",35.120104,-117.159039,12,22740.17797841163,236.8
PV Module,"San Bernardino, California",35.120104,-117.159039,13,159135.04709284095,251.92
PV Module,"San Bernardino, California",35.120104,-117.159039,14,27937.750899535084,251.92
PV Module,"San Bernardino, California",35.120104,-117.159039,15,35316.396908110924,251.92
PV Module,"San Bernardino, California",35.120104,-117.159039,16,161879.83471901302,261.09
PV Module,"San Bernardino, California",35.120104,-117.159039,17,38037.81170691914,261.09
PV Module,"San Bernardino, California",35.120104,-117.159039,18,45367.05128130604,261.09
PV Module,"San Bernardino, California",35.120104,-117.159039,19,151119.2694869181,279.27
PV Module,"San Bernardino, California",35.120104,-117.159039,20,135355.29464942508,279.27
PV Module,"San Bernardino, California",35.120104,-117.159039,21,28509.122892938656,279.27
PV Module,"San Bernardino, California",35.120104,-117.159039,22,71386.83827449061,279.27
PV Module,"San Bernardino, California",35.120104,-117.159039,23,27922.367507504576,279.27
PV Module,"San Bernardino, California",35.120104,-117.159039,24,31786.545225850336,279.27
PV Module,"San Bernardino, California",35.120104,-117.159039,25,56678.166090033934,296.88
PV Module,"San Bernardino, California",35.120104,-117.159039,26,32524.214888802097,296.88
PV Module,"Sac County, Iowa",42.419352,-95.026345,1,0.5850675633285305,198.34
PV Module,"Sac County, Iowa",42.419352,-95.026345,2,0.5325995531861866,198.34
PV Module,"Sac County, Iowa",42.419352,-95.026345,3,0.9194671860963514,198.34
PV Module,"Sac County, Iowa",42.419352,-95.026345,4,1.5263403108065692,198.34
PV Module,"Sac County, Iowa",42.419352,-95.026345,5,2.4474093962970276,198.34
PV Module,"Sac County, Iowa",42.419352,-95.026345,6,3.8044320363742856,198.34
PV Module,"Sac County, Iowa",42.419352,-95.026345,7,5.750158857878808,198.34
PV Module,"Sac County, Iowa",42.419352,-95.026345,8,8.470109862458127,198.34
PV Module,"Sac County, Iowa",42.419352,-95.026345,9,12.181248370432453,198.34
