plant type,location name,year,emission type,emission amount (tonne)
PV Recycling Plant,"Glen Lyn, Virginia",1,CO2,0.13
PV Recycling Plant,"Glen Lyn, Virginia",2,CO2,0.12
PV Recycling Plant,"Glen Lyn, Virginia",3,CO2,0.2
PV Recycling Plant,"Glen Lyn, Virginia",4,CO2,0.34
PV Recycling Plant,"Glen Lyn, Virginia",5,CO2,0.54
PV Recycling Plant,"Glen Lyn, Virginia",6,CO2,0.84
PV Recycling Plant,"Glen Lyn, Virginia",7,CO2,1.27
PV Recycling Plant,"Glen Lyn, Virginia",8,CO2,1.86
PV Recycling Plant,"Glen Lyn, Virginia",9,CO2,2.67
PV Recycling Plant,"Glen Lyn, Virginia",10,CO2,3.76
PV Recycling Plant,"Glen Lyn, Virginia",11,CO2,5.18
PV Recycling Plant,"Glen Lyn, Virginia",12,CO2,7.0
PV Recycling Plant,"Glen Lyn, Virginia",13,CO2,46.78
PV Recycling Plant,"Glen Lyn, Virginia",14,CO2,9.23
PV Recycling Plant,"Glen Lyn, Virginia",15,CO2,12.02
PV Recycling Plant,"Glen Lyn, Virginia",16,CO2,49.63
PV Recycling Plant,"Glen Lyn, Virginia",17,CO2,15.15
PV Recycling Plant,"Glen Lyn, Virginia",18,CO2,19.23
PV Recycling Plant,"Glen Lyn, Virginia",19,CO2,3342.66
PV Recycling Plant,"Glen Lyn, Virginia",20,CO2,2819.37
PV Recycling Plant,"Glen Lyn, Virginia",21,CO2,3709.8
PV Recycling Plant,"Glen Lyn, Virginia",22,CO2,3910.55
PV Recycling Plant,"Glen Lyn, Virginia",23,CO2,4068.35
PV Recycling Plant,"Glen Lyn, Virginia",24,CO2,3752.74
PV Recycling Plant,"Glen Lyn, Virginia",25,CO2,3910.55
PV Recycling Plant,"Glen Lyn, Virginia",26,CO2,3910.55
PV Recycling Plant,"San Juan, New Mexico",1,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",2,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",3,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",4,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",5,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",6,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",7,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",8,CO2,7198.14
PV Recycling Plant,"San Juan, New Mexico",9,CO2,622.95
PV Recycling Plant,"San Juan, New Mexico",10,CO2,3910.55
PV Recycling Plant,"San Juan, New Mexico",11,CO2,3910.55
PV Recycling Plant,"San Juan, New Mexico",12,CO2,3910.55
PV Recycling Plant,"San Juan, New Mexico",13,CO2,9181.1
PV Recycling Plant,"San Juan, New Mexico",14,CO2,841.6
PV Recycling Plant,"San Juan, New Mexico",15,CO2,1708.94
PV Recycling Plant,"San Juan, New Mexico",16,CO2,8681.96
PV Recycling Plant,"San Juan, New Mexico",17,CO2,283.75
PV Recycling Plant,"San Juan, New Mexico",18,CO2,2765.92
PV Recycling Plant,"San Juan, New Mexico",19,CO2,9226.74
PV Recycling Plant,"San Juan, New Mexico",20,CO2,7587.7
PV Recycling Plant,"San Juan, New Mexico",21,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",22,CO2,1799.98
PV Recycling Plant,"San Juan, New Mexico",23,CO2,1168.13
PV Recycling Plant,"San Juan, New Mexico",24,CO2,3680.72
PV Recycling Plant,"San Juan, New Mexico",25,CO2,5602.12
PV Recycling Plant,"San Juan, New Mexico",26,CO2,2218.97
PV Recycling Plant,"St Johns River Power Park, Florida",1,CO2,0.0
