name,latitude (deg),longitude (deg),area cost factor
"Union, New Mexico",36.9733,-103.3038,0.66
"Culpeper, Virginia",38.4539,-78.0237,0.81
"Lassen, California",40.3759,-120.5172,1.0
"Somerset, Maryland",38.2036,-75.6996,0.81
"Smith, Texas",32.3675,-95.4382,0.57
"Los Angeles, California",34.0827,-118.2251,1.0
"Cedar, Missouri",37.6989,-93.7949,0.71
"Riverside, California",33.7479,-116.8797,1.0
"Hamilton, Indiana",39.9784,-86.1127,0.71
"Scott, Missouri",36.8789,-89.5799,0.71
"Sumter, South Carolina",33.9645,-80.4538,0.67
"Pike, Ohio",39.0505,-83.051,0.71
"Cimarron, Oklahoma",36.7625,-102.3202,0.62
"Caledonia, Vermont",44.418,-72.017,0.88
"Medina, Ohio",41.1385,-81.8334,0.71
"Houghton, Michigan",47.1196,-88.5842,0.71
"McIntosh, Oklahoma",35.304,-95.5927,0.62
"Okaloosa, Florida",30.4593,-86.5678,0.57
"Caddo, Louisiana",32.4807,-93.78,0.57
"Delta, Michigan",45.7254,-86.6414,0.71
"Walsh, North Dakota",48.4927,-97.8621,0.71
"Chippewa, Wisconsin",45.1349,-91.5212,0.71
"Curry, New Mexico",34.3977,-103.2205,0.66
"Erie, Ohio",41.4464,-82.7298,0.71
"Big Horn, Wyoming",44.803,-107.8281,0.66
"Wayne, Michigan",42.3401,-83.3501,0.71
"Carson, Texas",35.3376,-101.3817,0.57
"Windham, Connecticut",41.7153,-72.1982,0.88
"Franklin, New York",44.8961,-74.2901,0.81
"Nevada, California",39.024,-121.0992,1.0
"Putnam, New York",41.3637,-73.5726,0.81
"Stearns, Minnesota",45.4517,-94.9869,0.71
"Ada, Idaho",43.6153,-116.2073,0.66
"Twiggs, Georgia",32.7587,-83.554,0.67
"Van Wert, Ohio",40.7457,-84.7896,0.71
"Franklin, Virginia",37.0012,-79.8901,0.81
"Hidalgo, Texas",26.3084,-98.1612,0.57
"Erie, Pennsylvania",42.1402,-79.9234,0.81
"Johnson, Wyoming",44.0777,-106.6337,0.66
"Nowata, Oklahoma",36.6775,-95.6369,0.62
"Spokane, Washington",47.621,-117.4349,1.0
"Pulaski, Arkansas",34.8867,-92.1064,0.57
"McKinley, New Mexico",35.4033,-108.2583,0.66
"Macon, North Carolina",35.1666,-83.3909,0.67
"Cheboygan, Michigan",45.7436,-84.7284,0.71
"Hocking, Ohio",39.5386,-82.4418,0.71
"Dewey, South Dakota",45.3856,-101.47,0.71
"Fresno, California",36.4219,-119.8031,1.0
"Essex, Massachusetts",42.4495,-70.9805,0.88
"Douglas, Nebraska",41.2618,-96.2919,0.71
"Oklahoma, Oklahoma",35.4393,-97.5115,0.62
"Kern, California",35.2637,-118.6299,1.0
"Barren, Kentucky",36.995,-85.9124,0.57
"Meagher, Montana",46.5482,-110.8964,0.66
"Lancaster, South Carolina",34.941,-80.8384,0.67
