plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
Storage Facility,"Washington, , District of Columbia",1,38.9047,-77.0163,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Washington, , District of Columbia",2,38.9047,-77.0163,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Washington, , District of Columbia",3,38.9047,-77.0163,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Washington, , District of Columbia",4,38.9047,-77.0163,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Washington, , District of Columbia",5,38.9047,-77.0163,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Washington, , District of Columbia",6,38.9047,-77.0163,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Washington, , District of Columbia",7,38.9047,-77.0163,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Washington, , District of Columbia",8,38.9047,-77.0163,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Washington, , District of Columbia",9,38.9047,-77.0163,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Washington, , District of Columbia",10,38.9047,-77.0163,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Washington, , District of Columbia",11,38.9047,-77.0163,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Washington, , District of Columbia",12,38.9047,-77.0163,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Washington, , District of Columbia",13,38.9047,-77.0163,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,294513.2,0.0,0.0,294513.2
Storage Facility,"Washington, , District of Columbia",14,38.9047,-77.0163,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,294513.2,0.0,0.0,294513.2
Storage Facility,"Washington, , District of Columbia",15,38.9047,-77.0163,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,294513.2,0.0,0.0,294513.2
Storage Facility,"Washington, , District of Columbia",16,38.9047,-77.0163,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,294513.2,0.0,0.0,294513.2
Storage Facility,"Washington, , District of Columbia",17,38.9047,-77.0163,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,294513.2,0.0,0.0,294513.2
Storage Facility,"Washington, , District of Columbia",18,38.9047,-77.0163,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,294513.2,0.0,0.0,294513.2
Storage Facility,"Washington, , District of Columbia",19,38.9047,-77.0163,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,294513.2,0.0,0.0,294513.2
Storage Facility,"Washington, , District of Columbia",20,38.9047,-77.0163,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,294513.2,0.0,0.0,294513.2
Storage Facility,"Washington, , District of Columbia",21,38.9047,-77.0163,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,294513.2,0.0,0.0,294513.2
Storage Facility,"Washington, , District of Columbia",22,38.9047,-77.0163,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,294513.2,0.0,0.0,294513.2
Storage Facility,"Washington, , District of Columbia",23,38.9047,-77.0163,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,294513.2,0.0,0.0,294513.2
Storage Facility,"Washington, , District of Columbia",24,38.9047,-77.0163,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,294513.2,0.0,0.0,294513.2
Storage Facility,"Washington, , District of Columbia",25,38.9047,-77.0163,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,294513.2,0.0,0.0,294513.2
Storage Facility,"Washington, , District of Columbia",26,38.9047,-77.0163,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,294513.2,0.0,0.0,294513.2
Storage Facility,"Minneapolis, Hennepin County, Minnesota",1,44.9635,-93.2678,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Minneapolis, Hennepin County, Minnesota",2,44.9635,-93.2678,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Minneapolis, Hennepin County, Minnesota",3,44.9635,-93.2678,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Minneapolis, Hennepin County, Minnesota",4,44.9635,-93.2678,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Minneapolis, Hennepin County, Minnesota",5,44.9635,-93.2678,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Minneapolis, Hennepin County, Minnesota",6,44.9635,-93.2678,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Minneapolis, Hennepin County, Minnesota",7,44.9635,-93.2678,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Minneapolis, Hennepin County, Minnesota",8,44.9635,-93.2678,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Minneapolis, Hennepin County, Minnesota",9,44.9635,-93.2678,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Minneapolis, Hennepin County, Minnesota",10,44.9635,-93.2678,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Minneapolis, Hennepin County, Minnesota",11,44.9635,-93.2678,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Minneapolis, Hennepin County, Minnesota",12,44.9635,-93.2678,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Minneapolis, Hennepin County, Minnesota",13,44.9635,-93.2678,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Minneapolis, Hennepin County, Minnesota",14,44.9635,-93.2678,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Minneapolis, Hennepin County, Minnesota",15,44.9635,-93.2678,0.0,-0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Storage Facility,"Minneapolis, Hennepin County, Minnesota",16,44.9635,-93.2678,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,308672.49,0.0,0.0,308672.49
Storage Facility,"Minneapolis, Hennepin County, Minnesota",17,44.9635,-93.2678,4500.0,3459.91,3459.91,0.0,76.89,1.1,0.0,0.0,308672.49,0.0,0.0,308672.49
Storage Facility,"Minneapolis, Hennepin County, Minnesota",18,44.9635,-93.2678,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,308672.49,0.0,0.0,308672.49
Storage Facility,"Minneapolis, Hennepin County, Minnesota",19,44.9635,-93.2678,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,308672.49,0.0,0.0,308672.49
Storage Facility,"Minneapolis, Hennepin County, Minnesota",20,44.9635,-93.2678,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,308672.49,0.0,0.0,308672.49
Storage Facility,"Minneapolis, Hennepin County, Minnesota",21,44.9635,-93.2678,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,308672.49,0.0,0.0,308672.49
Storage Facility,"Minneapolis, Hennepin County, Minnesota",22,44.9635,-93.2678,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,308672.49,0.0,0.0,308672.49
Storage Facility,"Minneapolis, Hennepin County, Minnesota",23,44.9635,-93.2678,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,308672.49,0.0,0.0,308672.49
Storage Facility,"Minneapolis, Hennepin County, Minnesota",24,44.9635,-93.2678,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,308672.49,0.0,0.0,308672.49
Storage Facility,"Minneapolis, Hennepin County, Minnesota",25,44.9635,-93.2678,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,308672.49,0.0,0.0,308672.49
Storage Facility,"Minneapolis, Hennepin County, Minnesota",26,44.9635,-93.2678,4500.0,4500.0,4500.0,0.0,100.0,1.44,0.0,0.0,308672.49,0.0,0.0,308672.49
