plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",1,41.0886,-85.1437,0.0,0.0,337.6,337.6,NaN,295.73,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",2,41.0886,-85.1437,0.0,0.0,220.02,557.61,NaN,192.73,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",3,41.0886,-85.1437,0.0,0.0,337.89,895.5,NaN,295.98,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",4,41.0886,-85.1437,0.0,0.0,506.55,1402.05,NaN,443.72,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",5,41.0886,-85.1437,0.0,0.0,742.47,2144.52,NaN,650.38,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",6,41.0886,-85.1437,0.0,0.0,1065.24,3209.75,NaN,933.11,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",7,41.0886,-85.1437,0.0,0.0,1497.38,4707.13,NaN,1311.66,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",8,41.0886,-85.1437,3597.94,3597.94,3210.79,4319.99,100.0,2812.56,0.0,7.56869837e6,204986.86,1.4459884e6,0.0,9.21967363e6
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",9,41.0886,-85.1437,7000.0,7000.0,2680.01,0.0,100.0,2347.61,0.0,7.15665189e6,398814.06,2.81325594e6,0.0,1.036872189e7
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",10,41.0886,-85.1437,7000.0,7000.0,8268.89,1268.89,100.0,7243.3,0.0,0.0,398814.06,2.81325594e6,0.0,3.21207e6
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",11,41.0886,-85.1437,7000.0,7000.0,9440.57,3709.45,100.0,8269.65,0.0,0.0,398814.06,2.81325594e6,0.0,3.21207e6
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",12,41.0886,-85.1437,7000.0,7000.0,3290.55,0.0,100.0,2882.42,0.0,0.0,398814.06,2.81325594e6,0.0,3.21207e6
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",13,41.0886,-85.1437,7000.0,7000.0,9754.15,2754.15,100.0,8544.34,0.0,0.0,398814.06,2.81325594e6,0.0,3.21207e6
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",14,41.0886,-85.1437,7000.0,7000.0,4867.17,621.32,100.0,4263.5,0.0,0.0,398814.06,2.81325594e6,0.0,3.21207e6
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",15,41.0886,-85.1437,7000.0,7000.0,6378.68,0.0,100.0,5587.53,0.0,0.0,398814.06,2.81325594e6,0.0,3.21207e6
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",16,41.0886,-85.1437,7000.0,7000.0,10319.14,3319.14,100.0,9039.26,0.0,0.0,398814.06,2.81325594e6,0.0,3.21207e6
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",17,41.0886,-85.1437,7000.0,7000.0,3680.86,0.0,100.0,3224.32,0.0,0.0,398814.06,2.81325594e6,0.0,3.21207e6
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",18,41.0886,-85.1437,7000.0,7000.0,7000.0,0.0,100.0,6131.79,0.0,0.0,398814.06,2.81325594e6,0.0,3.21207e6
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",19,41.0886,-85.1437,7000.0,7000.0,7000.0,0.0,100.0,6131.79,0.0,0.0,398814.06,2.81325594e6,0.0,3.21207e6
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",20,41.0886,-85.1437,7000.0,7000.0,7000.0,0.0,100.0,6131.79,0.0,0.0,398814.06,2.81325594e6,0.0,3.21207e6
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",21,41.0886,-85.1437,7000.0,7000.0,7000.0,0.0,100.0,6131.79,0.0,0.0,398814.06,2.81325594e6,0.0,3.21207e6
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",22,41.0886,-85.1437,7000.0,7000.0,15532.56,8532.56,100.0,13606.06,0.0,0.0,398814.06,2.81325594e6,0.0,3.21207e6
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",23,41.0886,-85.1437,7000.0,7000.0,2290.39,3822.95,100.0,2006.32,0.0,0.0,398814.06,2.81325594e6,0.0,3.21207e6
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",24,41.0886,-85.1437,7000.0,7000.0,3177.05,0.0,100.0,2783.0,0.0,0.0,398814.06,2.81325594e6,0.0,3.21207e6
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",25,41.0886,-85.1437,7000.0,7000.0,7000.0,0.0,100.0,6131.79,0.0,0.0,398814.06,2.81325594e6,0.0,3.21207e6
PV Recycling Plant,"Fort Wayne, Allen County, Indiana",26,41.0886,-85.1437,7000.0,7000.0,7000.0,0.0,100.0,6131.79,0.0,0.0,398814.06,2.81325594e6,0.0,3.21207e6
PV Recycling Plant,"Cape Coral, Lee County, Florida",1,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",2,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",3,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",4,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",5,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",6,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",7,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",8,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",9,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",10,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",11,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",12,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",13,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",14,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",15,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",16,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",17,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",18,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",19,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",20,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",21,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",22,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",23,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",24,26.6446,-81.9956,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Cape Coral, Lee County, Florida",25,26.6446,-81.9956,7000.0,7000.0,7000.0,0.0,100.0,6131.79,0.0,1.404832264e7,380477.78,2.68391084e6,0.0,1.711271126e7
PV Recycling Plant,"Cape Coral, Lee County, Florida",26,26.6446,-81.9956,7000.0,7000.0,7000.0,0.0,100.0,6131.79,0.0,0.0,380477.78,2.68391084e6,0.0,3.06438862e6
PV Recycling Plant,"Denton, Denton County, Texas",1,33.2176,-97.1419,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Denton, Denton County, Texas",2,33.2176,-97.1419,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Denton, Denton County, Texas",3,33.2176,-97.1419,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Denton, Denton County, Texas",4,33.2176,-97.1419,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Denton, Denton County, Texas",5,33.2176,-97.1419,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Denton, Denton County, Texas",6,33.2176,-97.1419,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Denton, Denton County, Texas",7,33.2176,-97.1419,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Denton, Denton County, Texas",8,33.2176,-97.1419,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Denton, Denton County, Texas",9,33.2176,-97.1419,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Denton, Denton County, Texas",10,33.2176,-97.1419,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Denton, Denton County, Texas",11,33.2176,-97.1419,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Denton, Denton County, Texas",12,33.2176,-97.1419,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Denton, Denton County, Texas",13,33.2176,-97.1419,0.0,0.0,4712.6,4712.6,NaN,4128.09,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Denton, Denton County, Texas",14,33.2176,-97.1419,0.0,0.0,740.85,5453.44,NaN,648.96,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Denton, Denton County, Texas",15,33.2176,-97.1419,6393.05,6393.05,939.61,0.0,100.0,823.07,0.0,1.344856555e7,364234.26,2.56932815e6,0.0,1.638212796e7
PV Recycling Plant,"Denton, Denton County, Texas",16,33.2176,-97.1419,7000.0,7000.0,18853.84,11853.84,100.0,16515.4,0.0,1.2767847e6,398814.06,2.81325594e6,0.0,4.4888547e6
