source type,source location name,source latitude (deg),source longitude (deg),destination type,destination location name,destination latitude (deg),destination longitude (deg),product,year,distance (km),amount (tonne),amount-distance (tonne-km),transportation cost ($),transportation energy (GJ)
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,1,29.09,0.0,0.0,0.0,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,2,29.09,0.0,0.0,0.0,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,3,29.09,0.0,0.0,0.0,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,4,29.09,0.0,0.0,0.0,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,5,29.09,0.0,0.0,0.0,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,6,29.09,0.0,0.0,0.0,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,7,29.09,0.0,0.0,0.0,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,8,29.09,0.0,0.0,0.0,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,9,29.09,0.0,0.0,0.0,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,10,29.09,0.0,0.0,0.0,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,11,29.09,0.0,0.0,0.0,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,12,29.09,0.0,0.0,0.0,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,13,29.09,0.0,0.0,0.0,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,14,29.09,0.0,0.0,0.0,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,15,29.09,0.0,0.0,0.0,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,16,29.09,0.0,0.0,0.0,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,17,29.09,0.0,0.0,0.0,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,18,29.09,0.0,0.0,0.0,0.0
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,19,29.09,9476.3,275665.58,26580.77,749.81
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,20,29.09,4523.7,131594.42,12688.86,357.94
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,21,29.09,7000.0,203630.0,19634.81,553.87
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,22,29.09,7650.7,222559.01,21460.02,605.36
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,23,29.09,6349.3,184700.99,17809.6,502.39
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,24,29.09,7000.0,203630.0,19634.81,553.87
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,25,29.09,7000.0,203630.0,19634.81,553.87
Origin,"Anne Arundel County, Maryland",39.077259,-76.763675,PV Recycling Plant,"Washington, , District of Columbia",38.9047,-77.0163,PV Module,26,29.09,7000.0,203630.0,19634.81,553.87
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling Plant,"Minneapolis, Hennepin County, Minnesota",44.9635,-93.2678,PV Module,1,280.26,0.0,0.0,0.0,0.0
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling Plant,"Minneapolis, Hennepin County, Minnesota",44.9635,-93.2678,PV Module,2,280.26,0.0,0.0,0.0,0.0
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling Plant,"Minneapolis, Hennepin County, Minnesota",44.9635,-93.2678,PV Module,3,280.26,0.0,0.0,0.0,0.0
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling Plant,"Minneapolis, Hennepin County, Minnesota",44.9635,-93.2678,PV Module,4,280.26,0.0,0.0,0.0,0.0
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling Plant,"Minneapolis, Hennepin County, Minnesota",44.9635,-93.2678,PV Module,5,280.26,0.0,0.0,0.0,0.0
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling Plant,"Minneapolis, Hennepin County, Minnesota",44.9635,-93.2678,PV Module,6,280.26,0.0,0.0,0.0,0.0
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling Plant,"Minneapolis, Hennepin County, Minnesota",44.9635,-93.2678,PV Module,7,280.26,0.0,0.0,0.0,0.0
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling Plant,"Minneapolis, Hennepin County, Minnesota",44.9635,-93.2678,PV Module,8,280.26,0.0,0.0,0.0,0.0
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling Plant,"Minneapolis, Hennepin County, Minnesota",44.9635,-93.2678,PV Module,9,280.26,0.0,0.0,0.0,0.0
Origin,"Richland County, Wisconsin",43.415603,-90.499373,PV Recycling Plant,"Minneapolis, Hennepin County, Minnesota",44.9635,-93.2678,PV Module,10,280.26,0.0,0.0,0.0,0.0
