source type,source location name,source latitude (deg),source longitude (deg),destination type,destination location name,destination latitude (deg),destination longitude (deg),product,year,distance (km),amount (tonne),amount-distance (tonne-km),transportation cost ($),transportation energy (GJ)
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,1,2085.08,267669.14,5.5811158035e8,5.38153332e7,1.5180635e6
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,2,2085.08,3348.17,6.9811993e6,673154.94,18988.86
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,3,2085.08,5820.31,1.213580765e7,1.17018273e6,33009.4
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,4,2085.08,5764.3,1.201901843e7,1.15892145e6,32691.73
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,5,2085.08,9407.86,1.96161474e7,1.89146677e6,53355.92
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,6,2085.08,9295.03,1.938089139e7,1.86878245e6,52716.02
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,7,2085.08,5463.98,1.13928267e7,1.09854156e6,30988.49
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,8,2085.08,5415.57,1.129190185e7,1.08880998e6,30713.97
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,9,2085.08,4953.03,1.032745558e7,995814.25,28090.68
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,10,2085.08,4928.63,1.027657799e7,990908.43,27952.29
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,11,2085.08,16794.08,3.501699443e7,3.37647755e6,95246.22
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,12,2085.08,16728.03,3.487927796e7,3.36319838e6,94871.64
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,13,2085.08,3637.92,7.58536052e6,731410.56,20632.18
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,14,2085.08,3625.16,7.55874955e6,728844.63,20559.8
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,15,2085.08,2757.26,5.7491019e6,554351.22,15637.56
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,16,2085.08,2748.53,5.7308983e6,552595.95,15588.04
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,17,2085.08,2979.8,6.21312619e6,599094.28,16899.7
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,18,2085.08,2971.2,6.19520011e6,597365.78,16850.94
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,19,2085.08,21868.36,4.559727528e7,4.39667022e6,124024.59
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,20,2085.08,21810.41,4.54764465e7,4.38501943e6,123695.93
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,21,2085.08,15061.08,3.140355809e7,3.02805568e6,85417.68
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,22,2085.08,15024.18,3.132661576e7,3.0206366e6,85208.39
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,23,2085.08,18042.1,3.761921458e7,3.62739395e6,102324.26
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,24,2085.08,18000.99,3.753350535e7,3.61912952e6,102091.13
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,25,2085.08,2818.4,5.87658223e6,566643.38,15984.3
Origin,"Gila County, Arizona",34.183878,-111.605691,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,26,2085.08,2812.4,5.86407058e6,565436.95,15950.27
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,1,2589.29,1.70158921e6,4.40590791288e9,4.2483512392e8,1.198406952e7
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,2,2589.29,281797.03,7.2965423335e8,7.03561565e7,1.98465951e6
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,3,2589.29,253037.57,6.5518765155e8,6.317579319e7,1.78211041e6
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,4,2589.29,250602.46,6.488824382e8,6.25678195e7,1.76496023e6
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,5,2589.29,213907.73,5.5386914372e8,5.340626063e7,1.50652407e6
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,6,2589.29,211342.34,5.4722660384e8,5.276576058e7,1.48845636e6
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,7,2589.29,162514.96,4.2079835066e8,4.057504673e7,1.14457151e6
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,8,2589.29,161075.3,4.1707065343e8,4.021560737e7,1.13443218e6
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,9,2589.29,100345.3,2.5982307655e8,2.505317204e7,706718.77
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,10,2589.29,99850.95,2.5854307383e8,2.49297491e7,703237.16
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,11,2589.29,64209.42,1.6625680741e8,1.603114109e7,452218.52
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,12,2589.29,63956.89,1.6560294488e8,1.596809307e7,450440.01
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,13,2589.29,27638.1,7.156304444e7,6.90039271e6,194651.48
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,14,2589.29,27541.14,7.131198689e7,6.87618475e6,193968.6
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,15,2589.29,18906.75,4.895505474e7,4.72044064e6,133157.75
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,16,2589.29,18846.88,4.880004654e7,4.70549413e6,132736.13
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,17,2589.29,37647.39,9.748000383e7,9.39940878e6,265145.61
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,18,2589.29,37538.77,9.719875505e7,9.37228965e6,264380.61
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,19,2589.29,23024.66,5.961752844e7,5.74855866e6,162159.68
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,20,2589.29,22963.65,5.945954721e7,5.73332548e6,161729.97
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,21,2589.29,186237.55,4.8222303623e8,4.649785865e7,1.31164666e6
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,22,2589.29,185781.25,4.8104153441e8,4.638393355e7,1.30843297e6
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,23,2589.29,121027.43,3.1337510563e8,3.021687118e7,852380.29
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,24,2589.29,120751.69,3.1266113165e8,3.014802698e7,850438.28
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,25,2589.29,44374.37,1.1489809992e8,1.107893072e7,312522.83
Origin,"San Bernardino, California",35.120104,-117.159039,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,26,2589.29,44279.89,1.1465347397e8,1.105534291e7,311857.45
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,1,1335.94,2684.29,3.58605533e6,345781.68,9754.07
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,2,1335.94,401.99,537039.73,51783.5,1460.75
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,3,1335.94,297.87,397942.39,38371.18,1082.4
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,4,1335.94,295.01,394112.79,38001.92,1071.99
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,5,1335.94,74795.49,9.992229061e7,9.63490376e6,271788.63
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,6,1335.94,73898.47,9.872392488e7,9.51935258e6,268529.08
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,7,1335.94,594.17,793771.71,76538.62,2159.06
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,8,1335.94,588.9,786739.98,75860.59,2139.93
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,9,1335.94,13424.62,1.793448443e7,1.72931415e6,48781.8
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,10,1335.94,13358.48,1.784613128e7,1.72079479e6,48541.48
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,11,1335.94,745.9,996473.48,96083.93,2710.41
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,12,1335.94,742.96,992554.51,95706.04,2699.75
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,13,1335.94,822.18,1.09838202e6,105910.35,2987.6
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,14,1335.94,819.29,1.09452868e6,105538.8,2977.12
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,15,1335.94,851.12,1.13704886e6,109638.76,3092.77
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,16,1335.94,848.43,1.13344858e6,109291.61,3082.98
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,17,1335.94,883.96,1.18092068e6,113869.06,3212.1
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,18,1335.94,881.41,1.17751349e6,113540.52,3202.84
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,19,1335.94,47235.62,6.310395964e7,6.08473419e6,171642.77
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,20,1335.94,47110.45,6.293673967e7,6.06861018e6,171187.93
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"R D Morrow, Mississippi",31.197586,-89.506369,PV Modules Materials,21,1335.94,337.92,451440.3,43529.67,1227.92
