plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Recycling Plant,"Glen Lyn, Virginia",1,37.318072,-80.698321,7000.0,0.0,0.0,0.0,0.0,0.0,1.668441296e7,0.0,451872.34,0.0,0.0,1.71362853e7
PV Recycling Plant,"Glen Lyn, Virginia",2,37.318072,-80.698321,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451872.34,0.0,0.0,451872.34
PV Recycling Plant,"Glen Lyn, Virginia",3,37.318072,-80.698321,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451872.34,0.0,0.0,451872.34
PV Recycling Plant,"Glen Lyn, Virginia",4,37.318072,-80.698321,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451872.34,0.0,0.0,451872.34
PV Recycling Plant,"Glen Lyn, Virginia",5,37.318072,-80.698321,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451872.34,0.0,0.0,451872.34
PV Recycling Plant,"Glen Lyn, Virginia",6,37.318072,-80.698321,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451872.34,0.0,0.0,451872.34
PV Recycling Plant,"Glen Lyn, Virginia",7,37.318072,-80.698321,7000.0,0.0,4.53,4.53,0.0,3.97,0.0,0.0,451872.34,0.0,0.0,451872.34
PV Recycling Plant,"Glen Lyn, Virginia",8,37.318072,-80.698321,7000.0,0.0,6.66,11.19,0.0,5.84,0.0,0.0,451872.34,0.0,0.0,451872.34
PV Recycling Plant,"Glen Lyn, Virginia",9,37.318072,-80.698321,7000.0,0.0,9.58,20.77,0.0,8.39,0.0,0.0,451872.34,0.0,0.0,451872.34
PV Recycling Plant,"Glen Lyn, Virginia",10,37.318072,-80.698321,7000.0,0.0,21.88,42.65,0.0,19.17,0.0,0.0,451872.34,0.0,0.0,451872.34
PV Recycling Plant,"Glen Lyn, Virginia",11,37.318072,-80.698321,7000.0,0.0,30.17,72.83,0.0,26.43,0.0,0.0,451872.34,0.0,0.0,451872.34
PV Recycling Plant,"Glen Lyn, Virginia",12,37.318072,-80.698321,7000.0,113.58,40.75,0.0,1.62,35.7,0.0,0.0,451872.34,51719.74,0.0,503592.08
PV Recycling Plant,"Glen Lyn, Virginia",13,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,0.0,0.0,451872.34,3.18753191e6,0.0,3.63940425e6
PV Recycling Plant,"Glen Lyn, Virginia",14,37.318072,-80.698321,7000.0,2411.82,2411.82,0.0,34.45,2112.69,0.0,0.0,451872.34,1.09825245e6,0.0,1.55012479e6
PV Recycling Plant,"Glen Lyn, Virginia",15,37.318072,-80.698321,7000.0,3506.73,3506.73,0.0,50.1,3071.79,0.0,0.0,451872.34,1.59682853e6,0.0,2.04870087e6
PV Recycling Plant,"Glen Lyn, Virginia",16,37.318072,-80.698321,7000.0,7000.0,10731.6,3731.6,100.0,9400.56,0.0,0.0,451872.34,3.18753191e6,0.0,3.63940425e6
PV Recycling Plant,"Glen Lyn, Virginia",17,37.318072,-80.698321,7000.0,7000.0,3268.4,0.0,100.0,2863.02,0.0,0.0,451872.34,3.18753191e6,0.0,3.63940425e6
PV Recycling Plant,"Glen Lyn, Virginia",18,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,0.0,0.0,451872.34,3.18753191e6,0.0,3.63940425e6
PV Recycling Plant,"Glen Lyn, Virginia",19,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,0.0,0.0,451872.34,3.18753191e6,0.0,3.63940425e6
PV Recycling Plant,"Glen Lyn, Virginia",20,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,0.0,0.0,451872.34,3.18753191e6,0.0,3.63940425e6
PV Recycling Plant,"Glen Lyn, Virginia",21,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,0.0,0.0,451872.34,3.18753191e6,0.0,3.63940425e6
PV Recycling Plant,"Glen Lyn, Virginia",22,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,0.0,0.0,451872.34,3.18753191e6,0.0,3.63940425e6
PV Recycling Plant,"Glen Lyn, Virginia",23,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,0.0,0.0,451872.34,3.18753191e6,0.0,3.63940425e6
PV Recycling Plant,"Glen Lyn, Virginia",24,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,0.0,0.0,451872.34,3.18753191e6,0.0,3.63940425e6
PV Recycling Plant,"Glen Lyn, Virginia",25,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,0.0,0.0,451872.34,3.18753191e6,0.0,3.63940425e6
PV Recycling Plant,"Glen Lyn, Virginia",26,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,0.0,0.0,451872.34,3.18753191e6,0.0,3.63940425e6
PV Recycling Plant,"H B Robinson, South Carolina",1,34.332185,-79.962115,7000.0,0.0,0.0,0.0,0.0,0.0,1.790522367e7,0.0,484936.17,0.0,0.0,1.839015984e7
PV Recycling Plant,"H B Robinson, South Carolina",2,34.332185,-79.962115,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484936.17,0.0,0.0,484936.17
PV Recycling Plant,"H B Robinson, South Carolina",3,34.332185,-79.962115,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484936.17,0.0,0.0,484936.17
PV Recycling Plant,"H B Robinson, South Carolina",4,34.332185,-79.962115,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484936.17,0.0,0.0,484936.17
PV Recycling Plant,"H B Robinson, South Carolina",5,34.332185,-79.962115,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484936.17,0.0,0.0,484936.17
PV Recycling Plant,"H B Robinson, South Carolina",6,34.332185,-79.962115,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484936.17,0.0,0.0,484936.17
PV Recycling Plant,"H B Robinson, South Carolina",7,34.332185,-79.962115,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484936.17,0.0,0.0,484936.17
PV Recycling Plant,"H B Robinson, South Carolina",8,34.332185,-79.962115,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484936.17,0.0,0.0,484936.17
PV Recycling Plant,"H B Robinson, South Carolina",9,34.332185,-79.962115,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484936.17,0.0,0.0,484936.17
PV Recycling Plant,"H B Robinson, South Carolina",10,34.332185,-79.962115,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484936.17,0.0,0.0,484936.17
PV Recycling Plant,"H B Robinson, South Carolina",11,34.332185,-79.962115,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484936.17,0.0,0.0,484936.17
PV Recycling Plant,"H B Robinson, South Carolina",12,34.332185,-79.962115,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484936.17,0.0,0.0,484936.17
PV Recycling Plant,"H B Robinson, South Carolina",13,34.332185,-79.962115,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484936.17,0.0,0.0,484936.17
PV Recycling Plant,"H B Robinson, South Carolina",14,34.332185,-79.962115,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484936.17,0.0,0.0,484936.17
PV Recycling Plant,"H B Robinson, South Carolina",15,34.332185,-79.962115,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484936.17,0.0,0.0,484936.17
PV Recycling Plant,"H B Robinson, South Carolina",16,34.332185,-79.962115,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484936.17,0.0,0.0,484936.17
PV Recycling Plant,"H B Robinson, South Carolina",17,34.332185,-79.962115,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484936.17,0.0,0.0,484936.17
PV Recycling Plant,"H B Robinson, South Carolina",18,34.332185,-79.962115,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484936.17,0.0,0.0,484936.17
PV Recycling Plant,"H B Robinson, South Carolina",19,34.332185,-79.962115,7000.0,7000.0,29097.01,22097.01,100.0,25488.11,0.0,0.0,484936.17,3.42076596e6,0.0,3.90570213e6
PV Recycling Plant,"H B Robinson, South Carolina",20,34.332185,-79.962115,7000.0,7000.0,8096.15,23193.17,100.0,7091.99,0.0,0.0,484936.17,3.42076596e6,0.0,3.90570213e6
PV Recycling Plant,"H B Robinson, South Carolina",21,34.332185,-79.962115,7000.0,7000.0,4806.83,21000.0,100.0,4210.64,0.0,0.0,484936.17,3.42076596e6,0.0,3.90570213e6
PV Recycling Plant,"H B Robinson, South Carolina",22,34.332185,-79.962115,7000.0,7000.0,0.0,14000.0,100.0,0.0,0.0,0.0,484936.17,3.42076596e6,0.0,3.90570213e6
PV Recycling Plant,"H B Robinson, South Carolina",23,34.332185,-79.962115,7000.0,7000.0,0.0,7000.0,100.0,0.0,0.0,0.0,484936.17,3.42076596e6,0.0,3.90570213e6
PV Recycling Plant,"H B Robinson, South Carolina",24,34.332185,-79.962115,7000.0,7000.0,0.0,0.0,100.0,0.0,0.0,0.0,484936.17,3.42076596e6,0.0,3.90570213e6
