source type,source location name,source latitude (deg),source longitude (deg),destination type,destination location name,destination latitude (deg),destination longitude (deg),product,year,distance (km),shipped amount (tonne),shipped amount-distance (tonne-km),emission type,emission amount (tonne)
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,1,1345.55,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,2,1345.55,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,3,1345.55,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,4,1345.55,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,5,1345.55,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,6,1345.55,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,7,1345.55,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,8,1345.55,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,9,1345.55,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,10,1345.55,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,11,1345.55,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,12,1345.55,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,13,1345.55,199.75,268772.46,CO2,44.89
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,14,1345.55,41.95,56442.16,CO2,9.43
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,15,1345.55,53.78,72360.08,CO2,12.08
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,16,1345.55,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,17,1345.55,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,18,1345.55,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,19,1345.55,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,20,1345.55,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,21,1345.55,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,22,1345.55,0.0,0.0,CO2,0.0
