plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Recycling Plant,"Glen Lyn, Virginia",1,37.318072,-80.698321,3500.0,0.0,0.47,0.47,0.0,0.41,8.34220648e6,0.0,225936.17,0.0,0.0,8.56814265e6
PV Recycling Plant,"Glen Lyn, Virginia",2,37.318072,-80.698321,3500.0,0.0,0.43,0.9,0.0,0.37,0.0,0.0,225936.17,0.0,0.0,225936.17
PV Recycling Plant,"Glen Lyn, Virginia",3,37.318072,-80.698321,3500.0,0.0,0.73,1.63,0.0,0.64,0.0,0.0,225936.17,0.0,0.0,225936.17
PV Recycling Plant,"Glen Lyn, Virginia",4,37.318072,-80.698321,3500.0,0.0,1.21,2.84,0.0,1.06,0.0,0.0,225936.17,0.0,0.0,225936.17
PV Recycling Plant,"Glen Lyn, Virginia",5,37.318072,-80.698321,3500.0,0.0,1.94,4.78,0.0,1.7,0.0,0.0,225936.17,0.0,0.0,225936.17
PV Recycling Plant,"Glen Lyn, Virginia",6,37.318072,-80.698321,3500.0,0.0,3.0,7.78,0.0,2.63,0.0,0.0,225936.17,0.0,0.0,225936.17
PV Recycling Plant,"Glen Lyn, Virginia",7,37.318072,-80.698321,3500.0,0.0,4.53,12.31,0.0,3.97,0.0,0.0,225936.17,0.0,0.0,225936.17
PV Recycling Plant,"Glen Lyn, Virginia",8,37.318072,-80.698321,3500.0,18.98,6.66,0.0,0.54,5.84,0.0,0.0,225936.17,6174.18,0.0,232110.35
PV Recycling Plant,"Glen Lyn, Virginia",9,37.318072,-80.698321,3500.0,9.58,9.58,0.0,0.27,8.39,0.0,0.0,225936.17,3116.06,0.0,229052.23
PV Recycling Plant,"Glen Lyn, Virginia",10,37.318072,-80.698321,3500.0,3500.0,3500.0,0.0,100.0,3065.9,0.0,0.0,225936.17,1.13884043e6,0.0,1.3647766e6
