product name,location name,latitude (deg),longitude (deg),year,amount (tonne),marginal cost ($/tonne)
PV Module,"Gila County, Arizona",34.183878,-111.605691,1,1043.1919571396388,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,2,635.1475282263033,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,3,938.0848234518934,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,4,1348.3910171894743,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,5,1889.5137976371784,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,6,2584.086656504568,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,7,3450.609352143663,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,8,5268.126672702451,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,9,5650.134529034386,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,10,33139.848755122,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,11,30975.200561733913,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,12,3428.3997978954376,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,13,24442.302973552665,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,14,4161.426687001118,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,15,5250.590630202278,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,16,24716.32864876948,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,17,5534.057484583687,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,18,6574.603793505578,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,19,21935.180965033054,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,20,19567.47000837299,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,21,3896.0139332883396,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,22,10661.669373183808,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,23,3301.891211666294,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,24,3598.759802654417,344.68
PV Module,"Gila County, Arizona",34.183878,-111.605691,25,7254.551004661043,345.17
PV Module,"Gila County, Arizona",34.183878,-111.605691,26,2833.5295136471173,345.17
PV Module,"San Bernardino, California",35.120104,-117.159039,1,2179.677543826088,360.11
PV Module,"San Bernardino, California",35.120104,-117.159039,2,1357.1880439458582,360.11
PV Module,"San Bernardino, California",35.120104,-117.159039,3,2048.47538206562,360.11
PV Module,"San Bernardino, California",35.120104,-117.159039,4,3018.090077604651,360.11
PV Module,"San Bernardino, California",35.120104,-117.159039,5,4346.4994174720005,360.11
PV Module,"San Bernardino, California",35.120104,-117.159039,6,6124.939539240654,360.11
PV Module,"San Bernardino, California",35.120104,-117.159039,7,8451.831186632866,360.11
PV Module,"San Bernardino, California",35.120104,-117.159039,8,44351.33118084062,360.87
PV Module,"San Bernardino, California",35.120104,-117.159039,9,11962.765992780014,360.87
PV Module,"San Bernardino, California",35.120104,-117.159039,10,33953.77918267358,360.87
PV Module,"San Bernardino, California",35.120104,-117.159039,11,36531.50192136276,360.87
PV Module,"San Bernardino, California",35.120104,-117.159039,12,22740.17797841163,360.87
PV Module,"San Bernardino, California",35.120104,-117.159039,13,159135.04709284095,368.84
PV Module,"San Bernardino, California",35.120104,-117.159039,14,27937.750899535084,368.84
PV Module,"San Bernardino, California",35.120104,-117.159039,15,35316.396908110924,368.84
PV Module,"San Bernardino, California",35.120104,-117.159039,16,161879.83471901302,371.16
PV Module,"San Bernardino, California",35.120104,-117.159039,17,38037.81170691914,371.16
PV Module,"San Bernardino, California",35.120104,-117.159039,18,45367.05128130604,371.16
PV Module,"San Bernardino, California",35.120104,-117.159039,19,151119.2694869181,371.16
PV Module,"San Bernardino, California",35.120104,-117.159039,20,135355.29464942508,371.16
PV Module,"San Bernardino, California",35.120104,-117.159039,21,28509.122892938656,371.16
PV Module,"San Bernardino, California",35.120104,-117.159039,22,71386.83827449061,371.16
PV Module,"San Bernardino, California",35.120104,-117.159039,23,27922.367507504576,371.16
PV Module,"San Bernardino, California",35.120104,-117.159039,24,31786.545225850336,371.16
PV Module,"San Bernardino, California",35.120104,-117.159039,25,56678.166090033934,371.16
PV Module,"San Bernardino, California",35.120104,-117.159039,26,32524.214888802097,371.16
