plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Manufacturing Plant,"Glen Lyn, Virginia",1,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,5.023683417021276e9,0.0,4.70471715289362e8,4.801833703311745e9,0.0,1.0295988835622383e10
PV Manufacturing Plant,"Glen Lyn, Virginia",2,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",3,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",4,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",5,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",6,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",7,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",8,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",9,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",10,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",11,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",12,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",13,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",14,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",15,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",16,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",17,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",18,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",19,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",20,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",21,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",22,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",23,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",24,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",25,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"Glen Lyn, Virginia",26,37.318072,-80.698321,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,4.70471715289362e8,4.801833703311745e9,0.0,5.272305418601107e9
PV Manufacturing Plant,"H B Robinson, South Carolina",1,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"H B Robinson, South Carolina",2,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"H B Robinson, South Carolina",3,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"H B Robinson, South Carolina",4,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"H B Robinson, South Carolina",5,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"H B Robinson, South Carolina",6,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"H B Robinson, South Carolina",7,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"H B Robinson, South Carolina",8,34.332185,-79.962115,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"H B Robinson, South Carolina",9,34.332185,-79.962115,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,5.391270008510638e9,0.0,5.04896474944681e8,5.153187388919921e9,0.0,1.104935387237524e10
PV Manufacturing Plant,"H B Robinson, South Carolina",10,34.332185,-79.962115,103954.8042,103954.8042,103954.8042,0.0,100.0,2.0663163502474e7,0.0,0.0,5.04896474944681e8,5.153187388919921e9,0.0,5.658083863864602e9
