plant type,location name,year,product name,amount produced (tonne),amount sent (tonne),amount disposed (tonne),disposal cost ($)
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",1,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",2,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",3,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",4,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",5,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",6,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",7,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",8,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",9,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",10,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",11,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",12,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",13,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",14,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",15,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",16,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",17,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",18,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",19,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",20,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",21,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",22,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",23,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",24,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",25,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",26,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",1,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",2,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",3,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",4,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",5,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",6,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",7,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",8,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",9,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",10,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",11,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",12,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",13,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",14,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",15,PV Modules,12259.613194,0.0,12259.613194,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",16,PV Modules,9587.547561,0.0,9587.547561,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",17,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",18,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",19,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",20,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",21,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",22,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",23,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",24,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",25,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baldor Electric Co., AR",26,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",1,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",2,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",3,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",4,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",5,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",6,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",7,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",8,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",9,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",10,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",11,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",12,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",13,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",14,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",15,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",16,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",17,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",18,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",19,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",20,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",21,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",22,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",23,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",24,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",25,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"AGC Automotive Americas, KY",26,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Baker Hughes Oilfield Operations, LLC, LA",1,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Baker Hughes Oilfield Operations, LLC, LA",2,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Baker Hughes Oilfield Operations, LLC, LA",3,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Baker Hughes Oilfield Operations, LLC, LA",4,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Baker Hughes Oilfield Operations, LLC, LA",5,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baker Hughes Oilfield Operations, LLC, LA",6,PV Modules,207909.6085,0.0,207909.6085,0.0
PV Manufacturing Plant,"Baker Hughes Oilfield Operations, LLC, LA",7,PV Modules,0.0,0.0,0.0,0.0
